bacterium_id,angle,max_intensity,region,filename,threshold_used
3453,251.00385338264124,567.0,edge,251007-2_969_0p5agarose_LB_OD0p5_5s_4h30_100X_3057-Composite-final.tif,269.8116494726356
3583,84.81332752199492,788.5,edge,251007-2_969_0p5agarose_LB_OD0p5_5s_4h30_100X_3057-Composite-final.tif,269.8116494726356
3648,276.91155409933464,740.0,edge,251007-2_969_0p5agarose_LB_OD0p5_5s_4h30_100X_3057-Composite-final.tif,269.8116494726356
3713,273.62058112412325,571.0,edge,251007-2_969_0p5agarose_LB_OD0p5_5s_4h30_100X_3057-Composite-final.tif,269.8116494726356
3844,5.680248595676723,924.4285714285714,edge,251007-2_969_0p5agarose_LB_OD0p5_5s_4h30_100X_3057-Composite-final.tif,269.8116494726356
3909,285.57053569704453,741.6,edge,251007-2_969_0p5agarose_LB_OD0p5_5s_4h30_100X_3057-Composite-final.tif,269.8116494726356
4039,165.72700946143505,308.8888888888889,edge,251007-2_969_0p5agarose_LB_OD0p5_5s_4h30_100X_3057-Composite-final.tif,269.8116494726356
4300,114.58119900108952,639.0,edge,251007-2_969_0p5agarose_LB_OD0p5_5s_4h30_100X_3057-Composite-final.tif,269.8116494726356
4430,66.84991702405458,814.6666666666666,edge,251007-2_969_0p5agarose_LB_OD0p5_5s_4h30_100X_3057-Composite-final.tif,269.8116494726356
4560,70.82819418586935,665.6666666666666,edge,251007-2_969_0p5agarose_LB_OD0p5_5s_4h30_100X_3057-Composite-final.tif,269.8116494726356
4690,254.68457367304404,551.6,edge,251007-2_969_0p5agarose_LB_OD0p5_5s_4h30_100X_3057-Composite-final.tif,269.8116494726356
4756,280.01496572806093,896.3333333333334,edge,251007-2_969_0p5agarose_LB_OD0p5_5s_4h30_100X_3057-Composite-final.tif,269.8116494726356
4951,25.27336331418188,793.2,edge,251007-2_969_0p5agarose_LB_OD0p5_5s_4h30_100X_3057-Composite-final.tif,269.8116494726356
5016,7.369376386340953,913.8,edge,251007-2_969_0p5agarose_LB_OD0p5_5s_4h30_100X_3057-Composite-final.tif,269.8116494726356
5081,6.28837541943647,736.1666666666666,edge,251007-2_969_0p5agarose_LB_OD0p5_5s_4h30_100X_3057-Composite-final.tif,269.8116494726356
5146,358.48511762069603,610.2,edge,251007-2_969_0p5agarose_LB_OD0p5_5s_4h30_100X_3057-Composite-final.tif,269.8116494726356
5212,9.68149948559509,630.75,edge,251007-2_969_0p5agarose_LB_OD0p5_5s_4h30_100X_3057-Composite-final.tif,269.8116494726356
5472,8.700739912897447,693.6,edge,251007-2_969_0p5agarose_LB_OD0p5_5s_4h30_100X_3057-Composite-final.tif,269.8116494726356
