bacterium_id,angle,max_intensity,region,filename,threshold_used
2188,35.34488269531295,463.2,edge,251007-1_943_0p5agarose_LB_OD0p5_5s_4h30_100X_2003_Composite-final.tif,170.81287230916448
2244,347.0461972165667,408.6,edge,251007-1_943_0p5agarose_LB_OD0p5_5s_4h30_100X_2003_Composite-final.tif,170.81287230916448
2300,305.0603568436595,549.2,edge,251007-1_943_0p5agarose_LB_OD0p5_5s_4h30_100X_2003_Composite-final.tif,170.81287230916448
2357,310.1404563829401,462.25,edge,251007-1_943_0p5agarose_LB_OD0p5_5s_4h30_100X_2003_Composite-final.tif,170.81287230916448
2469,16.19929703092521,475.1666666666667,edge,251007-1_943_0p5agarose_LB_OD0p5_5s_4h30_100X_2003_Composite-final.tif,170.81287230916448
2525,35.40840619945879,285.44444444444446,edge,251007-1_943_0p5agarose_LB_OD0p5_5s_4h30_100X_2003_Composite-final.tif,170.81287230916448
2581,347.0009683011348,212.8,edge,251007-1_943_0p5agarose_LB_OD0p5_5s_4h30_100X_2003_Composite-final.tif,170.81287230916448
2637,353.00296554386085,303.2,edge,251007-1_943_0p5agarose_LB_OD0p5_5s_4h30_100X_2003_Composite-final.tif,170.81287230916448
2693,48.79162670982857,474.2,edge,251007-1_943_0p5agarose_LB_OD0p5_5s_4h30_100X_2003_Composite-final.tif,170.81287230916448
2749,294.30800755245497,342.0,edge,251007-1_943_0p5agarose_LB_OD0p5_5s_4h30_100X_2003_Composite-final.tif,170.81287230916448
2805,294.4038239045428,335.2,edge,251007-1_943_0p5agarose_LB_OD0p5_5s_4h30_100X_2003_Composite-final.tif,170.81287230916448
2862,3.6101015084733312,492.6666666666667,edge,251007-1_943_0p5agarose_LB_OD0p5_5s_4h30_100X_2003_Composite-final.tif,170.81287230916448
2918,308.45735051187177,424.1666666666667,edge,251007-1_943_0p5agarose_LB_OD0p5_5s_4h30_100X_2003_Composite-final.tif,170.81287230916448
2974,325.08382049246416,578.8,edge,251007-1_943_0p5agarose_LB_OD0p5_5s_4h30_100X_2003_Composite-final.tif,170.81287230916448
