Cell ID,Area [microns²],Mean Area [microns²],Normalized Area
14,1.7730360949424941,2.835578350589072,0.625281997435958
67,1.4789868755557958,2.835578350589072,0.5215820875655036
68,2.3667581576240133,2.835578350589072,0.8346650541792773
71,3.2298477161480417,2.835578350589072,1.1390437211784548
72,1.7026710106408205,2.835578350589072,0.6004669242474299
75,4.073897761591041,2.835578350589072,1.4367078803323197
76,2.2808944514166107,2.835578350589072,0.8043842099946809
77,3.4187802793275943,2.835578350589072,1.2056730079834916
78,6.314398532474619,2.835578350589072,2.226846784594348
80,2.4141348362825914,2.835578350589072,0.8513729961935531
81,2.549998426584067,2.835578350589072,0.8992868865902868
82,3.016858121063228,2.835578350589072,1.0639304396002658
85,2.7064378835139187,2.835578350589072,0.9544570979502911
87,3.226334270847484,2.835578350589072,1.1378046634392012
88,3.3800133098428065,2.835578350589072,1.1920013810024441
89,4.3088839363838645,2.835578350589072,1.5195785140229765
91,6.696641257475901,2.835578350589072,2.3616491697662734
93,3.651865517344177,2.835578350589072,1.2878732539996742
95,4.114377565641996,2.835578350589072,1.450983558534809
96,3.4656404531971026,2.835578350589072,1.2221987985192295
97,3.319719680191807,2.835578350589072,1.170738124553024
99,4.830502552396377,2.835578350589072,1.7035334436775034
100,1.6002130324617345,2.835578350589072,0.5643339152061523
103,4.8151545219576635,2.835578350589072,1.698120780530486
104,3.7974695988278397,2.835578350589072,1.339222242982262
105,1.7237638381763916,2.835578350589072,0.6079055575446509
106,3.7173890842809842,2.835578350589072,1.310980909241574
108,2.901931756266139,2.835578350589072,1.0234003076174152
109,4.295471061216108,2.835578350589072,1.51484830610438
110,2.78425351218558,2.835578350589072,0.9818996930933579
111,3.5412525540180497,2.835578350589072,1.2488642936924592
112,3.1073679350699184,2.835578350589072,1.0958497882537381
113,3.600797264675149,2.835578350589072,1.2698634350650575
115,2.377238543104596,2.835578350589072,0.8383610851771178
116,2.843495045583034,2.835578350589072,1.0027919154455096
117,4.418804030541151,2.835578350589072,1.5583431258823
118,2.825007791998496,2.835578350589072,0.9962721683961299
119,3.809096367930416,2.835578350589072,1.3433225596249536
120,2.039022568964488,2.835578350589072,0.7190852506476836
121,2.9193257892640574,2.835578350589072,1.0295345175905957
122,2.2411397272177958,2.835578350589072,0.7903642397157583
123,1.8902804762193481,2.835578350589072,0.6666296051479781
124,2.7513404398604107,2.835578350589072,0.970292511680673
125,3.37643049233173,2.835578350589072,1.1907378583385995
126,3.43099681397286,2.835578350589072,1.209981312369695
127,4.828010043211667,2.835578350589072,1.7026544310470846
128,2.422936995660873,2.835578350589072,0.8544771810510982
129,2.6709602917723467,2.835578350589072,0.9419455086534544
130,6.7369890038923765,2.835578350589072,2.3758782762933754
131,3.844592030965911,2.835578350589072,1.355840521975781
132,2.0103635843617984,2.835578350589072,0.7089783232207846
133,2.6852907970760116,2.835578350589072,0.9469993296140665
134,3.434621612576361,2.835578350589072,1.2112596401587148
135,4.415368840203027,2.835578350589072,1.5571316656743992
136,1.8703430407536916,2.835578350589072,0.6595984344305424
137,2.8430429085079387,2.835578350589072,1.0026324639970947
138,2.6489491398635296,2.835578350589072,0.9341830174832688
139,3.7527837617476942,2.835578350589072,1.3234632578458216
140,2.960721604879606,2.835578350589072,1.044133238026922
141,3.6128366904022857,2.835578350589072,1.274109279911713
142,3.038113709856258,2.835578350589072,1.0714264725660325
143,4.632403904602075,2.835578350589072,1.6336716295071603
144,4.241872519713402,2.835578350589072,1.495946151102537
145,7.204972684934772,2.835578350589072,2.5409182163624533
146,2.5206080397982826,2.835578350589072,0.8889220215955745
147,2.582176099476301,2.835578350589072,0.9106347207580674
148,2.6391243735885594,2.835578350589072,0.9307181982964073
149,4.738926963112542,2.835578350589072,1.6712382368584746
151,3.115177346921129,2.835578350589072,1.0986038690392639
152,2.2405624760585003,2.835578350589072,0.7901606653164914
153,3.4423361835436697,2.835578350589072,1.2139802741929342
154,2.503332527693994,2.835578350589072,0.8828296094071758
155,1.8723785653924112,2.835578350589072,0.6603162860950175
156,3.246588672849938,2.835578350589072,1.1449476161275818
157,3.1365480894637736,2.835578350589072,1.1061405123269394
158,3.8956242003589647,2.835578350589072,1.373837615719444
159,1.9866916762386335,2.835578350589072,0.7006301468714176
160,2.331771538081303,2.835578350589072,0.8223266119932441
161,4.80674703567979,2.835578350589072,1.6951557817759546
162,2.642533397495704,2.835578350589072,0.9319204306051836
163,1.6020569455336975,2.835578350589072,0.5649841928017546
164,3.117329815568844,2.835578350589072,1.099362962381639
165,2.6118222741475994,2.835578350589072,0.9210897923540047
166,2.3562885793365593,2.835578350589072,0.8309728344649889
167,4.445981822064421,2.835578350589072,1.5679276931779362
168,2.5855700031102455,2.835578350589072,0.9118316207249612
169,3.486780826804134,2.835578350589072,1.2296541994968255
170,2.5427089349187515,2.835578350589072,0.8967161617630919
171,3.519128006440325,2.835578350589072,1.2410618122081691
172,2.599970944613048,2.835578350589072,0.9169102818382437
173,3.06433942343865,2.835578350589072,1.0806752783967526
174,2.093443704265178,2.835578350589072,0.7382775030110804
175,2.419801853037101,2.835578350589072,0.8533715361927502
176,2.2488648225388896,2.835578350589072,0.7930885852869145
177,3.663033637510975,2.835578350589072,1.2918118227098203
178,3.4211687310512167,2.835578350589072,1.2065153235284407
179,2.8932277384903315,2.835578350589072,1.0203307335483371
180,2.349162640171422,2.835578350589072,0.8284597883473752
181,2.4731267367708614,2.835578350589072,0.8721771825691526
182,3.838407129106642,2.835578350589072,1.3536593437135105
183,4.211281285901133,2.835578350589072,1.4851577933038838
184,4.191583520344092,2.835578350589072,1.4782111449938666
185,2.293495603589399,2.835578350589072,0.8088281542680494
186,4.641910648764624,2.835578350589072,1.6370242944619389
187,3.3271399428459962,2.835578350589072,1.173354967304926
188,4.044100984251454,2.835578350589072,1.426199696937071
189,4.6745436242345395,2.835578350589072,1.6485326964297902
190,4.66993635074393,2.835578350589072,1.6469078873358525
193,3.0049682070031167,2.835578350589072,1.059737321798516
194,2.2659899200180864,2.835578350589072,0.7991279519916431
195,3.31856995074186,2.835578350589072,1.1703326589626593
196,3.217672310784212,2.835578350589072,1.13474992151628
197,3.5874434683538228,2.835578350589072,1.2651540619953443
198,3.047308924266025,2.835578350589072,1.0746692728955867
199,3.3023497997819655,2.835578350589072,1.1646124322736224
200,3.7426930815485013,2.835578350589072,1.3199046609912868
201,2.6400601236648833,2.835578350589072,0.9310482015481706
202,2.509561420291396,2.835578350589072,0.885026301519777
203,2.241767245642199,2.835578350589072,0.7905855414562913
204,1.6421507546129657,2.835578350589072,0.5791237453452204
205,3.0777880192949105,2.835578350589072,1.0854180836355733
206,2.135784309443999,2.835578350589072,0.7532094145803816
207,3.887324445118073,2.835578350589072,1.3709106095800556
208,2.823383276634825,2.835578350589072,0.9956992639784707
209,2.005419627571655,2.835578350589072,0.7072347788080138
210,2.8229011693500325,2.835578350589072,0.9955292431837033
211,3.04035062535137,2.835578350589072,1.0722153470806963
212,2.053033148920215,2.835578350589072,0.7240262461778605
213,2.6982964676318626,2.835578350589072,0.9515859320449778
214,2.4410566037354857,2.835578350589072,0.8608672735945995
215,4.858594910990078,2.835578350589072,1.7134405437891491
216,3.1881547081748174,2.835578350589072,1.1243401923676346
217,1.9155768375835478,2.835578350589072,0.6755506640067271
218,1.5468259440713297,2.835578350589072,0.5455063316271924
219,2.7199572723030885,2.835578350589072,0.9592248691481355
220,2.5820940237815453,2.835578350589072,0.9106057758005992
221,3.089882498702493,2.835578350589072,1.089683343809065
222,1.7104579330169838,2.835578350589072,0.6032130738555145
223,2.5910906356051995,2.835578350589072,0.9137785365962179
224,2.660426436940021,2.835578350589072,0.9382306210608977
225,6.740588871045761,2.835578350589072,2.3771478117137725
226,4.172853731903226,2.835578350589072,1.4716058651796182
227,3.301416939619162,2.835578350589072,1.164283448183795
