IDs,Frame,Center_position_x_PIX,Ellipse_center_x_PIX,Center_position_y_PIX,Ellipse_center_y_PIX,Perimeter_PIX,Surface_area_PIX^2,Convex_hull_area_PIX^2,Solidity,Length_PIX,Ellipse_major_axis_PIX,Width_PIX,Ellipse_minor_axis_PIX,Aspect_ratio,Ellipse_aspect_ratio,Angle_to_x+_axis_RAD,Angle_to_x+_axis_DEG,Ellipse_Angle_DEG,Min_intensity,Max_intensity,Mean_intensity
395,0,517,518.01,135,135.51,90.53,440,466.0,0.94,37.11,32.17,11.18,11.85,3.32,2.71,1.82,104.04,101.78,4523,6337,5160.1
396,0,643,643.13,135,135.6,97.74,478,501.0,0.95,40.72,35.53,10.77,11.78,3.78,3.02,1.14,65.32,63.87,4524,6202,5051.76
397,0,1157,1157.99,130,130.96,83.4,400,418.0,0.96,33.84,29.74,13.04,11.68,2.6,2.55,0.6,34.16,42.41,4798,6758,5552.79
398,0,539,539.24,144,144.28,123.36,628,701.0,0.9,52.24,46.79,11.05,12.25,4.73,3.82,1.67,95.49,94.22,4496,6500,5301.22
399,0,1430,1430.55,129,129.44,69.25,323,330.0,0.98,27.2,23.72,12.21,11.65,2.23,2.04,0.63,36.03,42.13,4859,6736,5523.42
400,0,1168,1168.27,139,139.64,120.85,604,663.0,0.91,50.99,45.85,9.9,11.99,5.15,3.82,0.84,48.18,46.81,4787,6655,5505.55
401,0,1350,1350.78,130,130.31,88.43,430,451.0,0.95,35.78,31.23,12.08,11.95,2.96,2.61,2.68,153.43,156.41,4675,6869,5382.42
402,0,1445,1445.23,133,133.45,82.67,385,411.0,0.94,33.02,28.44,11.4,11.75,2.9,2.42,0.96,54.87,56.15,4769,6556,5409.75
403,0,1635,1635.55,133,133.57,73.94,328,348.0,0.94,28.79,25.05,12.65,11.24,2.28,2.23,1.93,110.32,112.82,4742,6699,5468.93
404,0,1339,1339.8,139,139.06,129.68,655,718.0,0.91,56.04,49.97,10.0,11.89,5.6,4.2,2.53,145.18,145.07,4618,6788,5330.76
405,0,1479,1479.36,143,143.54,113.05,546,591.0,0.92,47.51,42.05,10.3,11.58,4.61,3.63,2.1,120.34,121.54,4728,6960,5461.66
406,0,1927,1927.51,133,133.45,99.84,479,513.0,0.93,42.06,36.66,11.7,11.37,3.59,3.22,0.31,18.0,17.8,4843,6755,5460.5
407,0,257,257.47,139,139.57,85.25,424,447.0,0.95,34.41,29.66,12.21,12.39,2.82,2.39,0.95,54.46,56.87,4610,6554,5325.47
408,0,1290,1290.8,143,143.42,91.94,452,480.0,0.94,37.36,33.18,11.4,11.91,3.28,2.79,1.3,74.48,76.88,4562,6400,5217.5
409,0,1612,1612.2,144,144.8,105.98,499,534.0,0.93,45.18,39.65,10.3,11.01,4.39,3.6,2.05,117.7,117.21,4667,6865,5484.6
410,0,1778,1778.25,140,140.35,82.67,398,415.0,0.96,33.29,28.67,11.66,11.88,2.85,2.41,2.14,122.74,121.09,4458,6454,5253.09
411,0,331,331.31,143,143.35,89.36,428,454.0,0.94,36.4,31.79,11.7,11.71,3.11,2.71,1.21,69.08,74.51,4659,6448,5304.28
412,0,720,720.34,142,142.23,80.87,392,414.0,0.95,32.25,28.04,12.17,12.16,2.65,2.31,1.45,82.87,86.54,4549,6511,5315.69
413,0,1220,1220.63,133,133.89,113.11,579,624.0,0.93,47.85,42.11,12.17,12.26,3.93,3.44,0.19,10.84,7.1,4674,6572,5339.51
414,0,828,828.62,136,136.28,97.6,477,509.0,0.94,40.16,35.49,11.7,11.82,3.43,3.0,0.33,18.89,16.97,4568,6533,5265.99
415,0,1412,1412.41,140,140.36,78.57,368,386.0,0.95,31.06,27.35,11.66,11.61,2.66,2.36,2.15,123.18,131.26,4499,6554,5341.14
416,0,1590,1590.18,142,142.07,81.01,385,403.0,0.96,32.25,27.6,12.53,11.99,2.57,2.3,1.05,60.26,65.45,4666,6643,5458.88
417,0,51,51.51,143,143.4,100.47,494,523.0,0.94,42.52,37.25,10.63,11.63,4.0,3.2,0.72,41.19,41.07,4788,6683,5473.9
418,0,552,552.02,140,140.67,66.63,289,301.0,0.96,26.17,22.71,12.17,10.89,2.15,2.09,1.69,96.58,94.57,4657,6588,5368.81
