Feature,Median,Mean,Standard Deviation
Perimeter_PIX,89.11,93.1,18.2
Surface_area_PIX^2,428.0,447.5,108.61
Convex_hull_area_PIX^2,453.0,478.34,123.05
Solidity,0.94,0.94,0.02
Length_PIX,36.36,38.15,8.64
Ellipse_major_axis_PIX,31.73,33.46,7.87
Width_PIX,11.66,11.55,1.06
Ellipse_minor_axis_PIX,11.7,11.7,0.49
Aspect_ratio,3.07,3.38,1.04
Ellipse_aspect_ratio,2.72,2.85,0.62
Mean_intensity,5309.52,5302.75,113.42
