SPOT_ID,TRACK_ID,PREV_TRACK_ID,POSITION_X,POSITION_Y,FRAME,ELLIPSE_MAJOR,ELLIPSE_MINOR,ELLIPSE_THETA,ELLIPSE_ASPECTRATIO,AREA,ANGLE,ANGULAR_VELOCITY,TOTAL_DISPLACEMENT_VECTOR,TOTAL_DISPLACEMENT,FRAME_GAP,STEP_SPEED,MSD_LAG_TIME,MSD,CLASS,SPOT_LABEL,NEIGHBOUR,NEIGHBOUR_UNCERTAIN,CONTACT,UPDATE_NEIGHBOUR,CONTACT_ANGLE (deg),DISP_RELATIVE_ANGLE (deg),REVERSAL,CONTACT_REVERSAL,UPDATE_NEIGHBOUR_CORRECTED,CONTACT_CORRECTED,REVERSAL_CORRECTED,CONTACT_REVERSAL_CORRECTED,CONTACT_ANGLE_CORRECTED (deg),RESCALED_ANGLE (deg)
9032,0,,73.42003195598451,15.9757333311204,0,1.7261389186168208,0.470883133883524,-1.0669988825029535,3.665748026226381,2.279387613969371,,,"[0.0, 0.0]",0.0,0,0.0,0,0.0,moving,589,[],[],0.0,[],,,0,0.0,[],0.0,0,0.0,,
9872,0,,74.11523654047664,15.634200914092805,3,1.667959042880572,0.5161242747745771,0.0159916512896851,3.231700434181421,2.287837614391882,1.481441975321666,1.0110478086747323,"[0.09369547425362157, 0.05007307350972745]",0.1062363148189997,1,0.1062363148189997,3,1.2533676218143237,moving,620,[],[],0.0,[],,,0,0.0,[],0.0,0,0.0,,
13426,0,,72.4621390402202,15.704516449705116,5,1.725108888148216,0.4559974794691722,0.3146420888590062,3.783154437950884,2.368112618405634,0.5488780042028829,-1.989429129613031,"[-0.20093847898650097, -0.09371528402385998]",0.2217178991355484,1,0.2217178991355484,5,1.9687243937239092,moving,617,[664],[664],1.0,[664],[101.30993247402023],135.49825119560458,0,0.0,[591],1.0,0,0.0,[153.06450713441166],[26.935492865588344]
9342,0,,72.82451211428231,15.31676922942176,7,1.7144138305136136,0.4526237555448983,0.1797318407835441,3.7877239307726778,2.3258626162931315,0.386488167416381,-1.3949447005844848,"[0.12623281299212863, -0.0752005851247084]",0.1469348531799185,1,0.1469348531799185,7,2.48248087861478,moving,610,[561],[561],1.0,[561],[92.02476508156104],122.19499747088248,0,0.0,[561],1.0,0,0.0,[92.02476508156104],[87.97523491843896]
9881,0,,72.9447927215227,15.773873395575604,8,1.7206751008952923,0.4317431234352474,0.3620274678893755,3.985414028611293,2.2899501144975063,1.8507663569354995,1.4642781895191186,"[0.1202806072403888, 0.45710416615384375]",0.4726644086382192,1,0.4726644086382192,8,2.7401031644493465,moving,618,[584],[584],1.0,[584],[150.124633389057],91.81179478600868,0,0.0,[],0.0,0,0.0,,
8445,0,,72.60987343887001,15.850768428325305,9,1.6344025817250538,0.5447002755390626,0.4996896820529342,3.000553983762111,2.3723376186168794,1.602418111181209,-0.2483482457542905,"[-0.33491928265269166, 0.076895032749702]",0.3436331939061931,1,0.3436331939061931,9,2.941313630117776,moving,618,[],[],0.0,[],,109.411549345672,0,0.0,[],0.0,0,0.0,,
8954,0,,72.95337196517383,16.39324540394115,10,1.7307504010035208,0.4763965571187364,0.795124643178484,3.6330035873289295,2.391350119567507,1.909591775790219,0.3071736646090099,"[0.3434985263038186, 0.5424769756158465]",0.6420845011727124,1,0.6420845011727124,10,3.144635854782714,moving,632,[734],[734],1.0,[734],[27.30873894930545],5.1924922473458945,0,0.0,[734],1.0,0,0.0,[27.30873894930545],[27.30873894930545]
14934,0,,73.56253585267304,17.581116233672432,12,1.7318879578744564,0.4496161311465476,0.9572830374741472,3.8519257604437818,2.380787619039374,2.5672204789003272,2.438809421815283,"[0.012796591161261972, -0.09193289894442458]",0.0928192364419912,1,0.0928192364419912,12,3.6443658868467472,moving,666,[],[],0.0,[],,44.33226291604481,0,0.0,[],0.0,0,0.0,,
13658,0,,73.36225279191537,18.228822294801997,13,1.7285227973828658,0.4457223815370176,0.9754979683163842,3.878025580457217,2.389237619461874,2.9800058465190737,0.4127853676187465,"[-0.20028306075766977, 0.6477060611295649]",0.6779649298086414,1,0.6779649298086414,13,3.849757608688176,moving,695,[],[],0.0,[],,122.11087535770484,1,0.0,[],0.0,1,0.0,,
88876,0,,72.77491887363826,17.546140748731624,15,1.7731217681002878,0.4242760457575492,0.8774338708018073,4.179170108306163,2.270937613546885,1.6388475599905896,-0.8249716408239438,"[-0.2658834834629289, 0.1271048555869605]",0.2947026825330296,1,0.2947026825330296,15,4.068353540225352,moving,670,[],[],0.0,[],,1.9462380293573571,0,0.0,[],0.0,0,0.0,,
96217,0,,71.93152149390089,16.495675583982372,16,1.7708567534849513,0.4293660477685831,1.0224939543006488,4.124352083002604,2.359662617983129,1.3402334483002307,-0.2986141116903589,"[-0.8433973797373682, -1.0504651647492516]",1.3471437200609038,1,1.3471437200609038,16,4.11687040728038,moving,620,[],[],0.0,[],,176.84186514544692,0,0.0,[],0.0,0,0.0,,
86026,0,,72.41479625976095,17.033945958647703,18,1.7342888581028455,0.4472108086063543,0.8805118298134444,3.878011945881674,2.3723376186168825,1.045231126044002,-2.064991001765782,"[0.019529367610928716, -0.003600171130408114]",0.0198584347684054,1,0.0198584347684054,18,4.062457399048507,moving,650,[],[],0.0,[],,179.45151976972886,0,0.0,[],0.0,0,0.0,,
