IDENTIFIER,TRACK_ID,TRACK_FRAME_LENGTH,TOTAL_DISPLACEMENT_PIX,TOTAL_DISPLACEMENT_MIC,END_TO_END_DISTANCE_PIX,END_TO_END_DISTANCE_MIC,PERSISTENCE,SINUOSITY,MAX_DISTANCE_PIX,MAX_DISTANCE_MIC,MEAN_DIRECTIONAL_CHANGE_RAD,MEAN_DIRECTIONAL_CHANGE_DEG,SPEED_PIX_FR,SPEED_MIC_SEC,AVERAGE_ANGULAR_VELOCITY_RAD_FR,AVERAGE_ANGULAR_VELOCITY_DEG_SEC
240917_459+2624_0p55pagarose_2xTrpNC_OD0p5_mix10pc_5s_2h55_6-CH1_spots.csv,0,60,31.194960837720867,2.0276724544518565,1.9326844595514165,0.12562448987084207,0.06195502118452476,16.140741797531366,4.315739251398319,0.28052305134089073,1.6193506503143476,92.78195781477733,0.528728149791879,0.006873465947294427,0.013702509471836405,0.15701919229485214
240917_459+2624_0p55pagarose_2xTrpNC_OD0p5_mix10pc_5s_2h55_6-CH1_spots.csv,1,60,18.92473342496673,1.2301076726228375,4.547872018609786,0.2956116812096361,0.24031366342048124,4.161228228834752,5.561128844729514,0.36147337490741843,1.4722486371693635,84.3536333036918,0.3207581936435039,0.004169856517365551,-0.020591383560067286,-0.23595987446538466
240917_459+2624_0p55pagarose_2xTrpNC_OD0p5_mix10pc_5s_2h55_6-CH1_spots.csv,2,60,36.54717051995346,2.375566083796975,3.9508877574908183,0.2568077042369032,0.10810379302369724,9.250369224147313,9.101739795994042,0.5916130867396128,1.275083157382122,73.0568834462109,0.6194435681348044,0.008052766385752457,0.05037138313689905,0.5772135323961523
240917_459+2624_0p55pagarose_2xTrpNC_OD0p5_mix10pc_5s_2h55_6-CH1_spots.csv,3,60,26.226505108196374,1.7047228320327643,7.591264651932316,0.49343220237560054,0.28945010479340894,3.4548268715042836,10.10095901907986,0.656562336240191,1.4863747594965353,85.16300049392426,0.4445170357321419,0.005778721464517845,-0.039454128973916265,-0.4521110149140439
240917_459+2624_0p55pagarose_2xTrpNC_OD0p5_mix10pc_5s_2h55_6-CH1_spots.csv,4,16,5.545294367427795,0.3604441338828067,0.3830730927628426,0.02489975102958477,0.06908074979985823,14.475812768350297,1.863385673117173,0.12112006875261624,1.7593169386821257,100.80143541236204,0.3696862911618529,0.004805921785104088,0.17802732865759482,2.040042914013719
240917_459+2624_0p55pagarose_2xTrpNC_OD0p5_mix10pc_5s_2h55_6-CH1_spots.csv,5,59,33.178941992913735,2.156631229539393,3.443079488117337,0.22380016672762693,0.1037730343798395,9.63641475818958,6.315057820656941,0.4104787583427012,1.4939514814734003,85.59711468574264,0.5720507240157541,0.007436659412204803,0.018974688554000318,0.2174339143438818
240917_459+2624_0p55pagarose_2xTrpNC_OD0p5_mix10pc_5s_2h55_6-CH1_spots.csv,6,60,28.575211445265833,1.8573887439422792,2.9302456819910816,0.1904659693294203,0.10254502184887758,9.75181419799898,5.488386024523249,0.35674509159401124,1.2405033027962347,71.07560372226347,0.48432561771637006,0.006296233030312811,-0.0033091255511983057,-0.03791978559251303
240917_459+2624_0p55pagarose_2xTrpNC_OD0p5_mix10pc_5s_2h55_6-CH1_spots.csv,7,60,47.157598446790125,3.0652438990413584,9.967798570029709,0.6479069070519311,0.21137205664272302,4.7309943229169376,13.250756206711984,0.8612991534362789,1.5333271223149358,87.85317272158558,0.7992813296066122,0.01039065728488596,-0.011827524413237455,-0.13553344619329033
240917_459+2624_0p55pagarose_2xTrpNC_OD0p5_mix10pc_5s_2h55_6-CH1_spots.csv,8,60,24.534184309856798,1.594721980140692,1.425153058054507,0.09263494877354296,0.05808846302185563,17.21512238366081,6.841372456570627,0.4446892096770908,1.331187812161932,76.27144337613251,0.4158336323704541,0.005405837220815904,0.013872543224887771,0.15896763557977472
240917_459+2624_0p55pagarose_2xTrpNC_OD0p5_mix10pc_5s_2h55_6-CH1_spots.csv,9,60,26.72448717978639,1.7370916666861154,3.602276948646806,0.2341480016620424,0.13479311780289133,7.418776390811771,5.8660874161754695,0.3812956820514055,1.394889920760573,79.92130534491866,0.452957409826888,0.005888446327749544,-0.023273976753962703,-0.2667001280975301
240917_459+2624_0p55pagarose_2xTrpNC_OD0p5_mix10pc_5s_2h55_6-CH1_spots.csv,10,60,23.866586024018417,1.551328091561197,6.945493881015854,0.45145710226603053,0.29101329674994886,3.436269102367659,8.03720218710793,0.5224181421620154,1.2574460113631334,72.0463494166669,0.40451840718675286,0.005258739293427787,0.010627205005068559,0.1217787989621466
240917_459+2624_0p55pagarose_2xTrpNC_OD0p5_mix10pc_5s_2h55_6-CH1_spots.csv,11,33,18.444165280381373,1.1988707432247894,8.364343224760894,0.5436823096094582,0.4534953519234535,2.2050942655941315,9.6249934613898,0.625624574990337,1.1642013028045313,66.7038211543316,0.576380165011918,0.007492942145154935,-0.017893503272391444,-0.20504444364231142
240917_459+2624_0p55pagarose_2xTrpNC_OD0p5_mix10pc_5s_2h55_6-CH1_spots.csv,12,60,2.606910099095719,0.16944915644122172,0.7381585443176764,0.047980305380648965,0.28315458387833464,3.531639807143925,0.743722712470559,0.048341976310586336,1.7252549836046787,98.84982914446013,0.04418491693382575,0.0005744039201397348,0.04457643528838194,0.5108083215524628
