,Abscissa,red_250319_2619+2621_0p5agarose_LB_OD0p5_mix50pc_1h30_20X_019.tif,red_250402_2619+2621_2_0p5agarose_LB_OD0p5_Still_mix50pc_1h30_20X_027.tif,red_250506_2619+2621_1_0p5Agarose_LB_OD0p5_Still_mix50pc_1h30_20X055.tif,green_250319_2619+2621_0p5agarose_LB_OD0p5_mix50pc_1h30_20X_019.tif,green_250402_2619+2621_2_0p5agarose_LB_OD0p5_Still_mix50pc_1h30_20X_027.tif,green_250506_2619+2621_1_0p5Agarose_LB_OD0p5_Still_mix50pc_1h30_20X055.tif
0,-16.19400679241421,0.0,0.0,0.0,0.0,0.0,0.0
1,-12.955205433931367,0.0,0.0,0.0,0.0,0.0,0.0
2,-9.716404075448525,0.0,0.0,0.0,0.0,0.0,0.0
3,-6.477602716965683,0.0,0.0,0.0,0.0,0.0,0.0
4,-3.2388013584828417,0.0,0.0,0.0,0.0,0.0,0.0
5,0.0,3.7666666666666675,9.933333333333334,1.5333333333333337,91.2,71.1,59.8
6,3.2388013584828417,4.200000000000001,19.033333333333335,4.066666666666666,204.60000000000002,140.46666666666667,137.20000000000002
7,6.477602716965683,4.966666666666667,18.033333333333335,8.3,140.06666666666666,60.13333333333333,103.76666666666668
8,9.716404075448525,13.433333333333334,22.6,10.833333333333336,102.16666666666667,59.56666666666667,94.76666666666667
9,12.955205433931367,25.46666666666667,29.700000000000003,12.5,92.5,48.63333333333334,92.20000000000002
10,16.19400679241421,33.76666666666667,19.56666666666667,12.200000000000001,92.16666666666667,46.46666666666667,81.83333333333331
11,19.43280815089705,46.96666666666667,23.56666666666667,15.56666666666667,64.26666666666667,38.43333333333333,70.16666666666666
12,22.67160950937989,39.733333333333334,28.500000000000004,12.066666666666666,73.83333333333334,31.200000000000003,62.4
13,25.910410867862733,49.16666666666666,30.733333333333334,7.133333333333335,66.5,40.23333333333334,72.5
14,29.149212226345576,59.46666666666667,37.50000000000001,13.966666666666665,58.26666666666666,32.13333333333333,69.80000000000001
15,32.38801358482842,68.0,52.900000000000006,19.66666666666667,50.400000000000006,19.133333333333336,56.06666666666668
16,35.62681494331126,56.96666666666667,37.266666666666666,22.799999999999997,55.00000000000001,35.366666666666674,55.50000000000001
17,38.8656163017941,66.93333333333334,46.366666666666674,25.333333333333336,57.70000000000001,35.76666666666667,63.10000000000001
18,42.104417660276944,82.86666666666666,66.93333333333334,25.56666666666667,42.66666666666667,43.36666666666667,63.699999999999996
19,45.34321901875978,87.06666666666668,56.60000000000001,35.86666666666667,55.0,35.833333333333336,65.4
20,48.58202037724263,77.56666666666668,63.13333333333335,26.866666666666667,54.43333333333333,38.66666666666667,68.43333333333334
21,51.82082173572547,63.56666666666667,61.366666666666674,27.266666666666666,32.93333333333334,51.0,79.3
22,55.05962309420831,59.66666666666667,57.333333333333336,37.06666666666668,38.7,40.10000000000001,64.5
23,58.29842445269115,45.33333333333334,74.26666666666667,29.46666666666667,44.800000000000004,39.73333333333334,71.56666666666668
24,61.537225811174,50.39999999999999,57.23333333333333,38.733333333333334,47.03333333333334,47.49999999999999,80.46666666666667
25,64.77602716965684,65.26666666666667,65.03333333333333,36.26666666666667,46.93333333333334,29.233333333333334,67.9
26,68.01482852813967,55.13333333333334,59.33333333333334,46.26666666666667,48.20000000000001,42.466666666666676,73.03333333333333
27,71.25362988662252,61.0,73.43333333333334,46.26666666666667,46.2,49.93333333333334,83.66666666666667
28,74.49243124510537,62.16666666666667,72.60000000000001,51.86666666666667,56.53333333333333,47.900000000000006,71.06666666666668
29,77.7312326035882,52.50000000000001,71.30000000000001,47.13333333333335,59.06666666666667,38.2,94.63333333333335
30,80.97003396207104,51.63333333333333,70.13333333333334,36.93333333333333,52.13333333333333,60.766666666666666,96.90000000000002
31,84.20883532055389,57.43333333333334,62.46666666666667,41.699999999999996,70.16666666666669,47.56666666666666,108.56666666666666
32,87.44763667903673,44.53333333333334,67.03333333333335,53.86666666666666,58.56666666666667,54.366666666666674,102.73333333333335
33,90.68643803751957,43.43333333333333,70.83333333333334,80.23333333333333,64.16666666666667,61.80000000000001,89.86666666666667
34,93.92523939600241,56.133333333333326,71.90000000000002,81.16666666666667,41.333333333333336,66.73333333333333,117.46666666666667
35,97.16404075448526,51.70000000000001,84.10000000000001,67.0,57.26666666666667,68.06666666666666,107.43333333333334
36,100.4028421129681,45.5,81.43333333333332,77.23333333333333,60.63333333333333,67.3,114.76666666666668
37,103.64164347145093,69.93333333333334,79.53333333333333,83.83333333333334,45.833333333333336,68.53333333333333,124.76666666666668
38,106.88044482993378,51.466666666666676,86.83333333333334,77.93333333333334,44.699999999999996,56.13333333333334,139.2
39,110.11924618841662,60.56666666666668,73.43333333333334,86.36666666666667,46.7,63.13333333333334,128.26666666666668
40,113.35804754689946,46.666666666666664,69.60000000000001,84.16666666666666,67.20000000000002,62.53333333333333,110.26666666666667
41,116.5968489053823,56.63333333333333,88.26666666666668,74.46666666666667,48.3,63.766666666666666,129.8
42,119.83565026386515,42.2,79.36666666666666,110.96666666666667,54.5,64.66666666666667,117.86666666666667
43,123.074451622348,32.766666666666666,88.26666666666667,92.63333333333333,55.96666666666666,72.06666666666666,126.86666666666667
44,126.31325298083082,45.86666666666667,86.9,85.43333333333334,63.56666666666667,53.16666666666666,129.83333333333337
45,129.55205433931368,50.06666666666668,87.5,72.53333333333333,61.0,57.43333333333334,135.43333333333334
46,132.7908556977965,50.56666666666668,83.13333333333333,99.03333333333335,62.266666666666666,75.13333333333334,142.63333333333333
47,136.02965705627935,46.63333333333334,78.83333333333334,107.43333333333334,58.33333333333334,84.3,145.36666666666667
48,139.2684584147622,39.7,108.29999999999998,95.23333333333332,52.03333333333334,77.1,143.5
49,142.50725977324504,46.1,113.30000000000001,108.7,53.733333333333334,74.33333333333334,159.4
50,145.74606113172788,38.63333333333334,108.46666666666668,108.20000000000002,74.4,82.4,177.46666666666667
51,148.98486249021073,43.400000000000006,108.66666666666669,114.0,67.1,73.86666666666666,148.66666666666666
52,152.22366384869358,55.13333333333333,109.60000000000001,109.5,60.43333333333334,92.50000000000001,161.4
53,155.4624652071764,52.400000000000006,91.76666666666667,97.56666666666666,75.13333333333333,111.60000000000001,162.26666666666668
54,158.70126656565924,49.93333333333334,107.26666666666668,109.80000000000001,75.9,100.53333333333332,164.70000000000002
55,161.94006792414208,42.13333333333333,143.6,92.5,73.20000000000002,119.46666666666668,172.03333333333336
56,165.17886928262493,50.36666666666667,114.66666666666666,108.06666666666668,65.36666666666666,134.56666666666666,171.70000000000002
57,168.41767064110778,52.60000000000001,122.13333333333334,133.5666666666667,71.93333333333334,126.23333333333335,158.13333333333335
58,171.65647199959062,47.96666666666667,111.23333333333333,124.93333333333334,74.96666666666667,111.46666666666667,166.26666666666668
59,174.89527335807347,39.56666666666667,118.66666666666669,125.2666666666667,78.43333333333334,124.03333333333336,170.60000000000002
60,178.13407471655628,36.56666666666667,121.20000000000002,123.43333333333332,78.19999999999999,145.43333333333337,172.70000000000005
61,181.37287607503913,41.2,125.36666666666667,108.4,93.73333333333335,140.63333333333335,171.76666666666665
62,184.61167743352198,35.16666666666667,118.73333333333335,129.06666666666666,83.93333333333334,138.26666666666668,176.70000000000002
63,187.85047879200482,32.300000000000004,130.5,134.16666666666669,66.96666666666667,131.4,188.10000000000002
64,191.08928015048767,35.56666666666667,122.90000000000002,128.16666666666666,87.56666666666668,141.06666666666666,191.43333333333337
65,194.3280815089705,35.7,125.20000000000002,157.8,79.93333333333335,137.0,174.79999999999998
66,197.56688286745336,32.66666666666667,125.36666666666667,129.76666666666668,80.86666666666669,143.7,173.46666666666667
67,200.8056842259362,50.233333333333334,137.8666666666667,113.03333333333335,76.10000000000001,137.3,178.56666666666666
68,204.04448558441902,52.166666666666664,126.56666666666668,118.56666666666668,74.53333333333332,138.8,189.10000000000002
69,207.28328694290187,38.900000000000006,126.33333333333334,133.76666666666665,75.43333333333335,123.66666666666669,218.63333333333338
70,210.5220883013847,36.6,127.93333333333334,143.63333333333333,89.26666666666667,157.13333333333333,202.43333333333334
71,213.76088965986756,38.1,134.0666666666667,125.80000000000003,86.53333333333335,154.13333333333333,197.7
72,216.9996910183504,20.9,137.16666666666666,108.6,91.66666666666667,157.70000000000002,172.16666666666669
73,220.23849237683325,36.0,116.30000000000001,112.46666666666667,89.96666666666667,155.39999999999998,176.3666666666667
74,223.4772937353161,41.366666666666674,105.16666666666667,122.96666666666667,71.5,158.8,183.40000000000003
75,226.7160950937989,34.66666666666667,116.53333333333335,118.83333333333333,79.73333333333333,164.0666666666667,200.00000000000003
76,229.95489645228176,30.400000000000002,140.53333333333336,144.2,73.16666666666666,160.56666666666666,197.33333333333337
77,233.1936978107646,42.733333333333334,132.0,146.43333333333334,88.46666666666667,172.76666666666665,215.83333333333337
78,236.43249916924745,36.16666666666667,144.1,125.93333333333334,75.86666666666667,188.0,247.13333333333335
79,239.6713005277303,42.63333333333333,127.53333333333333,128.9666666666667,73.89999999999999,175.8,230.76666666666665
80,242.91010188621314,40.866666666666674,139.20000000000002,132.13333333333335,94.73333333333333,168.63333333333333,250.4333333333333
81,246.148903244696,40.53333333333334,123.9,141.26666666666668,91.6,186.53333333333336,225.16666666666669
