,Abscissa,red_241211_2619+2621_0p5agarose_LB_OD0p5_Still_mix50pc_2h30_20X_1028.tif,red_250326_2619+2621_1_0p5agarose_LB_OD0p5_still_mix50pc_2h30_20X_040.tif,red_250506_2619+2621_1_0p5Agar_LB_OD0p5_Still_mix50pc_2h30_20X132.tif,green_241211_2619+2621_0p5agarose_LB_OD0p5_Still_mix50pc_2h30_20X_1028.tif,green_250326_2619+2621_1_0p5agarose_LB_OD0p5_still_mix50pc_2h30_20X_040.tif,green_250506_2619+2621_1_0p5Agar_LB_OD0p5_Still_mix50pc_2h30_20X132.tif
0,-16.19400679241421,0.0,0.0,0.0,0.0,0.0,0.0
1,-12.955205433931367,0.0,0.0,0.0,0.0,0.0,0.0
2,-9.716404075448525,0.0,0.0,0.0,0.0,0.0,0.0
3,-6.477602716965683,0.0,0.0,0.0,0.0,0.0,0.0
4,-3.2388013584828417,0.0,0.0,0.0,0.0,0.0,0.0
5,0.0,15.233333333333334,44.86666666666667,35.5,50.96666666666667,22.333333333333336,54.766666666666666
6,3.2388013584828417,49.400000000000006,132.9,133.63333333333335,104.46666666666667,44.13333333333333,124.66666666666669
7,6.477602716965683,102.43333333333335,124.10000000000002,192.63333333333333,67.13333333333334,33.333333333333336,79.3
8,9.716404075448525,148.70000000000002,142.03333333333336,227.66666666666669,48.833333333333336,25.033333333333335,60.900000000000006
9,12.955205433931367,176.56666666666666,134.56666666666666,233.13333333333335,34.6,27.53333333333333,45.93333333333334
10,16.19400679241421,184.46666666666667,125.73333333333333,199.36666666666665,31.1,24.133333333333333,31.433333333333334
11,19.43280815089705,165.46666666666664,113.76666666666667,161.83333333333334,28.06666666666667,25.000000000000004,23.400000000000002
12,22.67160950937989,162.1,101.13333333333334,149.4,23.866666666666667,20.900000000000002,22.233333333333334
13,25.910410867862733,118.36666666666667,116.1,148.23333333333335,23.0,22.5,25.36666666666667
14,29.149212226345576,110.56666666666666,126.06666666666669,138.66666666666669,19.1,30.5,19.5
15,32.38801358482842,103.93333333333332,140.83333333333334,166.8,22.3,34.6,22.400000000000002
16,35.62681494331126,101.06666666666669,135.16666666666666,146.70000000000002,22.966666666666665,26.53333333333334,19.200000000000003
17,38.8656163017941,90.36666666666667,137.93333333333334,147.96666666666667,24.96666666666667,37.03333333333334,13.8
18,42.104417660276944,99.93333333333337,156.93333333333337,147.5666666666667,19.06666666666667,34.03333333333334,14.8
19,45.34321901875978,80.76666666666667,157.10000000000002,163.26666666666668,18.466666666666665,44.83333333333334,20.03333333333334
20,48.58202037724263,84.33333333333334,147.36666666666667,147.06666666666666,25.56666666666667,43.0,29.500000000000004
21,51.82082173572547,83.66666666666667,157.13333333333333,156.66666666666669,15.900000000000002,43.1,22.9
22,55.05962309420831,80.33333333333333,162.63333333333335,154.06666666666666,22.3,41.7,24.599999999999998
23,58.29842445269115,85.9,177.36666666666667,162.60000000000002,15.133333333333333,36.86666666666667,27.0
24,61.537225811174,79.83333333333334,162.0666666666667,160.43333333333334,11.133333333333333,33.6,44.03333333333334
25,64.77602716965684,89.4,160.60000000000002,177.9666666666667,17.833333333333336,43.43333333333334,45.66666666666667
26,68.01482852813967,86.90000000000002,168.26666666666665,166.63333333333333,27.6,43.56666666666667,51.99999999999999
27,71.25362988662252,77.93333333333334,157.33333333333337,175.76666666666665,39.06666666666667,45.7,54.16666666666667
28,74.49243124510537,85.16666666666666,167.29999999999998,170.56666666666672,33.266666666666666,37.900000000000006,39.93333333333334
29,77.7312326035882,103.80000000000001,166.5,183.86666666666667,43.56666666666667,35.63333333333333,41.50000000000001
30,80.97003396207104,106.93333333333334,178.5666666666667,175.5666666666667,47.03333333333333,40.333333333333336,39.76666666666667
31,84.20883532055389,111.13333333333334,169.89999999999998,174.53333333333333,32.96666666666667,39.733333333333334,35.96666666666667
32,87.44763667903673,97.43333333333334,180.23333333333332,175.8,35.16666666666667,44.63333333333334,55.46666666666667
33,90.68643803751957,80.9,181.73333333333338,207.06666666666663,32.86666666666667,40.53333333333334,43.53333333333334
34,93.92523939600241,109.86666666666669,183.33333333333337,190.8,39.8,56.36666666666667,37.03333333333333
35,97.16404075448526,100.13333333333333,207.06666666666666,206.43333333333334,32.63333333333333,62.53333333333333,41.06666666666667
36,100.4028421129681,91.03333333333336,208.7,202.3,39.6,77.30000000000001,43.766666666666666
37,103.64164347145093,115.66666666666669,191.83333333333334,189.23333333333335,36.7,58.8,71.6
38,106.88044482993378,105.56666666666666,208.4,194.2,43.56666666666666,61.16666666666667,67.30000000000001
39,110.11924618841662,118.13333333333333,230.9333333333333,207.5333333333333,45.53333333333334,64.80000000000001,81.29999999999998
40,113.35804754689946,137.73333333333335,232.10000000000002,196.70000000000005,50.966666666666676,59.1,84.96666666666667
41,116.5968489053823,116.9,226.5,222.76666666666674,64.06666666666668,74.23333333333333,73.26666666666667
42,119.83565026386515,102.43333333333334,234.39999999999998,200.20000000000002,69.96666666666667,84.43333333333334,78.73333333333333
43,123.074451622348,111.13333333333334,226.83333333333337,211.93333333333337,64.33333333333334,75.9,84.63333333333333
44,126.31325298083082,97.13333333333334,244.63333333333333,226.36666666666673,68.86666666666667,97.00000000000001,87.06666666666666
45,129.55205433931368,109.66666666666667,272.73333333333335,235.0333333333333,59.56666666666668,111.7,80.93333333333335
46,132.7908556977965,128.23333333333335,284.2333333333333,232.73333333333338,53.46666666666667,117.26666666666665,67.23333333333332
47,136.02965705627935,126.23333333333333,273.70000000000005,255.76666666666665,58.599999999999994,114.80000000000003,84.66666666666667
48,139.2684584147622,118.06666666666666,255.20000000000002,264.50000000000006,64.13333333333334,114.56666666666666,100.43333333333334
49,142.50725977324504,112.13333333333335,283.30000000000007,276.9000000000001,64.03333333333333,108.19999999999999,104.19999999999999
50,145.74606113172788,107.53333333333333,301.93333333333334,274.33333333333337,57.83333333333334,106.53333333333335,116.76666666666668
51,148.98486249021073,112.56666666666668,314.7666666666667,258.0,74.23333333333335,111.66666666666669,112.33333333333334
52,152.22366384869358,141.40000000000003,302.1333333333333,256.83333333333337,79.73333333333335,109.93333333333334,128.00000000000003
53,155.4624652071764,152.76666666666665,328.3666666666667,262.4666666666667,68.6,131.20000000000002,145.6
54,158.70126656565924,155.03333333333333,308.9333333333334,249.53333333333333,70.43333333333334,143.16666666666669,157.86666666666667
55,161.94006792414208,146.96666666666667,320.0,246.70000000000005,92.23333333333335,136.23333333333335,178.0
56,165.17886928262493,134.5,329.9,248.76666666666665,96.53333333333335,155.4333333333333,152.16666666666669
57,168.41767064110778,118.8,354.5,269.1,82.00000000000001,174.00000000000003,147.20000000000005
58,171.65647199959062,130.23333333333335,351.0666666666668,308.0,75.16666666666667,199.73333333333335,147.3
59,174.89527335807347,119.20000000000002,379.9333333333334,295.3666666666667,99.73333333333332,181.8,161.03333333333333
60,178.13407471655628,139.16666666666669,353.7666666666667,289.56666666666666,87.06666666666668,189.83333333333331,144.16666666666669
61,181.37287607503913,128.63333333333335,325.3666666666667,267.0333333333333,104.46666666666667,185.43333333333334,160.00000000000003
62,184.61167743352198,150.96666666666667,347.46666666666664,255.6666666666667,98.86666666666665,196.5,144.8
63,187.85047879200482,128.96666666666667,386.16666666666674,266.6666666666667,109.46666666666667,178.23333333333332,145.66666666666669
64,191.08928015048767,122.43333333333334,374.4666666666667,247.7,115.6,207.33333333333334,153.36666666666667
65,194.3280815089705,144.96666666666667,361.9666666666667,259.2666666666667,97.53333333333333,211.9333333333333,153.63333333333335
66,197.56688286745336,149.8,351.7,278.29999999999995,100.33333333333334,207.7666666666667,188.16666666666669
67,200.8056842259362,159.96666666666667,347.6333333333333,275.70000000000005,88.73333333333335,216.06666666666672,166.9666666666667
68,204.04448558441902,144.76666666666668,360.8,264.76666666666665,88.36666666666667,220.73333333333332,153.9
69,207.28328694290187,143.63333333333335,378.3333333333333,255.8,109.50000000000001,227.13333333333338,177.66666666666669
70,210.5220883013847,146.20000000000002,340.7666666666667,262.6333333333333,106.13333333333334,242.49999999999997,181.73333333333338
71,213.76088965986756,142.9,380.00000000000006,264.3666666666667,113.5,239.66666666666669,200.93333333333334
72,216.9996910183504,143.90000000000003,370.90000000000003,271.3,106.23333333333333,259.9,185.60000000000002
73,220.23849237683325,153.50000000000003,321.30000000000007,252.80000000000004,124.53333333333335,284.5666666666667,184.13333333333333
74,223.4772937353161,147.1,363.8333333333333,273.73333333333335,117.0,270.9,204.2
75,226.7160950937989,153.9,353.3666666666667,263.8,102.13333333333333,278.26666666666665,256.4666666666667
76,229.95489645228176,147.7,341.43333333333334,275.73333333333335,104.63333333333334,278.8,233.66666666666666
77,233.1936978107646,140.70000000000002,353.09999999999997,258.9666666666667,118.6,256.9,254.8
78,236.43249916924745,151.23333333333335,354.4666666666667,239.7666666666667,115.60000000000001,254.40000000000003,245.2
79,239.6713005277303,144.70000000000002,337.2333333333333,245.5666666666667,107.23333333333335,243.7,253.13333333333333
80,242.91010188621314,144.93333333333334,347.1,257.9000000000001,115.96666666666667,244.83333333333334,245.43333333333334
81,246.148903244696,140.8,367.26666666666665,267.5666666666667,111.4,250.30000000000004,233.6
82,249.3877046031788,125.73333333333333,350.03333333333336,252.93333333333334,115.93333333333334,255.3,255.2666666666667
