,Abscissa,red_250319_2619+2621_0p5agarose_LB_OD0p5_still_mix50pc_10min_20X_002.tif,red_250326_2619+2621_2_0p5agarose_LB_OD0p5_still_mix50pc_10min_20X_004.tif,red_250506_2619+2621_1_0p5Agarose_LB_OD0p5_Still_mix50pc_10min_20X003.tif,green_250319_2619+2621_0p5agarose_LB_OD0p5_still_mix50pc_10min_20X_002.tif,green_250326_2619+2621_2_0p5agarose_LB_OD0p5_still_mix50pc_10min_20X_004.tif,green_250506_2619+2621_1_0p5Agarose_LB_OD0p5_Still_mix50pc_10min_20X003.tif
0,-16.19400679241421,0.0,0.0,0.0,0.0,0.0,0.0
1,-12.955205433931367,0.0,0.0,0.0,0.0,0.0,0.0
2,-9.716404075448525,0.0,0.0,0.0,0.0,0.0,0.0
3,-6.477602716965683,0.0,0.0,0.0,0.0,0.0,0.0
4,-3.2388013584828417,0.0,0.0,0.0,0.0,0.0,0.0
5,0.0,55.86666666666666,34.733333333333334,26.66666666666667,24.300000000000004,55.53333333333334,70.06666666666668
6,3.2388013584828417,75.93333333333334,54.733333333333334,30.86666666666667,47.63333333333334,81.73333333333335,162.50000000000003
7,6.477602716965683,27.766666666666666,38.233333333333334,19.433333333333334,25.000000000000004,45.50000000000001,88.7
8,9.716404075448525,32.3,46.433333333333344,28.833333333333336,24.4,57.73333333333334,72.60000000000001
9,12.955205433931367,36.36666666666667,41.40000000000001,25.500000000000004,27.06666666666667,44.766666666666666,96.7
10,16.19400679241421,33.0,52.233333333333334,33.2,26.333333333333336,55.766666666666666,81.1
11,19.43280815089705,38.20000000000001,55.13333333333334,32.43333333333334,28.56666666666667,52.400000000000006,65.13333333333333
12,22.67160950937989,51.26666666666667,73.46666666666667,49.1,33.333333333333336,47.733333333333334,59.06666666666667
13,25.910410867862733,34.333333333333336,66.2,53.16666666666667,38.2,50.7,52.76666666666667
14,29.149212226345576,23.8,62.63333333333334,49.766666666666666,30.333333333333336,59.20000000000001,58.433333333333344
15,32.38801358482842,38.16666666666667,60.20000000000001,61.733333333333334,38.400000000000006,78.13333333333334,64.46666666666667
16,35.62681494331126,46.33333333333333,76.23333333333333,63.56666666666667,35.96666666666667,66.9,55.699999999999996
17,38.8656163017941,50.03333333333334,87.6,71.26666666666667,29.099999999999998,62.400000000000006,54.53333333333333
18,42.104417660276944,44.0,95.73333333333335,70.4,30.5,83.10000000000001,50.33333333333334
19,45.34321901875978,40.7,101.63333333333334,94.93333333333334,33.800000000000004,81.96666666666668,48.56666666666668
20,48.58202037724263,50.1,93.16666666666667,76.16666666666667,29.200000000000003,74.7,56.50000000000001
21,51.82082173572547,42.56666666666667,90.03333333333333,86.73333333333333,42.16666666666667,81.23333333333333,64.43333333333334
22,55.05962309420831,40.33333333333333,82.46666666666667,68.83333333333334,46.866666666666674,81.2,70.16666666666669
23,58.29842445269115,32.93333333333334,102.56666666666666,76.33333333333333,46.13333333333334,91.80000000000001,73.06666666666666
24,61.537225811174,36.26666666666667,105.90000000000003,79.2,45.00000000000001,79.86666666666667,51.800000000000004
25,64.77602716965684,30.500000000000004,105.96666666666668,67.30000000000001,40.76666666666667,101.76666666666668,57.866666666666674
26,68.01482852813967,23.733333333333334,120.80000000000001,61.3,31.733333333333334,118.00000000000001,64.66666666666667
27,71.25362988662252,25.400000000000002,121.53333333333333,66.13333333333334,36.13333333333333,108.39999999999999,74.53333333333333
28,74.49243124510537,20.866666666666674,108.63333333333335,80.76666666666668,48.233333333333334,102.63333333333334,66.16666666666667
29,77.7312326035882,14.4,119.2666666666667,67.0,49.86666666666667,122.30000000000001,78.76666666666667
30,80.97003396207104,18.133333333333333,114.5,86.83333333333334,41.233333333333334,135.0,74.13333333333334
31,84.20883532055389,25.033333333333335,109.66666666666667,91.63333333333334,36.766666666666666,153.83333333333334,87.8
32,87.44763667903673,31.866666666666667,114.06666666666669,77.76666666666668,41.93333333333334,149.63333333333333,67.53333333333333
33,90.68643803751957,18.133333333333336,110.53333333333333,76.89999999999999,47.86666666666667,132.43333333333337,79.86666666666667
34,93.92523939600241,17.5,118.06666666666668,71.86666666666666,42.333333333333336,128.7,76.36666666666667
35,97.16404075448526,23.466666666666672,118.16666666666669,54.933333333333344,30.000000000000004,154.33333333333334,77.13333333333333
36,100.4028421129681,23.566666666666663,98.8,54.66666666666667,33.6,158.63333333333335,77.83333333333334
37,103.64164347145093,27.866666666666667,107.23333333333335,83.6,43.26666666666668,155.30000000000004,65.73333333333333
38,106.88044482993378,27.133333333333333,115.06666666666669,71.73333333333333,48.1,169.23333333333332,72.13333333333334
39,110.11924618841662,25.833333333333332,102.0,78.50000000000001,35.133333333333326,180.23333333333332,77.4
40,113.35804754689946,25.433333333333337,112.43333333333337,81.76666666666668,31.233333333333334,182.93333333333334,70.06666666666666
41,116.5968489053823,24.533333333333335,94.93333333333334,80.30000000000001,34.13333333333334,174.16666666666666,85.56666666666668
42,119.83565026386515,20.86666666666667,102.73333333333333,59.300000000000004,38.900000000000006,136.96666666666667,83.39999999999999
43,123.074451622348,23.0,95.7,61.93333333333334,39.2,140.0666666666667,65.06666666666668
44,126.31325298083082,23.433333333333334,93.13333333333334,54.333333333333336,39.63333333333334,146.43333333333334,73.63333333333335
45,129.55205433931368,30.66666666666667,92.76666666666668,61.23333333333335,36.0,118.86666666666667,72.33333333333334
46,132.7908556977965,23.533333333333335,98.2,62.56666666666667,30.0,141.6,82.66666666666666
47,136.02965705627935,22.500000000000004,105.16666666666666,72.8,34.833333333333336,160.13333333333335,87.30000000000001
48,139.2684584147622,23.4,78.33333333333334,77.03333333333333,24.433333333333337,177.23333333333335,75.2
49,142.50725977324504,24.5,94.20000000000002,76.93333333333332,28.76666666666667,159.9,75.50000000000001
50,145.74606113172788,23.1,102.53333333333335,81.93333333333334,28.866666666666664,184.83333333333334,84.30000000000001
51,148.98486249021073,16.866666666666667,110.93333333333334,68.43333333333334,37.6,178.90000000000003,60.13333333333333
52,152.22366384869358,22.7,73.30000000000001,46.900000000000006,29.666666666666664,174.13333333333333,84.76666666666668
53,155.4624652071764,25.9,82.13333333333334,59.16666666666667,25.900000000000002,151.93333333333337,87.20000000000002
54,158.70126656565924,29.066666666666674,87.8,62.433333333333344,34.800000000000004,151.26666666666668,79.16666666666667
55,161.94006792414208,24.366666666666667,92.13333333333333,67.26666666666667,27.333333333333336,164.06666666666666,76.4
56,165.17886928262493,26.100000000000005,89.66666666666667,75.39999999999999,18.16666666666667,165.56666666666666,83.23333333333333
57,168.41767064110778,15.666666666666668,79.19999999999999,54.93333333333332,27.799999999999997,134.26666666666665,85.06666666666668
58,171.65647199959062,14.166666666666668,80.63333333333334,55.63333333333333,30.499999999999996,149.3,68.53333333333333
59,174.89527335807347,18.5,85.03333333333333,52.133333333333326,35.1,154.83333333333337,72.43333333333332
60,178.13407471655628,25.5,84.96666666666667,55.43333333333333,32.833333333333336,151.1,70.86666666666667
61,181.37287607503913,17.533333333333335,84.19999999999999,52.60000000000001,31.066666666666674,145.50000000000003,86.4
62,184.61167743352198,15.866666666666665,70.93333333333334,53.26666666666667,33.233333333333334,137.23333333333335,78.06666666666669
63,187.85047879200482,24.766666666666666,74.66666666666667,59.26666666666667,41.833333333333336,129.73333333333335,74.10000000000001
64,191.08928015048767,21.166666666666664,72.86666666666667,40.766666666666666,19.700000000000003,121.4,57.96666666666667
65,194.3280815089705,18.73333333333333,93.66666666666667,45.366666666666674,23.76666666666667,136.33333333333334,59.733333333333334
66,197.56688286745336,21.16666666666667,86.23333333333333,42.6,25.866666666666664,148.30000000000004,70.8
67,200.8056842259362,15.76666666666667,84.83333333333334,30.299999999999997,31.200000000000003,131.10000000000002,63.83333333333334
68,204.04448558441902,19.7,76.83333333333334,50.36666666666666,36.93333333333334,122.40000000000002,62.83333333333333
69,207.28328694290187,14.066666666666666,87.73333333333335,43.0,36.033333333333346,152.83333333333334,65.4
70,210.5220883013847,15.06666666666667,86.00000000000001,34.9,34.73333333333334,141.86666666666667,58.333333333333336
71,213.76088965986756,21.5,75.46666666666667,37.300000000000004,25.933333333333334,132.36666666666667,69.33333333333333
72,216.9996910183504,24.0,54.43333333333334,46.83333333333333,29.33333333333333,116.63333333333335,68.83333333333334
73,220.23849237683325,13.766666666666666,71.73333333333333,49.06666666666666,33.6,121.8666666666667,80.10000000000001
74,223.4772937353161,15.733333333333334,73.13333333333333,38.5,37.266666666666666,111.66666666666669,76.26666666666668
75,226.7160950937989,26.333333333333332,69.23333333333335,33.900000000000006,29.133333333333336,115.0,66.43333333333334
76,229.95489645228176,15.16666666666667,76.33333333333334,44.00000000000001,23.200000000000003,114.06666666666668,57.06666666666668
77,233.1936978107646,20.200000000000003,53.90000000000001,46.13333333333334,34.5,129.89999999999998,73.3
78,236.43249916924745,13.866666666666669,62.96666666666667,41.46666666666667,28.700000000000003,122.96666666666665,64.16666666666667
79,239.6713005277303,18.5,64.66666666666667,47.23333333333334,36.2,105.96666666666667,69.0
80,242.91010188621314,20.700000000000003,60.166666666666664,32.93333333333334,30.3,122.00000000000001,85.1
81,246.148903244696,18.5,57.66666666666667,46.63333333333334,17.633333333333333,104.4,65.53333333333333
