,Abscissa,red_250326_2619+2621_2_0p5agarose_LB_OD0p5_still_mix50pc_30min_20X_020.tif,red_250402_2619+2621_2_0p5agarose_LB_OD0p5_Still_mix50pc_30min_20X_024.tif,red_250404_2619+2621_5_0p5agarose_LB_OD0p5_Still_mix50pc_30min_20X_051.tif,red_250506_2619+2621_3_0p5Agarose_LB_OD0p5_Still_mix50pc_30min_20X038.tif,green_250326_2619+2621_2_0p5agarose_LB_OD0p5_still_mix50pc_30min_20X_020.tif,green_250402_2619+2621_2_0p5agarose_LB_OD0p5_Still_mix50pc_30min_20X_024.tif,green_250404_2619+2621_5_0p5agarose_LB_OD0p5_Still_mix50pc_30min_20X_051.tif,green_250506_2619+2621_3_0p5Agarose_LB_OD0p5_Still_mix50pc_30min_20X038.tif
0,-16.19400679241421,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,-12.955205433931367,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,-9.716404075448525,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,-6.477602716965683,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,-3.2388013584828417,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,0.0,1.5,7.233333333333333,12.966666666666669,7.133333333333334,91.30000000000001,91.96666666666667,79.26666666666667,61.66666666666667
6,3.2388013584828417,6.9,13.266666666666666,18.53333333333333,5.033333333333333,156.33333333333334,147.8666666666667,135.73333333333335,69.00000000000001
7,6.477602716965683,7.766666666666668,21.333333333333336,8.966666666666667,0.6,99.53333333333335,102.73333333333332,71.96666666666665,41.8
8,9.716404075448525,5.5,16.8,12.6,3.433333333333334,80.86666666666667,91.73333333333333,78.43333333333334,46.733333333333334
9,12.955205433931367,8.666666666666666,25.4,12.3,7.600000000000001,73.03333333333333,60.93333333333334,50.599999999999994,41.666666666666664
10,16.19400679241421,13.000000000000002,29.833333333333332,24.46666666666667,10.566666666666666,83.43333333333334,60.1,56.699999999999996,39.00000000000001
11,19.43280815089705,14.433333333333334,31.800000000000004,32.16666666666667,14.933333333333334,68.96666666666668,59.73333333333334,60.533333333333346,58.60000000000001
12,22.67160950937989,18.333333333333336,44.7,40.93333333333334,17.1,79.13333333333335,52.10000000000001,68.93333333333334,68.76666666666667
13,25.910410867862733,20.56666666666667,59.733333333333334,49.166666666666664,27.833333333333336,89.23333333333333,30.6,53.3,56.2
14,29.149212226345576,28.66666666666667,66.66666666666667,58.2,29.7,83.1,37.733333333333334,46.96666666666667,64.86666666666667
15,32.38801358482842,24.63333333333334,87.9,66.83333333333334,37.83333333333334,69.96666666666667,44.23333333333333,72.46666666666667,81.80000000000001
16,35.62681494331126,38.56666666666667,94.83333333333334,67.23333333333335,52.76666666666667,60.7,47.63333333333334,63.900000000000006,99.89999999999998
17,38.8656163017941,32.63333333333333,83.93333333333334,62.7,57.83333333333334,58.0,45.33333333333334,57.53333333333334,94.76666666666665
18,42.104417660276944,35.13333333333333,101.56666666666666,62.93333333333334,69.76666666666667,75.43333333333334,43.06666666666666,55.96666666666667,97.16666666666666
19,45.34321901875978,53.76666666666667,103.76666666666665,79.53333333333333,94.3,66.86666666666667,49.83333333333334,53.166666666666664,106.53333333333335
20,48.58202037724263,54.43333333333334,88.6,68.36666666666667,106.56666666666668,63.96666666666666,39.766666666666666,72.1,111.29999999999998
21,51.82082173572547,56.266666666666666,103.99999999999999,60.66666666666667,99.16666666666667,65.30000000000001,37.36666666666667,69.9,99.96666666666667
22,55.05962309420831,53.73333333333334,93.03333333333333,67.26666666666668,110.63333333333334,73.23333333333335,31.400000000000006,64.39999999999999,90.0
23,58.29842445269115,60.40000000000001,89.73333333333333,84.70000000000002,101.2,62.83333333333334,39.6,83.96666666666667,81.16666666666667
24,61.537225811174,68.30000000000001,91.43333333333334,75.26666666666667,106.06666666666668,67.26666666666668,37.933333333333344,75.50000000000001,87.96666666666667
25,64.77602716965684,71.9,70.2,79.86666666666666,113.63333333333334,70.53333333333333,54.43333333333334,79.53333333333335,93.76666666666668
26,68.01482852813967,62.233333333333334,69.9,99.46666666666668,107.30000000000001,71.43333333333334,45.266666666666666,86.69999999999999,83.7
27,71.25362988662252,52.2,95.26666666666668,90.56666666666668,96.76666666666668,80.06666666666666,52.43333333333333,75.36666666666667,92.73333333333335
28,74.49243124510537,78.70000000000002,84.1,93.86666666666666,95.66666666666666,69.36666666666666,47.80000000000001,80.56666666666666,87.46666666666667
29,77.7312326035882,78.53333333333335,84.03333333333333,101.36666666666667,100.16666666666669,97.43333333333334,36.233333333333334,95.13333333333333,90.3
30,80.97003396207104,95.06666666666666,90.73333333333332,100.50000000000001,107.3,92.30000000000001,57.36666666666667,100.66666666666666,94.0
31,84.20883532055389,103.26666666666668,100.60000000000001,97.80000000000001,117.83333333333334,83.33333333333334,57.23333333333335,93.66666666666669,79.43333333333334
32,87.44763667903673,90.56666666666668,72.13333333333335,97.66666666666669,114.36666666666666,88.63333333333333,59.400000000000006,83.46666666666668,103.36666666666667
