,Abscissa,red_250326_2619+2624_2_0p5agarose_LB_OD0p5_still_mix50pc_1h30_20X_038.tif,red_250402_2619+2624_7_0p5agarose_LB_OD0p5_Still_mix50pc_1h30_20X_033.tif,red_250506_2619+2624_1_0p5Agarose_LB_OD0p5_Still_mix50pc_1h30_20X069.tif,green_250326_2619+2624_2_0p5agarose_LB_OD0p5_still_mix50pc_1h30_20X_038.tif,green_250402_2619+2624_7_0p5agarose_LB_OD0p5_Still_mix50pc_1h30_20X_033.tif,green_250506_2619+2624_1_0p5Agarose_LB_OD0p5_Still_mix50pc_1h30_20X069.tif
0,-16.19400679241421,0.0,0.0,0.0,0.0,0.0,0.0
1,-12.955205433931367,0.0,0.0,0.0,0.0,0.0,0.0
2,-9.716404075448525,0.0,0.0,0.0,0.0,0.0,0.0
3,-6.477602716965683,0.0,0.0,0.0,0.0,0.0,0.0
4,-3.2388013584828417,0.0,0.0,0.0,0.0,0.0,0.0
5,0.0,87.16666666666667,82.86666666666667,56.2,0.0,0.0,20.666666666666668
6,3.2388013584828417,159.86666666666667,98.73333333333333,173.0666666666667,0.0,0.0,51.866666666666674
7,6.477602716965683,151.13333333333333,46.133333333333326,165.60000000000002,0.0,0.0,36.06666666666668
8,9.716404075448525,153.7,46.0,147.53333333333336,0.4,0.0,38.43333333333334
9,12.955205433931367,131.8,43.4,127.13333333333334,0.6666666666666667,0.0,33.46666666666667
10,16.19400679241421,138.76666666666668,53.333333333333336,104.06666666666669,1.6333333333333335,0.0,38.599999999999994
11,19.43280815089705,114.23333333333335,59.16666666666667,117.2,1.6666666666666667,0.0,30.900000000000006
12,22.67160950937989,108.76666666666668,78.73333333333333,119.76666666666668,2.8000000000000003,0.0,27.133333333333336
13,25.910410867862733,110.56666666666668,73.63333333333334,108.70000000000002,0.5333333333333333,0.0,29.200000000000003
14,29.149212226345576,97.03333333333333,90.9,108.13333333333334,2.466666666666667,0.4,35.199999999999996
15,32.38801358482842,107.16666666666667,96.96666666666668,111.5,3.9666666666666672,0.0,26.46666666666667
16,35.62681494331126,108.46666666666667,84.80000000000001,106.16666666666666,3.900000000000001,0.0,14.466666666666667
17,38.8656163017941,121.46666666666667,99.63333333333333,96.33333333333333,5.033333333333333,0.0,15.9
18,42.104417660276944,107.23333333333335,103.30000000000001,99.73333333333335,4.066666666666666,0.0,19.433333333333337
19,45.34321901875978,105.56666666666668,82.93333333333334,107.7,5.6,0.0,24.066666666666666
20,48.58202037724263,81.56666666666666,107.50000000000003,98.86666666666667,7.533333333333333,0.7333333333333334,49.63333333333333
21,51.82082173572547,91.03333333333335,98.33333333333334,112.46666666666667,5.4333333333333345,1.2000000000000002,41.5
22,55.05962309420831,96.56666666666668,113.76666666666665,117.73333333333335,6.8,2.5,28.833333333333336
23,58.29842445269115,87.36666666666667,127.66666666666667,104.56666666666666,6.466666666666667,0.13333333333333333,37.9
24,61.537225811174,91.16666666666667,126.26666666666668,122.36666666666667,13.133333333333335,0.0,32.16666666666667
25,64.77602716965684,95.96666666666668,121.76666666666668,127.16666666666669,13.86666666666667,0.5666666666666667,36.13333333333333
26,68.01482852813967,99.66666666666669,130.36666666666667,158.89999999999998,13.300000000000002,0.4666666666666667,37.63333333333333
27,71.25362988662252,111.26666666666668,159.23333333333335,123.53333333333333,16.633333333333333,1.2666666666666668,44.93333333333333
28,74.49243124510537,107.70000000000002,150.96666666666667,112.23333333333335,18.966666666666665,2.466666666666667,46.80000000000001
29,77.7312326035882,116.26666666666668,146.7,130.43333333333334,18.000000000000004,0.7666666666666666,62.13333333333334
30,80.97003396207104,110.23333333333333,166.50000000000003,144.79999999999998,18.766666666666666,2.1,65.93333333333334
31,84.20883532055389,103.13333333333335,162.33333333333331,123.63333333333334,30.6,5.6,63.5
32,87.44763667903673,103.16666666666667,153.3,132.63333333333333,23.8,5.833333333333334,64.36666666666667
33,90.68643803751957,116.76666666666668,167.56666666666666,137.53333333333333,40.599999999999994,0.5666666666666667,62.66666666666667
34,93.92523939600241,123.70000000000002,178.39999999999998,139.46666666666667,38.5,7.633333333333334,67.03333333333335
35,97.16404075448526,135.20000000000002,201.33333333333334,146.7,37.36666666666666,6.933333333333334,77.16666666666669
36,100.4028421129681,128.73333333333332,211.93333333333334,170.16666666666669,38.66666666666667,8.533333333333335,85.96666666666665
37,103.64164347145093,124.46666666666667,189.93333333333334,160.53333333333333,53.2,12.000000000000002,115.56666666666668
38,106.88044482993378,105.06666666666668,183.40000000000003,162.06666666666666,58.4,7.233333333333333,105.16666666666669
39,110.11924618841662,116.26666666666668,189.83333333333334,167.89999999999998,54.266666666666666,10.100000000000001,103.50000000000001
40,113.35804754689946,111.93333333333334,201.0666666666667,162.63333333333335,63.86666666666667,11.666666666666666,102.66666666666667
41,116.5968489053823,120.50000000000003,194.76666666666668,146.86666666666667,64.83333333333333,18.133333333333336,111.66666666666667
42,119.83565026386515,99.30000000000001,193.03333333333336,155.1,77.53333333333335,14.266666666666667,107.93333333333335
43,123.074451622348,120.1,201.53333333333336,184.86666666666667,82.0,18.666666666666668,106.86666666666667
44,126.31325298083082,114.53333333333335,222.36666666666667,198.53333333333336,94.53333333333333,18.900000000000002,121.83333333333334
45,129.55205433931368,107.7,222.76666666666668,201.86666666666667,96.66666666666667,25.53333333333334,141.03333333333336
46,132.7908556977965,118.46666666666667,223.06666666666666,173.3666666666667,112.13333333333334,23.333333333333336,127.69999999999999
47,136.02965705627935,102.73333333333335,217.73333333333335,152.86666666666667,107.5,28.300000000000004,146.33333333333334
48,139.2684584147622,105.7,247.9,188.60000000000002,125.50000000000001,55.4,155.73333333333335
49,142.50725977324504,114.83333333333333,235.5,190.36666666666665,119.86666666666666,43.86666666666667,157.39999999999998
50,145.74606113172788,122.60000000000001,248.33333333333331,185.10000000000002,131.03333333333336,59.366666666666674,163.53333333333336
51,148.98486249021073,122.50000000000001,234.33333333333334,165.80000000000004,128.76666666666668,64.16666666666667,194.80000000000004
52,152.22366384869358,123.03333333333336,233.26666666666668,184.83333333333334,149.9,63.23333333333334,206.23333333333335
53,155.4624652071764,120.36666666666667,240.8,211.83333333333334,144.63333333333333,66.16666666666667,193.50000000000003
54,158.70126656565924,107.83333333333334,226.06666666666666,176.96666666666667,155.03333333333336,63.73333333333335,183.20000000000002
55,161.94006792414208,94.9,247.26666666666665,191.33333333333331,158.93333333333337,70.56666666666668,208.4
56,165.17886928262493,84.80000000000001,232.5,187.56666666666666,175.83333333333331,85.7,218.69999999999996
57,168.41767064110778,98.73333333333333,254.60000000000002,187.63333333333335,186.3,77.50000000000001,212.40000000000003
58,171.65647199959062,108.13333333333334,290.26666666666665,195.73333333333332,183.13333333333335,93.86666666666666,208.0666666666667
59,174.89527335807347,103.0,277.83333333333337,199.79999999999998,210.63333333333338,93.96666666666667,213.0
60,178.13407471655628,130.4666666666667,294.23333333333335,218.06666666666663,185.5666666666667,110.19999999999999,223.26666666666665
61,181.37287607503913,126.10000000000002,265.1333333333333,211.93333333333334,204.9666666666667,124.56666666666668,220.13333333333333
62,184.61167743352198,111.4,287.0666666666667,205.76666666666668,178.23333333333332,118.96666666666668,234.76666666666668
63,187.85047879200482,121.70000000000002,300.0333333333333,227.1,189.03333333333336,126.33333333333333,259.4333333333334
64,191.08928015048767,120.66666666666667,280.96666666666664,229.20000000000002,211.36666666666667,124.33333333333334,278.00000000000006
65,194.3280815089705,109.56666666666666,273.9666666666667,208.13333333333338,243.3666666666667,130.9,305.4666666666667
66,197.56688286745336,104.03333333333336,266.06666666666666,208.8,241.13333333333333,143.8,309.9666666666667
67,200.8056842259362,109.80000000000001,240.0666666666667,179.9666666666667,237.9666666666667,173.33333333333334,305.4
68,204.04448558441902,110.39999999999999,270.9666666666667,188.70000000000002,255.76666666666665,184.46666666666667,305.8
69,207.28328694290187,127.63333333333334,265.56666666666666,194.30000000000004,239.13333333333335,182.73333333333335,312.8333333333333
70,210.5220883013847,112.86666666666667,258.76666666666665,199.03333333333336,234.56666666666666,188.60000000000002,286.0
71,213.76088965986756,106.33333333333333,272.7,211.66666666666669,258.90000000000003,173.46666666666667,303.2666666666667
72,216.9996910183504,109.06666666666669,263.8666666666667,206.0,267.06666666666666,198.93333333333337,321.00000000000006
73,220.23849237683325,113.03333333333332,269.36666666666673,206.66666666666669,258.83333333333337,221.43333333333334,321.1333333333333
74,223.4772937353161,119.23333333333335,257.0666666666667,218.70000000000002,257.8333333333333,225.40000000000003,336.1333333333334
75,226.7160950937989,114.2,242.9,206.86666666666667,253.03333333333336,260.9333333333334,332.09999999999997
76,229.95489645228176,117.4,270.4666666666667,213.63333333333335,256.43333333333334,247.3,347.6333333333333
77,233.1936978107646,111.93333333333334,279.1,197.23333333333335,260.93333333333334,247.8,370.3
78,236.43249916924745,104.2,243.4666666666667,208.1333333333333,280.9666666666667,265.5,357.66666666666663
79,239.6713005277303,113.43333333333335,257.43333333333334,202.26666666666665,283.76666666666665,262.76666666666665,364.93333333333334
80,242.91010188621314,111.16666666666667,232.8,185.33333333333334,281.3333333333333,261.3666666666667,381.1333333333333
81,246.148903244696,133.06666666666666,245.56666666666666,195.43333333333337,249.16666666666669,273.33333333333337,341.16666666666663
