SPOT_ID,TRACK_ID,PREV_TRACK_ID,POSITION_X,POSITION_Y,FRAME,ELLIPSE_MAJOR,ELLIPSE_MINOR,ELLIPSE_THETA,ELLIPSE_ASPECTRATIO,AREA,ANGLE,ANGULAR_VELOCITY,TOTAL_DISPLACEMENT_VECTOR,TOTAL_DISPLACEMENT,FRAME_GAP,STEP_SPEED,MSD_LAG_TIME,MSD,CLASS,SPOT_LABEL,NEIGHBOUR,NEIGHBOUR_UNCERTAIN,CONTACT,UPDATE_NEIGHBOUR,CONTACT_ANGLE (deg),DISP_RELATIVE_ANGLE (deg),REVERSAL,CONTACT_REVERSAL
4113,0,,8.16766389466782,20.34973265160052,0,2.2202967320110645,0.4428619473493276,2.5585070525298548,5.013518874900543,3.0758001537900044,,,"[0.0, 0.0]",0.0,0,0.0,0,0.0,moving,177,[],[],0.0,[],,,0,0.0
4750,0,,7.832382601960664,20.7980014245181,1,2.3091305727797784,0.4480022549210684,-0.4261293834893728,5.154283371155384,3.113825155691254,,,"[-0.33528129270715556, 0.44826877291758294]",0.5597842781040004,1,0.5597842781040004,1,0.3476360879468979,moving,181,[],[],0.0,[],,,0,0.0
3236,0,,8.358747382193494,20.68784538377244,2,2.276152247042351,0.4606408115777624,2.883941487967914,4.9412735255614795,3.1138251556912517,2.4192818616065455,,"[0.5263647802328295, -0.11015604074566099]",0.5377678264663243,1,0.5377678264663243,2,0.9355057781939068,moving,183,[],[],0.0,[],,14.166431190587694,0,0.0
4073,0,,9.11005713557203,20.718629659277497,3,2.2952578030448136,0.4511263326198205,-0.1244653683824028,5.087838233063431,3.1243876562193735,0.2472508675329756,-2.17203099407357,"[0.7513097533785356, 0.030784275505055803]",0.7519401685906181,1,0.7519401685906181,3,1.5135212674211893,moving,185,[],[],0.0,[],,2.9538997966427534,0,0.0
3363,0,,9.697958044105544,20.712395301781243,4,2.2895104285408014,0.4775154562095364,-0.1168448902590042,4.794631040248783,3.145512657275625,0.0515552772254069,-0.1956955903075686,"[0.5879009085335145, -0.006234357496254006]",0.5879339635264516,1,0.5879339635264516,4,2.110570614330757,moving,190,[],[],0.0,[],,16.71059703984862,0,0.0
5159,0,,10.10330434614993,20.829415725413934,5,2.30046404794284,0.4621280088607569,-0.1554843601333461,4.9779801350149055,3.130725156536251,0.2916549383193849,0.2400996610939779,"[0.4053463020443857, 0.11702042363269527]",0.4218997560182203,1,0.4218997560182203,5,2.6901006071443456,moving,190,[],[],0.0,[],,56.13415446816704,0,0.0
5754,0,,10.275953044157117,21.36835491418626,6,2.309024943349987,0.4422850053028247,0.2599677550306147,5.220672000329377,3.0948126547406294,0.9797258182925944,0.6880708799732094,"[0.17264869800718508, 0.5389391887723214]",0.5659178581014599,1,0.5659178581014599,6,3.186739296896784,moving,192,[],[],0.0,[],,27.32266308534988,0,0.0
4018,0,,10.536040217738982,21.627667207358435,7,2.312046429834586,0.4624865045444897,0.443922765950415,4.9991651802072745,3.084250154212505,0.4768704312524719,-0.5028553870401223,"[0.2600871735818675, 0.25931229317217586]",0.3672712938033912,1,0.3672712938033912,7,3.6354614864458865,moving,194,[],[],0.0,[],,151.15965910532748,1,0.0
3662,0,,9.327722227728565,21.279493929072977,9,2.325414868908074,0.4436713970307049,0.2555550699705047,5.2412999451193825,3.0927001546350024,0.1440291973513382,-2.470426406625339,"[-0.19179262403809538, -0.0812691890335131]",0.2083004842087101,1,0.2083004842087101,9,4.503003165580604,moving,185,[],[],0.0,[],,7.158900102655403,0,0.0
4739,0,,8.731756663966152,21.18600536390439,10,2.324484131961678,0.4324943612752261,0.1884880079357223,5.374599856302977,3.0589001529450037,0.2451974313605238,0.1011682340091856,"[-0.5959655637624106, -0.09348856516858461]",0.603253731864071,1,0.603253731864071,10,4.731417602288028,moving,190,[],[],0.0,[],,1.503553299294594,0,0.0
5016,0,,8.299863843860285,21.10659143675578,11,2.2743087987545416,0.4341303977709573,0.1125539026731332,5.238768836349587,3.020875151043753,0.0262419555519143,-0.2189554758086094,"[-0.43189282010586716, -0.0794139271486074]",0.4391332142803175,1,0.4391332142803175,11,4.886259362321919,moving,188,[],[],0.0,[],,12.716628445109519,0,0.0
3350,0,,7.958850915438261,21.12027478217647,12,2.3161234363771257,0.4234328663194598,0.0655309341592059,5.469871662323259,2.9976376498818764,0.2219470361199281,0.1957050805680137,"[-0.3410129284220238, 0.013683345420687942]",0.3412873441733024,1,0.3412873441733024,12,5.1746902099017555,moving,189,[],[],0.0,[],,29.73419833006816,0,0.0
4072,0,,7.501484120553627,21.406424499858502,13,2.336229848064671,0.4406448767646952,0.0879577961397867,5.301842756502125,3.111712655585633,0.518959661300689,0.2970126251807609,"[-0.45736679488463405, 0.2861497176820329]",0.5395053716067617,1,0.5395053716067617,13,5.573757982534098,moving,188,[],[],0.0,[],,152.75513282271413,1,0.0
15323,0,,7.909991090281617,21.372213649059372,14,2.245637908383074,0.4632028679884243,-0.1014060512289618,4.848065639436398,3.0927001546350077,2.666080017077621,2.147120355776932,"[0.4085069697279895, -0.034210850799130554]",0.409936978850097,1,0.409936978850097,14,5.933806932980711,moving,189,[],[],0.0,[],,33.33758445319341,0,0.0
17322,0,,8.503024967309887,21.694881331785844,15,2.3237611506836675,0.4347697267399799,0.1508897259568498,5.344809005235604,3.0863626543181337,0.5818506133698984,-2.084229403707723,"[0.5930338770282706, 0.32266768272647184]",0.6751322927984211,1,0.6751322927984211,15,6.368614938147959,moving,191,[],[],0.0,[],,0.9310149485259951,0,0.0
16386,0,,8.826054548459888,21.863896725234692,16,2.2838411256580273,0.4473899540091803,0.2341601630120793,5.104810926557291,3.05890015294501,0.0162492762370641,-0.5656013371328342,"[0.323029581150001, 0.16901539344884853]",0.3645741536650866,1,0.3645741536650866,16,6.931139764262903,moving,193,[],[],0.0,[],,0.8388102991325946,0,0.0
24926,0,,9.908517946828054,22.410229173825204,19,2.2783097841468405,0.4398095391715231,0.728166617229602,5.180219120391368,3.103262655163131,0.6844104217052082,-0.3681871600171712,"[0.13079777111357238, 0.09982369052100282]",0.1645382208409687,1,0.1645382208409687,19,8.916580610238224,moving,189,[],[],0.0,[],,8.340064602054632,0,0.0
16766,0,,10.542252158801032,22.85596714617532,20,2.2984664587025923,0.4502217707741184,0.5977986462586421,5.105187283037363,3.065237653261879,0.0389182564999461,-0.645492165205262,"[0.6337342119729783, 0.44573797235011625]",0.7747911921413438,1,0.7747911921413438,20,9.53947440685324,moving,199,[],[],0.0,[],,26.032955722010975,0,0.0
16193,0,,11.674848624085037,23.037131200508153,22,2.2213588057832716,0.45831221033163,0.9812747411573706,4.846824404211093,3.1455126572756305,0.9952118359099664,0.7364540038660494,"[0.2129952749094901, -0.15891491736078933]",0.2657460029681646,1,0.2657460029681646,22,10.078061511839218,moving,205,[],[],0.0,[],,137.4658903795438,0,0.0
17571,0,,11.074586721761632,22.27919551058913,25,2.2957870877856137,0.4487928554051371,1.1235019304918832,5.115471559174324,3.1117126555856274,3.1202332899879353,2.482712479610491,"[0.0001929200498747008, 0.22706317633986828]",0.2270632582953388,1,0.2270632582953388,25,10.856312114213823,moving,194,[],[],0.0,[],,127.10593833433605,0,0.0
16412,0,,10.990457227657531,22.604127790706094,26,2.251850182387067,0.4415892244549687,0.9691384422285676,5.0994228520100595,3.1243876562193797,0.2542001220384194,-2.866033167949516,"[-0.08412949410410064, 0.32493228011696473]",0.3356467762994626,1,0.3356467762994626,26,11.134497519153312,moving,200,[],[],0.0,[],,45.03826496984711,0,0.0
15269,0,,11.219289364040218,22.992261356477737,27,2.2888208947524347,0.4473159163353752,0.9969007787644684,5.116788406510424,3.1349501567475047,0.7860660131094607,0.5318658910710412,"[0.22883213638268707, 0.38813356577163916]",0.4505683205908645,1,0.4505683205908645,27,11.078966211007812,moving,195,[],[],0.0,[],,1.285346264188091,0,0.0
27185,0,,11.431391396895794,23.371198362057495,28,2.27367601304646,0.4491821665045169,1.0170453935668642,5.061812740118204,3.1687501584375033,0.0224335243383009,-0.7636324887711597,"[0.21210203285557583, 0.3789370055797612]",0.4342585940879279,1,0.4342585940879279,28,10.781892132066446,moving,201,[],[],0.0,[],,151.87471620254385,1,0.0
26241,0,,11.08395156261975,23.148678972943404,29,2.2526611175313276,0.4503935589669386,0.9336493377903292,5.001539370807666,3.122275156113755,2.650713848266365,2.6282803239280637,"[-0.3474398342760434, -0.22251938911409042]",0.4125885565226845,1,0.4125885565226845,29,10.803750743628044,moving,201,[],[],0.0,[],,10.072017006641417,0,0.0
27773,0,,10.25699730456293,22.3853275351099,31,2.281839123026779,0.4446685372946851,0.7604671853800183,5.131550653233169,3.101150155057506,2.122563160634477,1.7714771777462044,"[-0.08311849312284814, 0.21496473481367673]",0.2304745563235285,1,0.2304745563235285,31,11.21135068772066,moving,195,[],[],0.0,[],,176.48009070794473,0,0.0
27108,0,,11.27505356985816,23.215332779929735,32,2.2863932959372204,0.4420618818449364,1.0077706258600274,5.172111393986299,3.1053751552687543,1.255759623278737,-0.8668035373557399,"[1.018056265295229, 0.8300052448198336]",1.3135247488095918,1,1.3135247488095918,32,11.02501697174816,moving,204,[],[],0.0,[],,146.9156916043785,0,0.0
31220,0,,11.142535306811912,22.80074463781512,33,2.325837870409976,0.4369012120698113,1.0657424168716978,5.323486880229429,3.11593765579688,2.564162541340986,1.308402918062249,"[-0.13251826304624537, -0.41458814211461714]",0.4352521310951203,1,0.4352521310951203,33,10.33763638205926,moving,196,[],[],0.0,[],,17.257871581490047,0,0.0
27697,0,,10.438195753977164,21.794235845702563,35,2.296790284202195,0.4532578784132886,1.0470440930893825,5.067292580202966,3.077912653895626,0.6492449644530933,0.3315978202164681,"[0.0007422844845610399, -0.03339616166404724]",0.0334044098907194,1,0.0334044098907194,35,9.009522259332718,moving,190,[],[],0.0,[],,7.511889801415923,0,0.0
25908,0,,10.240345222606198,21.413712237715544,36,2.243925389276973,0.4411316515851755,0.9819629766466922,5.086747643733078,3.0567876528393807,0.5016972911181494,-0.1475476733349439,"[-0.19785053137096575, -0.3805236079870191]",0.4288858228004653,1,0.4288858228004653,36,8.301630658777695,moving,193,[],[],0.0,[],,8.471369667786067,0,0.0
38501,0,,9.677526195447491,20.637441838436565,43,2.2913473995767912,0.4431014162064567,0.9817618907572504,5.17115792405676,3.1201626560081337,2.9202153196713425,2.524848759448937,"[0.011725477935778272, -0.002061849995964593]",0.0119053793819551,1,0.0119053793819551,43,3.716996626639165,moving,188,[],[],0.0,[],,176.3020460123536,0,0.0
41901,0,,9.907982148654478,21.002759241480263,44,2.275981422178918,0.4442881798424496,1.0006311409624478,5.122759338288069,3.1708626585431308,1.1820742573747094,-1.7381410622966331,"[0.23045595320698453, 0.36531740304370075]",0.4319337348889683,1,0.4319337348889683,44,4.25546446199183,moving,193,[],[],0.0,[],,168.50952952114514,0,0.0
45958,0,,9.731797595637069,20.53784561414759,46,2.286581231377021,0.4646912742634611,1.0714375060174233,4.920645938534714,3.1117126555856305,2.496413574330878,-0.1918091251051907,"[-0.10557583870310872, 0.17783151819064003]",0.2068098319225968,1,0.2068098319225968,46,5.849980363586648,moving,188,[],[],0.0,[],,27.900855060488134,0,0.0
46750,0,,9.42289802687285,20.266046821728857,49,2.2463688277713127,0.4524957052002956,1.0440052112458054,4.964398119042843,3.1243876562193824,2.621802621255662,1.759594913121337,"[0.07158345278880596, 0.1519942847125897]",0.1680073013248501,1,0.1680073013248501,49,7.981521832131537,moving,189,[],[],0.0,[],,59.50900834185502,0,0.0
38406,0,,8.866350756293851,20.44864997658127,50,2.354200365071141,0.4201021954445336,1.219734384243674,5.603875415552232,3.0293251514662565,1.6939112617397334,-0.9278913595159288,"[-0.5565472705789993, 0.18260315485241208]",0.585737805294304,1,0.585737805294304,50,8.226891347106909,moving,190,[],[],0.0,[],,65.90239366424262,0,0.0
44303,0,,8.29193813833291,19.816543024149155,51,2.3596096588608297,0.4299560302202429,1.0430904621498749,5.488025502636004,3.063125153156255,1.150213754386484,-0.5436975073532493,"[-0.5744126179609417, -0.6321069524321139]",0.8541130223721902,1,0.8541130223721902,51,8.261241279990301,moving,185,[],[],0.0,[],,7.841323841683009,0,0.0
46734,0,,7.383239517069404,19.056849863831573,52,1.252499835159522,0.4436199403662788,0.6754496897685804,2.8233623450861662,1.6667625833381297,0.136856918752499,-1.013356835633985,"[-0.9086986212635058, -0.7596931603175818]",1.1844268158563076,1,1.1844268158563076,52,8.14031585912847,moving,187,[180],[180],1.0,[180],[1.1731284513092817],37.0826449901752,0,0.0
45568,0,,6.401835715601447,19.008614919659777,54,2.2045765505021273,0.4679383753061801,0.7895226459996204,4.7112540172830135,3.168750158437505,0.9492435718879524,0.0922053243600506,"[-0.17745126545925327, -0.17856589511684362]",0.2517433822605273,1,0.2517433822605273,54,5.5783940413734845,moving,186,[],[],0.0,[],,,0,0.0
44314,0,,6.730772737713729,19.32082730593723,55,1.1301194226997997,0.4739081882408716,0.7982834229407276,2.3846800936163564,1.6224000811200034,3.112382351312482,2.16313877942453,"[0.3289370221122825, 0.3122123862774515]",0.4535153124880755,1,0.4535153124880755,55,3.786469090577216,moving,193,[],[],0.0,[],,,0,0.0
4231,2,,37.642313798830386,23.035302205121077,0,2.2316997406393195,0.4646262829245781,1.0296732417864485,4.803214589135904,3.1983251599162585,,,"[0.0, 0.0]",0.0,0,0.0,0,0.0,moving,194,[],[],0.0,[],,,0,0.0
4949,2,,37.763985097105234,23.34451260547076,1,2.2406343558655366,0.4786374703285114,1.0343362748410214,4.681276529243905,3.2215626610781225,,,"[0.12167129827484757, 0.3092104003496843]",0.3322874907490484,1,0.3322874907490484,1,0.5006060388834741,moving,192,[],[],0.0,[],,,0,0.0
