radius,mean_nematic_correlation,std_nematic_correlation,n_points
0.65,0.9778143731352255,0.02650179045240914,6
0.7450003150820447,0.9764486544593157,0.05437294146008623,533
0.8538853376497628,0.9572789530503529,0.08156348032649739,1618
0.9786843778354023,0.8923080202621965,0.16544425144965133,2693
1.1217233382357688,0.7498918515857628,0.3107631990968518,3254
1.2856680621854324,0.5057376221847593,0.4896700035776009,3867
1.4735740175677985,0.291180768139424,0.5756492073767236,4644
1.688943242130345,0.2826597722723742,0.5428386940916049,5489
1.9357896116043034,0.24796357256964033,0.49637943464206025,5841
2.2187136470427,0.17438917463666406,0.4603015438174326,5940
2.5429882555748367,0.12918817775135655,0.4215947113703901,6012
2.914657002543373,0.09315823656376152,0.36933259378091854,6033
3.3406467465398495,0.052523168813910934,0.33650282120863323,6041
3.8288967365384523,0.039020120263059975,0.30378044062138565,6042
4.388506577135017,0.026785825064868884,0.27316109376314535,6042
5.029905819546482,0.01190612064889168,0.24886910676348614,6042
5.765048339069445,0.007337682577704524,0.2227807229770855,6042
6.607635121646088,0.006381179740971843,0.2018332534757811,6042
7.573369611651565,0.002498438390619701,0.18494944607937785,6042
8.680250379866456,-0.002137471387646342,0.17026105909373124,6042
9.948906566140847,-0.006317531157729171,0.1528549496001275,6042
11.40298234845655,-0.0026209651271919122,0.13607571208267777,6042
13.069577603807877,0.003071880704248605,0.12518392030499303,6042
14.979752973578629,0.003337345340114575,0.11023553087894646,6042
17.169108746411197,-0.0014764297630919007,0.09880795350437166,6042
19.678448347314195,-0.004895377670420703,0.08991845939014972,6042
22.554538798576626,-0.001723673732967727,0.07921549719833237,6042
25.850982325338155,-6.156603012055952e-07,0.07166611200655683,6042
29.629215350088156,-0.0025798014129835493,0.06375046657180157,6042
33.95965349453758,-0.002177640029111903,0.05683808031232453,6042
38.92300392847318,0.00011083911588694364,0.051725611716612004,6042
44.6117695240803,-0.0011585268537044834,0.046132436300872263,6042
51.1319728489344,-0.0013783868078084433,0.04173999851517781,6042
58.605132128034874,-0.0013592181849950138,0.037027220241783766,6042
67.17052600124748,0.0010610554837429886,0.03305433300812435,6042
76.9877892848555,0.0019908168484426693,0.03236521776232482,6042
88.23988811490366,0.00045720933337896623,0.03356749486425047,6042
101.13652992062714,-0.0004755953652813992,0.04019353636644199,6042
115.91807178026433,-0.002688722235861561,0.09647162535250244,5974
132.86000000000007,-0.0030032681827253625,0.15911459374456913,5458
