SPOT_ID;TRACK_ID;PREV_TRACK_ID;POSITION_X;POSITION_Y;FRAME;ELLIPSE_MAJOR;ELLIPSE_MINOR;ELLIPSE_THETA;ELLIPSE_ASPECTRATIO;AREA;ANGLE;ANGULAR_VELOCITY;TOTAL_DISPLACEMENT_VECTOR;TOTAL_DISPLACEMENT;FRAME_GAP;STEP_SPEED;MSD_LAG_TIME;MSD;file;condition;CLASS;SPOT_LABEL;NEIGHBOUR;NEIGHBOUR_UNCERTAIN;CONTACT;UPDATE_NEIGHBOUR;CONTACT_ANGLE (deg);DISP_RELATIVE_ANGLE (deg);REVERSAL;CONTACT_REVERSAL;UPDATE_NEIGHBOUR_CORRECTED;REVERSAL_CORRECTED;CONTACT_CORRECTED;CONTACT_REVERSAL_CORRECTED
6858;0;;82.944560561294;86.72763417035414;0;2.0059946579336585;0.5144138381289999;1.5194297356538382;3.899573668604564;2.860324999999998;;;[0.0, 0.0];0.0;0;0.0;0;0.0;240917_232+2621_0p55pagarose_2xTrpNC_OD0p5_mix2pc_5s_1h_5_CH1;Strain232_CoverageUnknown;moving;399;[];[];0.0;[];;;0;0.0;[];0;0.0;0.0
9080;0;;83.35399488303999;88.3985112085759;13;2.09576534982684;0.4644139906584317;1.508788125321531;4.512709332583906;2.8899000000000137;0.5646201011223316;0.4460012076082019;[0.19300797468491737, 0.2538636758511643];0.3189025622484691;1;0.3189025622484691;13;5.975648317167779;240917_232+2621_0p55pagarose_2xTrpNC_OD0p5_mix2pc_5s_1h_5_CH1;Strain232_CoverageUnknown;moving;413;[];[];0.0;[];;;0;0.0;[];0;0.0;0.0
15324;0;;84.12192937439008;89.22142717497775;18;2.053410597485529;0.4626551464458731;1.8127175276273104;4.438317855663931;2.881450000000004;0.4415704373384333;0.3526687008887175;[0.08395597270413191, 0.19004845362189826];0.2077667443956606;1;0.2077667443956606;18;9.879367833670548;240917_232+2621_0p55pagarose_2xTrpNC_OD0p5_mix2pc_5s_1h_5_CH1;Strain232_CoverageUnknown;moving;415;[];[];0.0;[];;17.39860696377854;0;0.0;[];0;0.0;0.0
21781;0;;84.9646313640722;90.97855187319917;34;2.095971489092161;0.4634087416780676;2.40930742886837;4.522943355583573;2.9321500000000107;0.0338886323900945;-1.872215225105999;[-0.008657851607821954, -0.01599959738233281];0.0181919078400209;1;0.0181919078400209;34;27.702546671241077;240917_232+2621_0p55pagarose_2xTrpNC_OD0p5_mix2pc_5s_1h_5_CH1;Strain232_CoverageUnknown;moving;436;[];[];0.0;[];;69.61972167254791;0;0.0;[];0;0.0;0.0
22469;0;;84.670507925084;91.28314961576788;35;2.077311701447149;0.4631872198598211;-0.6441168538048235;4.484820850790801;2.9321499999999943;1.8776799402453048;1.8437913078552104;[-0.29412343898820836, 0.30459774256870276];0.4234245884926855;1;0.4234245884926855;35;29.30892232271517;240917_232+2621_0p55pagarose_2xTrpNC_OD0p5_mix2pc_5s_1h_5_CH1;Strain232_CoverageUnknown;moving;440;[];[];0.0;[];;2.1531158571549396;0;0.0;[];0;0.0;0.0
22256;0;;84.2780295950185;91.72142523365044;37;2.055649882851652;0.4690799511996487;-0.5721465590042462;4.382301732560578;2.9384875000000026;0.4786833152002692;0.3973839768130887;[-0.051297610863045406, 0.022022047377049603];0.0558248640923867;1;0.0558248640923867;37;32.64202097607924;240917_232+2621_0p55pagarose_2xTrpNC_OD0p5_mix2pc_5s_1h_5_CH1;Strain232_CoverageUnknown;moving;443;[];[];0.0;[];;165.2191655717201;1;0.0;[];1;0.0;0.0
23149;0;;84.58160589652294;91.52144705175796;38;2.072301752376976;0.4731204729564209;2.617432689933177;4.380072034143099;2.9258124999999926;2.9646039428580484;2.485920627657779;[0.3035763015044495, -0.19997818189247596];0.3635242001134733;1;0.3635242001134733;38;34.39927008567091;240917_232+2621_0p55pagarose_2xTrpNC_OD0p5_mix2pc_5s_1h_5_CH1;Strain232_CoverageUnknown;moving;442;[];[];0.0;[];;30.17185983961959;0;0.0;[];0;0.0;0.0
25240;0;;85.01155000000023;91.497389285714;39;2.071301440265798;0.4671220581841093;2.4887703296514383;4.434176044517737;2.957500000000002;0.5265982956515765;-2.438005647206472;[0.4299441034772826, -0.024057766043981132];0.4306166604091291;1;0.4306166604091291;39;36.43501338910245;240917_232+2621_0p55pagarose_2xTrpNC_OD0p5_mix2pc_5s_1h_5_CH1;Strain232_CoverageUnknown;moving;443;[];[];0.0;[];;75.94991660636065;0;0.0;[];0;0.0;0.0
29379;0;;85.1956641648656;92.09023290443878;42;2.0770547806624395;0.4649395479073084;2.4700088725144176;4.467365252130642;2.9553875000000054;0.7242259810288716;-0.0906703660361196;[-0.0673695496773945, 0.08008458422655451];0.1046527441325598;1;0.1046527441325598;42;42.76755097016058;240917_232+2621_0p55pagarose_2xTrpNC_OD0p5_mix2pc_5s_1h_5_CH1;Strain232_CoverageUnknown;moving;444;[];[];0.0;[];;50.702147100030345;0;0.0;[];0;0.0;0.0
27865;0;;84.95686943441099;92.4517057761667;43;2.037109696305765;0.4620707342576701;2.5090691196317305;4.408653362516976;2.925812500000004;0.1155785920779262;-0.6086473889509454;[-0.23879473045461452, 0.3614728717279263];0.4332269154705486;1;0.4332269154705486;43;44.91052858889486;240917_232+2621_0p55pagarose_2xTrpNC_OD0p5_mix2pc_5s_1h_5_CH1;Strain232_CoverageUnknown;moving;447;[];[];0.0;[];;14.325538140296118;0;0.0;[];0;0.0;0.0
