SPOT_ID;TRACK_ID;PREV_TRACK_ID;POSITION_X;POSITION_Y;FRAME;ELLIPSE_MAJOR;ELLIPSE_MINOR;ELLIPSE_THETA;ELLIPSE_ASPECTRATIO;AREA;ANGLE;ANGULAR_VELOCITY;TOTAL_DISPLACEMENT_VECTOR;TOTAL_DISPLACEMENT;FRAME_GAP;STEP_SPEED;MSD_LAG_TIME;MSD;file;condition;CLASS;SPOT_LABEL;NEIGHBOUR;NEIGHBOUR_UNCERTAIN;CONTACT;UPDATE_NEIGHBOUR;CONTACT_ANGLE (deg);DISP_RELATIVE_ANGLE (deg);REVERSAL;CONTACT_REVERSAL;UPDATE_NEIGHBOUR_CORRECTED;CONTACT_CORRECTED;REVERSAL_CORRECTED;CONTACT_REVERSAL_CORRECTED
65578;0;;17.590098970146403;105.40651232120112;0;1.470993270902942;0.4741076145230791;1.9954755464113405;3.1026569197431337;2.1082751054137536;;;[0.0, 0.0];0.0;0;0.0;0;0.0;240917_177+2618_0p55pagarose_2xTrpNC_OD0p5_mix2pc_5s_2h55_7_CH1;Strain177_CoverageUnknown;moving;4919;[4882];[4882];1.0;[4882];[45.0];;0;0.0;[];0;0;0.0
74126;0;;18.04320220546521;104.17002453407147;1;1.4878217166317165;0.4814983538947066;2.039589168631108;3.089982976259709;2.0871501043575007;;;[0.4531032353188067, -1.2364877871296471];1.3168920189511142;1;1.3168920189511142;1;1.9386937601619951;240917_177+2618_0p55pagarose_2xTrpNC_OD0p5_mix2pc_5s_2h55_7_CH1;Strain177_CoverageUnknown;moving;4857;[];[];0.0;[];;;0;0.0;[];0.0;0;0.0
64363;0;;18.205121862462327;102.98799315943978;2;1.422947785278504;0.4948450463773463;1.9312741102657225;2.8755421433347617;2.131512606575627;0.2151113640760021;;[0.1619196569971173, -1.1820313746317055];1.1930700507245091;1;1.1930700507245091;2;5.1164214245948925;240917_177+2618_0p55pagarose_2xTrpNC_OD0p5_mix2pc_5s_2h55_7_CH1;Strain177_CoverageUnknown;moving;4767;[4733];[];1.0;[4733];[106.87411754709946];55.174960066086406;0;0.0;[4733];1.0;0;0.0
65721;0;;19.45761520292752;102.34912825522522;3;1.4693454567557018;0.5035589145108658;2.73229693234256;2.9179216461354023;2.1484126074206245;0.9629847178095964;0.7478733537335942;[1.2524933404651897, -0.6388649042145573];1.406018468494182;1;1.406018468494182;3;9.500344286858246;240917_177+2618_0p55pagarose_2xTrpNC_OD0p5_mix2pc_5s_2h55_7_CH1;Strain177_CoverageUnknown;moving;4762;[4710];[4710];1.0;[4710];[146.2437626053737];5.075373514973707;0;0.0;[4710];1.0;0;0.0
65473;0;;20.80518645657649;101.5037871894032;4;1.4917090328943086;0.4628409913105517;2.545431367547479;3.222940623021479;2.0829251041462564;0.0885819786048026;-0.8744027392047936;[1.3475712536489688, -0.8453410658220122];1.5907701912049237;1;1.5907701912049237;4;15.439239101713154;240917_177+2618_0p55pagarose_2xTrpNC_OD0p5_mix2pc_5s_2h55_7_CH1;Strain177_CoverageUnknown;moving;4706;[];[];0.0;[];;105.34030289612258;0;0.0;[];0.0;0;0.0
65286;0;;20.485367895645982;101.21011738850828;5;1.481055343163575;0.4802359653470386;2.3442001722835872;3.0840158797629877;2.1610876080543777;1.8385351205854348;1.7499531419806322;[-0.31981856093050354, -0.2936698008949321];0.4341956516057332;1;0.4341956516057332;5;16.929198497004123;240917_177+2618_0p55pagarose_2xTrpNC_OD0p5_mix2pc_5s_2h55_7_CH1;Strain177_CoverageUnknown;moving;4710;[4805];[4805];1.0;[4805];[39.22434509892554];;0;0.0;[4805];1.0;0;0.0
71861;0;;20.654465657976537;103.14660497519394;6;1.104244034652057;0.5284738480753676;-0.0707164960011694;2.08949608135496;1.6160625808031095;2.400698156010016;0.5621630354245815;[0.16909776233055496, 1.936487586685658];1.9438565344728616;1;1.9438565344728616;6;14.497524410020317;240917_177+2618_0p55pagarose_2xTrpNC_OD0p5_mix2pc_5s_2h55_7_CH1;Strain177_CoverageUnknown;moving;4878;[];[];0.0;[];;;0;0.0;[];0.0;0;0.0
17948;2;;32.49399270424339;28.777749368093723;0;1.440876006862707;0.4384695446990241;1.3799563742411247;3.286148432160227;1.9540625977031305;;;[0.0, 0.0];0.0;0;0.0;0;0.0;240917_177+2618_0p55pagarose_2xTrpNC_OD0p5_mix2pc_5s_2h55_7_CH1;Strain177_CoverageUnknown;moving;1273;[1182];[];1.0;[1182];[29.19748604606447];;0;0.0;[];0;0;0.0
15968;2;;31.34291872966688;26.708292206431825;1;1.3475009574603736;0.5263376001918568;1.5876183867791165;2.560145725802588;2.0639126031956287;;;[-1.1510739745765086, -2.069457161661898];2.3680422797959246;1;2.3680422797959246;1;2.277751495547598;240917_177+2618_0p55pagarose_2xTrpNC_OD0p5_mix2pc_5s_2h55_7_CH1;Strain177_CoverageUnknown;moving;1180;[1172];[1172];1.0;[1172];[54.36844608310582];;0;0.0;[1119];1.0;0;0.0
16229;2;;30.77236069838689;26.421924419413195;2;1.345674344495983;0.4861423659365697;1.2472874155020963;2.768066391217511;1.9857500992875052;0.5980169917089222;;[-0.5705580312799903, -0.2863677870186301];0.6383909276454717;1;0.6383909276454717;2;3.740878842879145;240917_177+2618_0p55pagarose_2xTrpNC_OD0p5_mix2pc_5s_2h55_7_CH1;Strain177_CoverageUnknown;moving;1166;[1119];[];1.0;[1119];[75.37055136618946];21.0488432942104;0;0.0;[1119];1.0;0;0.0
