LABEL,ID,TRACK_ID,QUALITY,POSITION_X,POSITION_Y,POSITION_Z,POSITION_T,FRAME,RADIUS,VISIBILITY,MANUAL_SPOT_COLOR,MEAN_INTENSITY_CH1,MEDIAN_INTENSITY_CH1,MIN_INTENSITY_CH1,MAX_INTENSITY_CH1,TOTAL_INTENSITY_CH1,STD_INTENSITY_CH1,MEAN_INTENSITY_CH2,MEDIAN_INTENSITY_CH2,MIN_INTENSITY_CH2,MAX_INTENSITY_CH2,TOTAL_INTENSITY_CH2,STD_INTENSITY_CH2,MEAN_INTENSITY_CH3,MEDIAN_INTENSITY_CH3,MIN_INTENSITY_CH3,MAX_INTENSITY_CH3,TOTAL_INTENSITY_CH3,STD_INTENSITY_CH3,CONTRAST_CH1,SNR_CH1,CONTRAST_CH2,SNR_CH2,CONTRAST_CH3,SNR_CH3,ELLIPSE_X0,ELLIPSE_Y0,ELLIPSE_MAJOR,ELLIPSE_MINOR,ELLIPSE_THETA,ELLIPSE_ASPECTRATIO,AREA,PERIMETER,CIRCULARITY,SOLIDITY,SHAPE_INDEX
Label,Spot ID,Track ID,Quality,X,Y,Z,T,Frame,Radius,Visibility,Manual spot color,Mean intensity ch1,Median intensity ch1,Min intensity ch1,Max intensity ch1,Sum intensity ch1,Std intensity ch1,Mean intensity ch2,Median intensity ch2,Min intensity ch2,Max intensity ch2,Sum intensity ch2,Std intensity ch2,Mean intensity ch3,Median intensity ch3,Min intensity ch3,Max intensity ch3,Sum intensity ch3,Std intensity ch3,Contrast ch1,Signal/Noise ratio ch1,Contrast ch2,Signal/Noise ratio ch2,Contrast ch3,Signal/Noise ratio ch3,Ellipse center x0,Ellipse center y0,Ellipse long axis,Ellipse short axis,Ellipse angle,Ellipse aspect ratio,Area,Perimeter,Circularity,Solidity,Shape index
Label,Spot ID,Track ID,Quality,X,Y,Z,T,Frame,R,Visibility,Spot color,Mean ch1,Median ch1,Min ch1,Max ch1,Sum ch1,Std ch1,Mean ch2,Median ch2,Min ch2,Max ch2,Sum ch2,Std ch2,Mean ch3,Median ch3,Min ch3,Max ch3,Sum ch3,Std ch3,Ctrst ch1,SNR ch1,Ctrst ch2,SNR ch2,Ctrst ch3,SNR ch3,El. x0,El. y0,El. long axis,El. sh. axis,El. angle,El. a.r.,Area,Perim.,Circ.,Solidity,Shape index
,,,(quality),(pixel),(pixel),(pixel),(sec),,(pixel),,,(counts),(counts),(counts),(counts),(counts),(counts),(counts),(counts),(counts),(counts),(counts),(counts),(counts),(counts),(counts),(counts),(counts),(counts),,,,,,,(pixel),(pixel),(pixel),(pixel),(radians),,(pixel^2),(pixel),,,
ID336250,336250,3,1328.0,42.45076712439042,112.63698100026153,0.0,175.0,35,1.335144580319953,1,,3037.866616428033,3054.0,0.0,3089.0,4031249.0,221.31203681759868,6091.3006782215525,5951.0,5181.0,8347.0,8083156.0,519.7672316867295,168.39035418236625,172.0,109.0,232.0,223454.0,25.09883624983799,0.08546075021946846,2.161455201110473,-0.029548343672861403,-0.7136583853196622,0.17817238252590906,2.02920147866964,0.08242679754319608,-0.09823382039011992,3.3761334887402756,0.5967428617092755,3.1318922990971156,5.657601800329669,5.600237780011873,16.856547316533938,0.2476732386497075,0.7137856758212148,7.123040119212626
ID258307,258307,4,741.0,16.210680494752477,19.418059769567833,0.0,100.0,20,1.0009596423409208,1,,515.5417789757413,517.0,0.0,575.0,382532.0,27.042431916461133,6204.921832884097,6083.0,5501.0,8185.0,4604052.0,499.66440217343376,203.53504043126685,209.0,110.0,292.0,151023.0,35.57153536377107,0.0851043591410776,2.990394009671045,-0.040626323698002155,-1.0517381491629,0.24308325151548438,2.237800643209072,0.02483553847803536,0.004301407308625913,2.396339469706775,0.4425885585291043,0.9104308094441962,5.414372837993718,3.147625157381257,10.160915014367214,0.3831133042683307,0.8693115519253216,5.7271863598946835
ID301697,301697,4,726.0,9.906547537167704,18.820109467042506,0.0,155.0,31,0.9857285988176212,1,,503.9402777777778,506.0,0.0,533.0,362837.0,32.65856646825363,6226.584722222222,6188.0,5388.0,7772.0,4483141.0,342.3847497675066,198.16805555555555,202.0,114.0,281.0,142681.0,39.3139120300535,0.051400593607927265,1.5087311798564798,-0.016466804739489044,-0.6089558379086861,0.22134932962645293,1.8270721378655617,0.053847002886393554,0.030254973099916312,2.4818817817426444,0.4187970690419035,0.26103622581931973,5.926215738377852,3.052562652628132,10.00484399114463,0.3832249785633841,0.9274711168164325,5.726351829088531
ID391552,391552,4,789.0,16.107964900998397,16.429123497462786,0.0,290.0,58,1.0268250677275432,1,,421.9209183673469,425.0,0.0,450.0,330786.0,37.131554758695756,6103.580357142857,5993.0,5239.0,7900.0,4785207.0,479.84795769076675,188.89413265306123,196.0,109.0,289.0,148093.0,42.91766766693654,0.08431968693826908,1.7672157022010824,-0.03283218322912949,-0.8635926507876907,0.19627594895334113,1.4442689210509547,-0.04517577764730953,0.025656745998326097,2.4240135659735293,0.44961195374501345,-0.36495224057155967,5.391345905692378,3.3124001656200064,10.175591158651967,0.4020067665076997,0.8904031800113565,5.590984013330872
ID212740,212740,4,700.0,21.065463489599782,25.74280928554584,0.0,20.0,4,0.9716435838986305,1,,708.1398002853067,710.0,0.0,784.0,496406.0,38.32657227363046,6209.196861626248,6072.0,5516.0,8257.0,4352647.0,477.64033215843733,201.96718972895863,209.0,111.0,285.0,141579.0,37.469230145047334,0.09705473519830153,3.2691696058495467,-0.03909735072770585,-1.0578701741985712,0.227196950923461,1.9958333680977942,0.005058053562093794,-0.04130438202830269,2.2929132593056742,0.42241554330581965,-1.26778103705244,5.428098694857105,2.965950148297502,9.81538833515246,0.38686437405178503,0.9005772931366253,5.699353084748935
ID212234,212234,4,707.0,21.299870616766793,26.993624270346626,0.0,5.0,1,0.9785396504460463,1,,749.9831223628692,757.0,0.0,877.0,533238.0,75.06663516332705,6209.870604781997,6081.0,5436.0,8428.0,4415218.0,466.6342991559758,206.41068917018285,213.0,114.0,304.0,146758.0,37.30260872881518,0.09627328544987579,1.7547752421951208,-0.039691375900357366,-1.1000722607466795,0.24308302044621818,2.1641006941248873,-0.04059756084867579,0.05270726395729695,2.3364041244875455,0.43972881901050376,1.927944852456218,5.313284059355082,3.008200150410004,9.857643999230161,0.38901856977426114,0.866180048661801,5.6835510550365305
ID359311,359311,4,776.0,14.187576309550574,18.24636655858973,0.0,270.0,54,1.0162932501654034,1,,472.3815104166667,475.0,0.0,475.0,362789.0,34.26724515546712,6175.90234375,6125.0,5431.0,7633.0,4743093.0,401.2621022163361,192.41015625,199.0,109.0,298.0,147771.0,43.21740620621841,0.06255095001151788,1.623034833133431,-0.019668469227213107,-0.6175894393863777,0.21079194349167665,1.5501858748114121,-0.01608403159593996,-0.013759283815233678,2.508849068079378,0.4313893624637612,3.065162531167664,5.815741616229893,3.244800162239997,10.190560863155037,0.39264642241527464,0.9045936395759719,5.657233567738229
ID260879,260879,4,734.0,17.69393749969378,20.235649923300596,0.0,85.0,17,0.990492244230886,1,,527.2716049382716,531.0,0.0,584.0,384381.0,43.99688148011705,6212.3539094650205,6093.0,5266.0,8339.0,4528806.0,482.98194727052476,204.66255144032922,210.0,111.0,293.0,149199.0,36.521952371411786,0.06867073700393557,1.5401757319960983,-0.0326660333074093,-0.8687108569634128,0.24255406328888343,2.187800183192735,0.008314023925426602,0.03244231189815761,2.449602807046794,0.4152443581008688,1.234500542771774,5.8991838402094565,3.0821376541068815,9.96224346364676,0.39025420659504517,0.8847786537295333,5.674546190233519
ID350091,350091,4,755.0,13.06555165953145,18.481531085523507,0.0,260.0,52,1.0086555844110083,1,,477.112582781457,479.0,0.0,485.0,360220.0,30.15665180071761,6178.090066225165,6139.0,5417.0,7814.0,4664458.0,368.9752636599998,195.26490066225165,203.0,115.0,284.0,147425.0,41.05484169193122,0.07111041365824629,2.1007129260452104,-0.01770735934415063,-0.6036704113546901,0.22329829089487038,1.73637221890313,-0.019374654342146278,-0.03728466252038473,2.352978006423979,0.4739095623826367,-0.07339971727333092,4.965035933425994,3.196212659810631,10.349532363875097,0.37497652278134264,0.8410227904391337,5.788991251853708
ID210838,210838,4,697.0,19.541272922128286,21.99996525447386,0.0,55.0,11,0.9678298031065916,1,,591.073275862069,592.0,0.0,662.0,411387.0,22.916026339881125,6241.116379310345,6162.0,5390.0,8110.0,4343817.0,429.3112462405316,205.90804597701148,212.0,115.0,296.0,143312.0,37.10917424124323,0.048885779109147785,2.4042872358691896,-0.0240563037386072,-0.7166781214121012,0.2429833512580867,2.1693679937185224,0.005515219408757135,-0.04525791361139024,2.32370180198874,0.4140592522402482,1.7752320238269765,5.612003087520591,2.94271264713563,9.973934547213968,0.3717275009339116,0.8509468540012223,5.8142350653624995
