LABEL,ID,TRACK_ID,QUALITY,POSITION_X,POSITION_Y,POSITION_Z,POSITION_T,FRAME,RADIUS,VISIBILITY,MANUAL_SPOT_COLOR,MEAN_INTENSITY_CH1,MEDIAN_INTENSITY_CH1,MIN_INTENSITY_CH1,MAX_INTENSITY_CH1,TOTAL_INTENSITY_CH1,STD_INTENSITY_CH1,MEAN_INTENSITY_CH2,MEDIAN_INTENSITY_CH2,MIN_INTENSITY_CH2,MAX_INTENSITY_CH2,TOTAL_INTENSITY_CH2,STD_INTENSITY_CH2,MEAN_INTENSITY_CH3,MEDIAN_INTENSITY_CH3,MIN_INTENSITY_CH3,MAX_INTENSITY_CH3,TOTAL_INTENSITY_CH3,STD_INTENSITY_CH3,CONTRAST_CH1,SNR_CH1,CONTRAST_CH2,SNR_CH2,CONTRAST_CH3,SNR_CH3,ELLIPSE_X0,ELLIPSE_Y0,ELLIPSE_MAJOR,ELLIPSE_MINOR,ELLIPSE_THETA,ELLIPSE_ASPECTRATIO,AREA,PERIMETER,CIRCULARITY,SOLIDITY,SHAPE_INDEX
Label,Spot ID,Track ID,Quality,X,Y,Z,T,Frame,Radius,Visibility,Manual spot color,Mean intensity ch1,Median intensity ch1,Min intensity ch1,Max intensity ch1,Sum intensity ch1,Std intensity ch1,Mean intensity ch2,Median intensity ch2,Min intensity ch2,Max intensity ch2,Sum intensity ch2,Std intensity ch2,Mean intensity ch3,Median intensity ch3,Min intensity ch3,Max intensity ch3,Sum intensity ch3,Std intensity ch3,Contrast ch1,Signal/Noise ratio ch1,Contrast ch2,Signal/Noise ratio ch2,Contrast ch3,Signal/Noise ratio ch3,Ellipse center x0,Ellipse center y0,Ellipse long axis,Ellipse short axis,Ellipse angle,Ellipse aspect ratio,Area,Perimeter,Circularity,Solidity,Shape index
Label,Spot ID,Track ID,Quality,X,Y,Z,T,Frame,R,Visibility,Spot color,Mean ch1,Median ch1,Min ch1,Max ch1,Sum ch1,Std ch1,Mean ch2,Median ch2,Min ch2,Max ch2,Sum ch2,Std ch2,Mean ch3,Median ch3,Min ch3,Max ch3,Sum ch3,Std ch3,Ctrst ch1,SNR ch1,Ctrst ch2,SNR ch2,Ctrst ch3,SNR ch3,El. x0,El. y0,El. long axis,El. sh. axis,El. angle,El. a.r.,Area,Perim.,Circ.,Solidity,Shape index
,,,(quality),(pixel),(pixel),(pixel),(sec),,(pixel),,,(counts),(counts),(counts),(counts),(counts),(counts),(counts),(counts),(counts),(counts),(counts),(counts),(counts),(counts),(counts),(counts),(counts),(counts),,,,,,,(pixel),(pixel),(pixel),(pixel),(radians),,(pixel^2),(pixel),,,
ID65024,65024,0,656.0,37.46085717061403,114.14461735741997,0.0,45.0,9,0.938553602796352,1,,4815.908675799087,4838.0,0.0,4838.0,3164052.0,326.42300692821175,5948.429223744292,5782.0,5212.0,7538.0,3908118.0,527.0591339973504,187.33181126331812,190.0,114.0,279.0,123077.0,31.501008141644178,0.2326727364636172,5.569615112741161,-0.0622423749804718,-1.4981955461417973,0.2206299577666913,2.149797394582458,0.06682405721811495,-0.01006861795135145,1.9981993882924172,0.4670878351685586,-0.004035626206230552,4.277994924811785,2.7673751383687613,8.311436507002126,0.5034144946717412,0.9513435003631111,4.996225988156608
ID225793,225793,0,691.0,34.37053545045803,123.36693704643663,0.0,160.0,32,0.9626048424761702,1,,5226.939130434783,5273.0,0.0,5273.0,3606588.0,489.91302720846767,6012.359420289855,5813.0,5092.0,8177.0,4148528.0,573.6708837139495,181.26956521739132,187.0,98.0,267.0,125076.0,33.99244048270644,0.1760149923908398,3.1937083460991444,-0.04882727333627069,-1.0760072709221484,0.20078666732829967,1.7833704125190295,-0.011784187451674978,-0.044606430811206695,2.039056133827246,0.46027986244549535,1.5010638428185035,4.430035507079573,2.911025145551254,8.472483044402217,0.5096058492436136,0.9399727148703949,4.965782914763436
ID145927,145927,0,741.0,38.65194092141069,116.17445913333259,0.0,85.0,17,0.9992787685397609,1,,4803.88948787062,4903.0,0.0,4908.0,3564486.0,690.5009749504686,5778.350404312669,5537.0,4964.0,7867.0,4287536.0,632.2650506908258,175.40835579514825,181.0,103.0,262.0,130153.0,35.66641949150803,0.4605013995791314,4.387202540004697,-0.09420783416715897,-1.9010483083757839,0.18724833992494486,1.5513049033421924,0.00876920456220908,-0.014583685010342098,1.9818297367616433,0.5172062757399433,1.97287033286769,3.8317975433038405,3.137062656853134,8.53049522384844,0.54173209814309,0.9380922299431483,4.816290207818696
ID315777,315777,0,695.0,33.727705879159416,122.62013376093039,0.0,235.0,47,0.966787070029792,1,,5304.507204610951,5351.0,0.0,5351.0,3681328.0,495.76077276772793,5975.0994236311235,5758.0,4998.0,7737.0,4146719.0,606.8309850012043,186.5172910662824,187.0,120.0,258.0,129443.0,28.963311930118312,0.22759293675080552,3.9674117756050986,-0.06413565197570023,-1.34956558497892,0.22154258958384776,2.3358744036242527,0.014459504780228144,-0.03672000241572096,2.0787470055508623,0.47694159735481884,1.8427020593295291,4.35849382205257,2.9363751468187567,8.514601917975899,0.508970612260003,0.9385550303848758,4.968880800225965
ID61830,61830,0,684.0,33.74104403532955,114.06191720001893,0.0,20.0,4,0.9584043649422497,1,,4746.992679355783,4782.0,0.0,4782.0,3242196.0,407.9499476288496,5831.650073206442,5672.0,4969.0,7586.0,3983017.0,517.3802429433479,176.47730600292826,181.0,103.0,270.0,120534.0,35.82648797782977,0.3258088754716672,5.719046988567186,-0.062248162733505516,-1.49640870373757,0.1877084677955747,1.5570000843192235,-0.008905064501440234,0.007872148530199342,2.007070111484092,0.4734959176208222,0.25953546413971085,4.238832979952666,2.8856751442837583,8.412630375696544,0.5123817906099304,0.9267299864314795,4.952313033853342
ID318351,318351,0,695.0,33.70090976980655,124.03567204736883,0.0,240.0,48,0.9664392423264929,1,,5353.36690647482,5400.0,0.0,5400.0,3720590.0,499.9260340662886,5937.2561151079135,5773.0,5127.0,7642.0,4126393.0,568.3901839135893,183.09928057553958,184.0,124.0,263.0,127254.0,28.79761811817,0.21309820783087474,3.762141171612987,-0.058642439222184,-1.3014474037396204,0.2111646897969482,2.217063658037601,0.00916870173659859,-0.03337235092604786,2.032281882581724,0.4673856059273815,1.8514027989365704,4.348190994348857,2.9342626467131327,8.489846194928326,0.5115748718505775,0.9315895372233396,4.956217193302821
ID236687,236687,0,551.0,35.42525929541748,127.42039768091965,0.0,155.0,31,0.8561240204090589,0,,5421.590493601462,5462.0,0.0,5462.0,2965610.0,465.79374192806335,6090.0950639853745,5926.0,5344.0,8158.0,3331282.0,549.2835511079098,114.9945155393053,114.0,96.0,146.0,62902.0,6.532951633456938,0.13893963732631529,2.8398049431504924,-0.04594433165176161,-1.0678633854522768,-0.008224085206916868,-0.29192529292740355,-0.0025329383274813712,5.058696181201551E-4,1.5980278220954705,0.47245045219574155,-0.6653924743295088,3.3824241561597437,2.3026251151312644,7.103019946881347,0.5735179734172884,0.9356223175965639,4.6809221213623005
