SPOT_ID,TRACK_ID,PREV_TRACK_ID,POSITION_X,POSITION_Y,FRAME,ELLIPSE_MAJOR,ELLIPSE_MINOR,ELLIPSE_THETA,ELLIPSE_ASPECTRATIO,AREA,ANGLE,ANGULAR_VELOCITY,TOTAL_DISPLACEMENT_VECTOR,TOTAL_DISPLACEMENT,FRAME_GAP,STEP_SPEED,MSD_LAG_TIME,MSD,CLASS,SPOT_LABEL,NEIGHBOUR,NEIGHBOUR_UNCERTAIN,CONTACT,UPDATE_NEIGHBOUR,CONTACT_ANGLE (deg),DISP_RELATIVE_ANGLE (deg),REVERSAL,CONTACT_REVERSAL
8658,3,,67.47601851851121,67.92381153304436,11,1.8483289686609667,0.5326773625528088,0.0841086663667816,3.4698845841749586,3.0039750000000103,0.7945905067690295,0.2307057530948608,"[0.02380751572349027, 0.010127689030824172]",0.0258721450604566,1,0.0258721450604566,11,12.767668177881664,moving,476,[],[],0.0,[],,,0,0.0
9682,3,,66.85063191990726,67.96302767962479,12,1.8623161903179923,0.5268518782823363,0.1361273596966659,3.5348003245040913,2.9891875000000065,2.6767592045343713,1.8821686977653416,"[-0.6253865986039528, 0.03921614658042927]",0.6266149566249112,1,0.6266149566249112,12,14.760288477510729,moving,476,[],[],0.0,[],,,0,0.0
9384,3,,65.76275029240384,67.87569883041547,13,1.8924793962451796,0.5225094693690624,0.1387571850850187,3.621904495875214,3.010312500000005,0.1427275043223059,-2.534031700212066,"[-1.087881627503421, -0.08732884920931383]",1.0913811265381654,1,1.0913811265381654,13,16.900640677849175,moving,485,[],[],0.0,[],,12.167974813203791,0,0.0
19701,3,,64.84806461138623,67.99739369241671,14,1.8406787307222896,0.5418912783430111,2.914736834020617,3.396767588418651,2.980737499999998,0.2123712237901481,0.0696437194678421,"[-0.9146856810176018, 0.12169486200123458]",0.922745649947012,1,0.922745649947012,14,19.125655129292458,moving,481,[],[],0.0,[],,30.379769337233924,0,0.0
20226,3,,64.18704892435333,68.51305979643278,15,1.8515105182648048,0.5332331201214643,2.77448578593905,3.472234653847181,3.044112500000007,0.5302270009311475,0.3178557771409993,"[-0.6610156870329007, 0.515666104016077]",0.838363447041137,1,0.838363447041137,15,21.389222091216485,moving,482,[],[],0.0,[],,21.647805163421356,0,0.0
20194,3,,63.23744627423355,68.79093027329891,17,1.8626568295210544,0.5319257239545387,-0.090465371543268,3.501723540785644,3.0145375000000065,0.1052404244065335,-0.2522189378632449,"[-0.18799785853673256, 0.038069123231522894]",0.1918135890858991,1,0.1918135890858991,17,26.08850288827141,moving,483,[],[],0.0,[],,14.325106170198072,0,0.0
20794,3,,62.74784550046057,68.80790174472139,19,1.848481455509229,0.558864990853657,0.0377628852070455,3.3075635184907615,3.0673500000000224,0.6493848695623113,0.6358252148879557,"[-0.13053487118920515, -0.06082125178197373]",0.1440089485577498,1,0.1440089485577498,19,30.832518866418123,moving,478,[],[],0.0,[],,2.005242505100809,0,0.0
19957,3,,62.20888364778975,68.84550023292744,21,1.915331506752952,0.5245841681949238,0.1070280546177563,3.6511424150361655,3.022987500000004,0.1890749875278133,-0.275506475088112,"[-0.1153129865923006, 0.02549908033512338]",0.1180986366338459,1,0.1180986366338459,21,35.542707874248975,moving,485,[],[],0.0,[],,47.06028465659101,0,0.0
21525,3,,61.81985063436515,69.32678835062725,23,1.8869439145038065,0.5317639559644067,0.2484461650050132,3.548461480586149,3.0525625000000036,1.521639487405393,0.5648082326910271,"[-0.16294803044014117, -0.05896065383782911]",0.1732871008624285,1,0.1732871008624285,23,40.0119318426587,moving,491,[],[],0.0,[],,39.678281771688646,0,0.0
34719,3,,60.717144752005375,69.54858304496895,30,1.8778457163679296,0.5386003048630923,-0.4484440076346367,3.486529248893133,3.052562499999991,0.9476944316914752,-1.040176561607598,"[-0.0697081891719975, -0.023256055376947415]",0.0734852076906273,1,0.0734852076906273,30,62.70142517882091,moving,494,[],[],0.0,[],,37.91032053068844,0,0.0
33885,3,,60.498144785848474,69.80304003724534,31,1.875864889995334,0.5283905020240787,2.961595308694527,3.550148768400555,3.025100000000013,1.1821569302239687,0.2344624985324935,"[-0.21899996615690043, 0.2544569922763884]",0.3357221263114326,1,0.3357221263114326,31,67.38375713712095,moving,495,[],[],0.0,[],,13.354900363530756,0,0.0
