SPOT_ID,TRACK_ID,PREV_TRACK_ID,POSITION_X,POSITION_Y,FRAME,ELLIPSE_MAJOR,ELLIPSE_MINOR,ELLIPSE_THETA,ELLIPSE_ASPECTRATIO,AREA,ANGLE,ANGULAR_VELOCITY,TOTAL_DISPLACEMENT_VECTOR,TOTAL_DISPLACEMENT,FRAME_GAP,STEP_SPEED,MSD_LAG_TIME,MSD,CLASS
6154,0,,41.133606514995975,38.92383057566474,0,1.0980886040651507,0.6057144887000668,-0.3181103720777276,1.81288152182355,2.0427875,,,"[0.0, 0.0]",0.0,0,0.0,0,0.0,not moving
5690,0,,41.17456407562976,38.94196428571392,1,1.087810491815374,0.6009329056812491,-0.327402465860599,1.810202905401186,2.0110999999999986,,,"[0.040957560633785306, 0.018133710049184515]",0.0447923343131176,1,0.0447923343131176,1,0.0005455998493012,not moving
6103,0,,41.190395198035745,38.94252979319853,2,1.08429758728578,0.5973223419846424,-0.3412321636864285,1.8152637379729188,2.0089875000000017,0.3810973215272226,,"[0.015831122405984388, 0.0005655074846089292]",0.0158412195031951,1,0.0158412195031951,2,0.0015123233979224,not moving
6048,0,,41.20677018633708,38.95426673568141,3,1.086803749208994,0.6096268806190218,-0.3071130700146341,1.7827359385882746,2.040675000000003,0.5861801162243043,0.2050827946970816,"[0.016374988301336657, 0.0117369424828766]",0.0201468623044697,1,0.0201468623044697,3,0.0029189577368307,not moving
5598,0,,41.23642331932966,38.96438200280296,4,1.092903829415461,0.6016559981671371,-0.3012011630889529,1.816492867593514,2.0111000000000017,0.2931443667344951,-0.2930357494898092,"[0.029653132992578435, 0.010115267121548754]",0.0313309260191241,1,0.0313309260191241,4,0.0048390629564192,not moving
6903,0,,41.294889770722875,38.96511552028179,5,1.08191729842562,0.5981838669735559,-0.3231504758638477,1.8086701400013665,1.9963124999999993,0.3161965207979947,0.0230521540634996,"[0.05846645139321538, 0.0007335174788352106]",0.0584710525508731,1,0.0584710525508731,5,0.0072215841497207,not moving
5997,0,,41.33136967155792,38.96332110412225,6,1.0835723633538497,0.6013751799914009,-0.3185243412282172,1.8018242179022816,2.015325000000002,0.0616948553703084,-0.2545016654276863,"[0.036479900835047374, -0.0017944161595409014]",0.0365240070951766,1,0.0365240070951766,6,0.0098392821560995,not moving
5876,0,,41.32953273495196,38.96159714889074,7,1.0827850299915447,0.6013543808162619,-0.3166652780763933,1.800577271128884,2.0005374999999996,2.338762684012215,2.2770678286419064,"[-0.0018369366059616254, -0.001723955231511809]",0.0025191978355378,1,0.0025191978355378,7,0.0127896642450753,not moving
7608,0,,41.353139269407144,38.97039954337985,8,1.0894985765499108,0.5908189584782827,-0.3098354514011364,1.8440480978403784,2.0047625000000013,2.7448226134985094,0.4060599294862945,"[0.023606534455183237, 0.008802394489109133]",0.0251942576339461,1,0.0251942576339461,8,0.0162964759684805,not moving
8166,0,,41.37040835956472,38.98116386848394,9,1.089000204014588,0.6095882494539333,-0.3223813515529689,1.7864520928513794,2.0132125000000003,0.2004864406279141,-2.544336172870595,"[0.017269090157576272, 0.0107643251040912]",0.0203492547730148,1,0.0203492547730148,9,0.0202203091850542,not moving
6885,0,,41.3866144172881,38.981614417288185,10,1.078325076487165,0.6004903635966439,-0.3198221489910804,1.7957408509081223,1.9878625,0.5296027122833897,0.3291162716554755,"[0.01620605772338024, 0.0004505488042454431]",0.0162123194256262,1,0.0162123194256262,10,0.0245046988614626,not moving
5597,0,,41.43766032416799,38.96436222691675,11,1.083786695853279,0.6013612646037547,-0.312163724060325,1.802222323992552,1.9984250000000012,0.3537154413684392,-0.1758872709149505,"[0.0510459068798923, -0.017252190371436882]",0.0538824895657479,1,0.0538824895657479,11,0.0291997890829536,not moving
