SPOT_ID,TRACK_ID,PREV_TRACK_ID,POSITION_X,POSITION_Y,FRAME,ELLIPSE_MAJOR,ELLIPSE_MINOR,ELLIPSE_THETA,ELLIPSE_ASPECTRATIO,AREA,ANGLE,ANGULAR_VELOCITY,TOTAL_DISPLACEMENT_VECTOR,TOTAL_DISPLACEMENT,FRAME_GAP,STEP_SPEED,MSD_LAG_TIME,MSD,CLASS,SPOT_LABEL,NEIGHBOUR,NEIGHBOUR_UNCERTAIN,CONTACT,UPDATE_NEIGHBOUR,CONTACT_ANGLE (deg)
8239,3,,67.82026740847333,67.89814608758256,0,1.8423939732757093,0.5154081745031018,0.3124155180013147,3.574630873970784,2.942712500000001,,,"[0.0, 0.0]",0.0,0,0.0,0,0.0,not moving,462,[],[],0.0,[],
9094,3,,67.85460651450563,67.91374940561366,1,1.8399580307900316,0.5274638836406291,0.2672184274265259,3.48831093058047,2.9617249999999986,,,"[0.03433910603230572, 0.015603318031097047]",0.037717870256385,1,0.037717870256385,1,0.1936710240101124,not moving,464,[],[],0.0,[],
7986,3,,67.84721212120401,67.92043939393125,2,1.8567879574027024,0.5551076415963384,0.2840582934719471,3.3449151448592667,3.0208749999999887,1.97966808677674,,"[-0.007394393301623836, 0.006689988317589268]",0.0099716094983999,1,0.0099716094983999,2,0.6746991630058774,not moving,462,[],[],0.0,[],
8275,3,,67.81204992966217,67.9544678855929,3,1.8203013270827468,0.5369761279478714,0.2925613823324908,3.389911082340439,3.0039749999999934,0.0335878758486089,-1.9460802109281308,"[-0.03516219154184341, 0.03402849166165822]",0.0489317684004249,1,0.0489317684004249,3,1.3836517848595886,not moving,463,[],[],0.0,[],
8014,3,,67.77878469750118,67.91771352312433,4,1.819627467769188,0.5364119211467414,0.2692526131383431,3.3922204112824126,2.968062499999999,1.604202226816471,1.570614350967862,"[-0.03326523216098565, -0.03675436246857089]",0.0495727629973896,1,0.0495727629973896,4,2.300767281817328,not moving,466,[],[],0.0,[],
9665,3,,67.77028016212336,67.91433714829428,5,1.8338089249077651,0.53028462824336,0.2599563544003981,3.458159688660987,2.9532750000000014,0.4572627062669486,-1.1469395205495223,"[-0.00850453537782414, -0.003376374830054374]",0.0091502474822098,1,0.0091502474822098,5,3.4044944447033236,not moving,468,[],[],0.0,[],
9126,3,,67.74227985162706,67.9133111988395,6,1.8758276837025432,0.5138112576101221,0.2539105736592779,3.650810790770788,2.942712499999996,0.3413007816380075,-0.115961924628941,"[-0.02800031049629581, -0.001025949454785291]",0.0280190999172483,1,0.0280190999172483,6,4.657111385010048,not moving,468,[],[],0.0,[],
8339,3,,67.58072060607236,67.85981878789033,7,1.8990532851523785,0.501741237331207,0.2269489920422063,3.7849256625856817,2.904687500000006,0.2831157552236943,-0.0581850264143131,"[-0.1615592455546988, -0.05349241094916124]",0.1701846874820335,1,0.1701846874820335,7,6.045539046076159,not moving,471,[],[],0.0,[],
9875,3,,67.43336349657058,67.82636207712407,8,1.871811699634771,0.517856641389109,0.1734018369522274,3.6145364373695887,2.976512499999997,0.0964798664548862,-0.1866358887688081,"[-0.14735710950178316, -0.033456710766259334]",0.1511074757118841,1,0.1511074757118841,8,7.563720429776561,not moving,476,[],[],0.0,[],
10187,3,,67.428293201141,67.85274197356762,9,1.8670747894900217,0.5242945553471698,0.1829422175945867,3.5611180212499227,2.9828500000000004,1.6041691428625304,1.5076892764076442,"[-0.005070295429575822, 0.02637989644354377]",0.0268627405920406,1,0.0268627405920406,9,9.18109332710283,not moving,479,[],[],0.0,[],
9239,3,,67.45221100278772,67.91368384401353,10,1.8660122420344911,0.5491455287149971,0.1281952533379549,3.398028654446059,3.033550000000011,0.5638847536741687,-1.0402843891883615,"[0.023917801646717862, 0.060941870445915924]",0.0654673415456786,1,0.0654673415456786,10,10.913506513924508,not moving,476,[],[],0.0,[],
8658,3,,67.47601851851121,67.92381153304436,11,1.8483289686609667,0.5326773625528088,0.0841086663667816,3.4698845841749586,3.0039750000000103,0.7945905067690295,0.2307057530948608,"[0.02380751572349027, 0.010127689030824172]",0.0258721450604566,1,0.0258721450604566,11,12.767668177881664,moving,476,[],[],0.0,[],
9682,3,,66.85063191990726,67.96302767962479,12,1.8623161903179923,0.5268518782823363,0.1361273596966659,3.5348003245040913,2.9891875000000065,2.6767592045343713,1.8821686977653416,"[-0.6253865986039528, 0.03921614658042927]",0.6266149566249112,1,0.6266149566249112,12,14.760288477510729,moving,476,[],[],0.0,[],
9384,3,,65.76275029240384,67.87569883041547,13,1.8924793962451796,0.5225094693690624,0.1387571850850187,3.621904495875214,3.010312500000005,0.1427275043223059,-2.534031700212066,"[-1.087881627503421, -0.08732884920931383]",1.0913811265381654,1,1.0913811265381654,13,16.900640677849175,moving,485,[],[],0.0,[],
19701,3,,64.84806461138623,67.99739369241671,14,1.8406787307222896,0.5418912783430111,2.914736834020617,3.396767588418651,2.980737499999998,0.2123712237901481,0.0696437194678421,"[-0.9146856810176018, 0.12169486200123458]",0.922745649947012,1,0.922745649947012,14,19.125655129292458,moving,481,[],[],0.0,[],
20226,3,,64.18704892435333,68.51305979643278,15,1.8515105182648048,0.5332331201214643,2.77448578593905,3.472234653847181,3.044112500000007,0.5302270009311475,0.3178557771409993,"[-0.6610156870329007, 0.515666104016077]",0.838363447041137,1,0.838363447041137,15,21.389222091216485,moving,482,[],[],0.0,[],
20559,3,,63.42544413277028,68.75286115006739,16,1.8517073187363873,0.5297966529374653,-0.1124077828479997,3.495128382690923,3.0124250000000052,0.3574593622697785,-0.172767638661369,"[-0.7616047915830535, 0.2398013536346042]",0.7984651199440429,1,0.7984651199440429,16,23.71998802458213,not moving,487,[],[],0.0,[],
20194,3,,63.23744627423355,68.79093027329891,17,1.8626568295210544,0.5319257239545387,-0.090465371543268,3.501723540785644,3.0145375000000065,0.1052404244065335,-0.2522189378632449,"[-0.18799785853673256, 0.038069123231522894]",0.1918135890858991,1,0.1918135890858991,17,26.08850288827141,moving,483,[],[],0.0,[],
20796,3,,62.878380371649776,68.86872299650337,18,1.8377395682269757,0.5412662261409665,-0.0950961678939794,3.3952600023271313,3.0314374999999987,0.0135596546743555,-0.091680769732178,"[-0.35906590258377236, 0.0777927232044533]",0.3673962849320387,1,0.3673962849320387,18,28.45459382752289,not moving,483,[],[],0.0,[],
20794,3,,62.74784550046057,68.80790174472139,19,1.848481455509229,0.558864990853657,0.0377628852070455,3.3075635184907615,3.0673500000000224,0.6493848695623113,0.6358252148879557,"[-0.13053487118920515, -0.06082125178197373]",0.1440089485577498,1,0.1440089485577498,19,30.832518866418123,moving,478,[],[],0.0,[],
19958,3,,62.32419663438205,68.82000115259231,20,1.7676346124321751,0.6570680096653813,0.0306544023379911,2.6901851656609512,3.0546750000000205,0.4645814626159253,-0.184803406946386,"[-0.4236488660785227, 0.012099407870920231]",0.4238216103509175,1,0.4238216103509175,20,33.260140506020306,not moving,486,[],[],0.0,[],
19957,3,,62.20888364778975,68.84550023292744,21,1.915331506752952,0.5245841681949238,0.1070280546177563,3.6511424150361655,3.022987500000004,0.1890749875278133,-0.275506475088112,"[-0.1153129865923006, 0.02549908033512338]",0.1180986366338459,1,0.1180986366338459,21,35.542707874248975,moving,485,[],[],0.0,[],
20747,3,,61.982798664805294,69.38574900446508,22,1.8752948792844333,0.5175943238727182,0.1760522261367374,3.623097844762277,3.0060875000000076,0.9568312547143656,0.7677562671865523,"[-0.22608498298445312, 0.540248771537648]",0.5856476369618666,1,0.5856476369618666,22,37.751389516013525,not moving,493,[],[],0.0,[],
21525,3,,61.81985063436515,69.32678835062725,23,1.8869439145038065,0.5317639559644067,0.2484461650050132,3.548461480586149,3.0525625000000036,1.521639487405393,0.5648082326910271,"[-0.16294803044014117, -0.05896065383782911]",0.1732871008624285,1,0.1732871008624285,23,40.0119318426587,moving,491,[],[],0.0,[],
22168,3,,61.43449514227013,69.35318817951384,24,1.845370960579922,0.555313107147184,0.1077995688001732,3.3231179614329043,3.044112499999992,0.4155818673306253,-1.1060576200747674,"[-0.38535549209502307, 0.0263998288865821]",0.3862587296787454,1,0.3862587296787454,24,42.48612424354695,not moving,491,[],[],0.0,[],
21135,3,,61.166649208555,69.3595693668395,25,1.875142891648541,0.5403797388474618,-0.1776477636181392,3.470046629890126,3.0250999999999935,0.0445812614806416,-0.3710006058499836,"[-0.26784593371512955, 0.0063811873256582885]",0.2679219359429435,1,0.2679219359429435,25,45.06288419828413,not moving,490,[],[],0.0,[],
