Filename;Fitting Equation;a;b;c;;;;;;;;436
240612_177_0p55agarose_2xTrpNC_OD0p5_2h30_5s_100X_3009_SC30pc_Frame1;a * exp(-Radius/b) + c;1.5977;1.5652;0.011;;;;;;;;
250123_459_0p5agarose_LB_OD0p5_5s_2h55_100X_1028_SC70pc_Frame1;a * exp(-Radius/b) + c;0.6239;2.6381;0.0288;;;;;;;;
240820_177_0p55pagarose_2xTrpNC_OD0p5_1h30_5s_3002_SC10pc_Frame1;a * exp(-Radius/b) + c;1.4231;1.9125;0.0028;;;;;;;;
240529_177_0p55agarose_2xTrpNC_OD0p5_2h55_5s_100X_3002_SC70pc_Frame1;a * exp(-Radius/b) + c;0.8099;2.1716;0.0033;;;;;;;;
240820_459_0p55pagarose_2xTrpNC_OD0p5_1h30_5s_2_SC10pc_Frame1;a * exp(-Radius/b) + c;1.065;2.0955;0.0305;;;;;;;;
240619_459_0p55agarose_2xTrpNC_OD0p5_1h50_5s_100X_001_SC10pc_Frame1;a * exp(-Radius/b) + c;2.8368;1.4568;-0.0008;;;;;;;;
240820_459_0p55pagarose_2xTrpNC_OD0p5_2h15_5s_6_SC30pc_Frame1;a * exp(-Radius/b) + c;0.9585;3.2551;-0.0057;;;;;;;;
240614_177_0p55agarose_2xTrpNC_OD0p5_1h30_5s_100X__SC10pc_Frame1;a * exp(-Radius/b) + c;1.7241;1.4319;0.0016;;;;;;;;
240524_177_0p55agarose_2xTrpNC_OD0p5_2h10_5s_100X_4_Stage2_SC10pc_FR1;a * exp(-Radius/b) + c;2.3861;1.3071;0.0051;;;;;;;;
250502_1695_0p5agarose_RT_LB_ON_100X_1002_SC70pc_Frame1;a * exp(-Radius/b) + c;1.1023;4.3855;0.0193;;;;;;;;
250502_1695_0p5agarose_RT_LB_ON_100X_1005_SC70pc_Frame1;a * exp(-Radius/b) + c;1.1637;4.0594;-0.0098;;;;;;;;
250520_1047_2p5agarose_OD0p01_RT_LB_5h_100X_1006_crop1370x1370_SC70pc_Frame1;a * exp(-Radius/b) + c;0.7553;2.8443;0.0122;;;;;;;;
250509_459_0p5agarose_LB_OD0p5_still_2h30_100X_02003_SC70pc_Frame1;a * exp(-Radius/b) + c;0.9532;2.4723;0.0082;;;;;;;;
250509_459_0p5agarose_LB_OD0p5_still_2h30_100X_02004_SC70pc_Frame1;a * exp(-Radius/b) + c;0.9083;2.5802;0.0075;;;;;;;;
250520_1047_2p5agarose_OD0p01_RT_LB_5h_100X_1002_crop1370x1370_SC70pc_Frame1;a * exp(-Radius/b) + c;0.7661;2.4676;0.0121;;;;;;;;
250502_1695_0p5agarose_RT_LB_ON_100X_1_SC70pc_Frame1;a * exp(-Radius/b) + c;1.1031;4.2487;-0.0058;;;;;;;;
250520_1047_2p5agarose_OD0p01_RT_LB_5h_100X_1005_crop1370x1370_SC70pc_Frame1;a * exp(-Radius/b) + c;0.8833;2.33;-0.0056;;;;;;;;
250502_1695_0p5agarose_RT_LB_ON_100X_1004_SC70pc_Frame1;a * exp(-Radius/b) + c;1.1295;4.4201;0.0069;;;;;;;;
250502_1695_0p5agarose_RT_LB_ON_100X_1003_SC70pc_Frame1;a * exp(-Radius/b) + c;1.0191;5.07;0.0038;;;;;;;;
