,Abscissa,red_mean,red_std,green_mean,green_std
0,-16.19400679241421,0.0,0.0,0.0,0.0
1,-12.955205433931367,0.0,0.0,0.0,0.0
2,-9.716404075448525,0.0,0.0,0.0,0.0
3,-6.477602716965683,0.0,0.0,0.0,0.0
4,-3.2388013584828417,0.0,0.0,0.0,0.0
5,0.0,7.208333333333334,4.054310120791891,81.05000000000001,12.279352588797181
6,3.2388013584828417,10.933333333333332,5.3451431744674105,127.23333333333335,34.40899430220083
7,6.477602716965683,9.666666666666668,7.456801518673331,79.00833333333333,24.587580141653273
8,9.716404075448525,9.583333333333334,5.3776543833409995,74.44166666666668,16.76281226405641
9,12.955205433931367,13.491666666666665,7.092616465968911,56.55833333333333,11.702881292893453
10,16.19400679241421,19.46666666666667,7.9607718777068905,59.80833333333333,15.818297685486472
11,19.43280815089705,23.333333333333336,8.652777331906536,61.95833333333334,4.104156091356937
12,22.67160950937989,30.266666666666666,12.627989195082135,67.23333333333333,9.69366918262751
13,25.910410867862733,39.325,15.789964727988188,57.33333333333333,20.915504615794795
14,29.149212226345576,45.80833333333334,16.896291095319643,58.16666666666667,17.38909300554677
15,32.38801358482842,54.300000000000004,24.684543071863143,67.11666666666667,13.928318475521577
16,35.62681494331126,63.35000000000001,20.81166206187718,68.03333333333333,19.381090440598697
17,38.8656163017941,59.275,18.245690130365947,63.90833333333333,18.525768465092668
18,42.104417660276944,67.35,23.632822044304778,67.90833333333333,20.447417318575955
19,45.34321901875978,82.84166666666667,18.877564211400667,69.10000000000001,22.535071431980075
20,48.58202037724263,79.49166666666667,19.797115039542728,71.78333333333333,25.728556335541075
21,51.82082173572547,80.025,21.681832833042503,68.13333333333334,22.198523474421545
22,55.05962309420831,81.16666666666667,22.107125548112307,64.75833333333334,21.341708967809176
23,58.29842445269115,84.00833333333334,14.884226830216381,66.89166666666667,17.72453376600418
24,61.537225811174,85.26666666666667,14.650388694123064,67.16666666666669,18.4165837102204
25,64.77602716965684,83.9,17.55013453572998,74.56666666666666,14.273460220516496
26,68.01482852813967,84.72500000000001,19.056514998521873,71.77499999999999,16.338372947008995
27,71.25362988662252,83.70000000000002,18.32980269033649,75.15,14.572586516393647
28,74.49243124510537,88.08333333333334,6.979752462977776,71.30000000000001,15.026809375246627
29,77.7312326035882,91.025,9.942902968672907,79.775,25.270276512139713
30,80.97003396207104,98.4,6.194935207265875,86.08333333333334,16.871878312084217
31,84.20883532055389,104.875,7.727166183163282,78.41666666666669,13.29006521177881
32,87.44763667903673,93.68333333333335,15.14746953564631,83.71666666666667,15.82449753458928
33,90.68643803751957,95.21666666666667,20.184351749698468,81.275,14.51180314625152
34,93.92523939600241,97.57500000000002,16.130619175964707,89.69166666666668,22.531131241018514
35,97.16404075448526,95.75,22.33575235655458,77.35833333333332,24.9768712456589
36,100.4028421129681,102.00833333333333,23.61392450558687,94.41666666666669,23.643727145552443
37,103.64164347145093,100.9,24.407956353069252,94.15,28.546973959112066
38,106.88044482993378,99.65,16.59786632873837,93.475,24.07469135604627
39,110.11924618841662,90.60000000000001,9.535168820972421,99.17500000000001,14.064857209845167
40,113.35804754689946,91.22500000000001,19.69392708143526,109.20833333333334,15.193225372587028
41,116.5968489053823,105.75833333333334,26.310595404808996,105.41666666666669,25.76486086815831
42,119.83565026386515,98.60000000000001,23.35186169118951,114.13333333333334,26.282556530478104
43,123.074451622348,98.23333333333335,19.642357858012417,113.94999999999999,22.087735410303054
44,126.31325298083082,98.71666666666667,12.698326661414884,111.33333333333334,23.75185372882621
45,129.55205433931368,101.275,19.2174165074867,116.38333333333333,25.108658311869675
46,132.7908556977965,104.64166666666667,10.16320637834778,119.11666666666667,15.20022843395599
47,136.02965705627935,100.54166666666667,11.798572771502684,129.48333333333335,20.74536762214105
48,139.2684584147622,107.33333333333334,19.5492256169451,132.675,17.588843923224612
49,142.50725977324504,113.95000000000002,16.236661192088313,139.38333333333333,20.899076268794495
50,145.74606113172788,105.74166666666667,16.453509841705845,130.05,15.745766626832324
51,148.98486249021073,107.93333333333334,20.595279933896393,124.78333333333335,10.074100456120144
52,152.22366384869358,104.61666666666667,16.583567837537927,128.41666666666669,7.661610651669648
53,155.4624652071764,101.28333333333336,17.679782866942187,131.63333333333333,15.597417877470756
54,158.70126656565924,108.78333333333333,16.037135723757597,136.00000000000003,8.712793913422832
55,161.94006792414208,109.41666666666666,12.94633152672988,130.69166666666666,10.754595271066426
56,165.17886928262493,111.85833333333335,12.897165386238942,132.23333333333335,20.8347599511543
57,168.41767064110778,111.95,24.420682263651482,132.09166666666667,20.440854719572446
58,171.65647199959062,114.025,27.865583860541832,135.975,14.239233261973359
59,174.89527335807347,103.75833333333335,25.287583415581643,138.94166666666666,17.161736751661625
