,scale,red_260427_2619+2621_5_0p5agarose_LB_OD0p5_Still_mix60pc_10min_20X_01_corrected.tif,red_260427_2619+2621_3_0p5agarose_LB_OD0p5_Still_mix60pc_10min_20X_01001.tif,red_260427_2619+2621_5_0p5agarose_LB_OD0p5_Still_mix60pc_10min_20X_01002_corrected.tif,green_260427_2619+2621_5_0p5agarose_LB_OD0p5_Still_mix60pc_10min_20X_01_corrected.tif,green_260427_2619+2621_3_0p5agarose_LB_OD0p5_Still_mix60pc_10min_20X_01001.tif,green_260427_2619+2621_5_0p5agarose_LB_OD0p5_Still_mix60pc_10min_20X_01002_corrected.tif
0,-16.19400679241421,0.0,0.0,0.0,0.0,0.0,0.0
1,-12.955205433931367,0.0,0.0,0.0,0.0,0.0,0.0
2,-9.716404075448525,0.0,0.0,0.0,0.0,0.0,0.0
3,-6.477602716965683,0.0,0.0,0.0,0.0,0.0,0.0
4,-3.2388013584828417,0.0,0.0,0.0,0.0,0.0,0.0
5,0.0,1.4333767468055896,0.3517642253745617,1.7122796893409316,0.69903199690239,0.2890201625757093,0.6651758878549616
6,3.2388013584828417,0.9036854517934457,0.3963380618425246,1.3413162134218182,0.5481502340807489,0.35431941345234297,0.7026377167039364
7,6.477602716965683,0.26243795980147133,0.2299669270003188,0.4641611964702205,0.1853919532542504,0.2350773031558814,0.3536031162086129
8,9.716404075448525,0.19261501636805234,0.263468281797896,0.5052778378898267,0.32824809039388925,0.26261655243863563,0.34903460049532326
9,12.955205433931367,0.27848921116547565,0.41450828817341406,0.5591863233066436,0.3804146573269034,0.39151159547338216,0.19370506624347786
10,16.19400679241421,0.3659685310992995,0.5002490436722983,0.24395873908966315,0.3306557780984899,0.30775820847943897,0.24121762966168941
11,19.43280815089705,0.5730296736949557,0.5053594198278609,0.4221308519079565,0.6412474919919743,0.269146477526299,0.373704585347087
12,22.67160950937989,0.40689922207751056,0.6609419827861013,0.5317752290269062,0.5152451687845401,0.4093979120178514,0.3490346004953233
13,25.910410867862733,0.39967615896370856,0.49485475773031556,0.42121714876529853,0.5513604843535499,0.4829305467006693,0.39289235134290323
14,29.149212226345576,0.2536097715512689,0.6490177717564551,0.35634422563658663,0.37399415678130166,0.5442550605674211,0.34994830363798124
15,32.38801358482842,0.434186349396318,0.7347585272553394,0.14162398711197677,0.47832729064733,0.4650442301562002,0.405684195340114
16,35.62681494331126,0.3892428455771058,0.6220463420465412,0.22294356680853114,0.4518427258967229,0.4306911459993624,0.513501166173748
17,38.8656163017941,0.40047872153190883,0.7929600334714695,0.2302531919497945,0.45023760076032243,0.5309113006056743,0.3883238356296136
18,42.104417660276944,0.4638811644197261,0.6751374721071087,0.43492269590516724,0.5208631067619415,0.6385131096589097,0.6469018250018035
19,45.34321901875978,0.7608293146538068,0.6700270959515459,0.45411046190098353,0.6950191840613887,0.6899007810009565,0.6204044338647239
20,48.58202037724263,0.6123552395367665,0.749521836149187,0.4842626656086946,0.6669294941743813,0.7208469477207522,0.546394479309433
21,51.82082173572547,0.46548628955612653,0.6836547656997132,0.45867897761427306,0.7536062515400048,0.821067102327064,0.4577652744716152
22,55.05962309420831,0.5674117357175542,0.6118255897354159,0.38010050734569245,0.445422225351121,0.8338430427159707,0.43400899276250937
23,58.29842445269115,0.5682142982857544,0.7168722107108703,0.39015124191492945,0.562596360308353,0.9462713181383487,0.47512563418211545
24,61.537225811174,0.9349853919532539,0.6385131096589098,0.5171559787443796,0.6019219261501636,0.890625,0.5427396667388013
25,64.77602716965684,0.5056144179661375,0.6291440867070449,0.6642621847123039,0.7913266922454151,0.9763657554988843,0.5381711510255117
26,68.01482852813967,0.5224682318983419,0.7370298055467006,0.5308615258842483,0.8089830687458198,1.0924848581447242,0.44771453990237814
27,71.25362988662252,0.4333837868281178,0.6481660423971947,0.3554305224939287,0.8137984441550212,1.0019176362766973,0.6277140590059872
28,74.49243124510537,0.6268013657643704,0.5837185208798213,0.3938060544855611,0.6629166813333802,0.9684162814791202,0.5527904013080382
29,77.7312326035882,0.5184554190573409,0.5831507013069811,0.36091274134987616,0.6059347389911647,1.1092355355435128,0.6569525595710405
30,80.97003396207104,0.6829807455383856,0.5928036340452661,0.437663805333141,0.6259988031961702,1.0825480156200191,0.4879174781793263
31,84.20883532055389,0.45184272589672286,0.536589496334077,0.5500492918800646,0.6292090534689709,1.198383208479439,0.6222318401500397
32,87.44763667903673,0.5609912351719525,0.5198388189352885,0.42304455505061445,0.7624344397902072,1.1455759882052916,0.4714708216114839
33,90.68643803751957,0.5866732373543595,0.5681034826267134,0.384669023058982,0.7776831285860114,1.1685726809053236,0.5518766981653803
34,93.92523939600241,0.5963039881727621,0.4710063356710232,0.49431340017793174,0.6998345594705903,1.2318845632770161,1.0909615523335496
35,97.16404075448526,0.5642014854447535,0.49201565986611406,0.35543052249392876,0.8154035692914215,1.2614111810647113,0.6861910601360938
36,100.4028421129681,0.7696575029040091,0.4400601689512273,0.5180696818870375,0.6396423668555739,0.9914129741791519,0.6532977470004089
37,103.64164347145093,0.40609665950931034,0.4834983662735098,0.5153285724590637,0.6276039283325706,0.9369022951864839,0.566495948447907
38,106.88044482993378,0.5617937977401526,0.5039398708957603,0.5272067133136167,0.5577809848991517,0.9740944772075231,0.49157229074995795
39,110.11924618841662,0.6845858706747862,0.4616373127191584,0.4979682127485634,0.40368897180470975,1.0246304191903093,0.4257856644785881
40,113.35804754689946,0.6075398641275651,0.480091448836468,0.3700497727764554,0.7407652504488014,1.140749521836149,0.46142008704224685
41,116.5968489053823,0.5882783624907599,0.4536878386993943,0.5966481521556181,0.747185750994403,1.003621094995218,0.4678160090408522
42,119.83565026386515,0.6348269914463726,0.39349896397832324,0.4440597273317465,0.613960364673167,0.9462713181383489,0.598475558440934
43,123.074451622348,0.44060684994191973,0.36794708320051,0.38284161677366624,0.8587419479742334,1.0169648549569652,0.5509629950227224
44,126.31325298083082,0.519257981625541,0.489744381574753,0.373704585347087,0.7479883135626034,0.983747409945808,0.7199980764144366
45,129.55205433931368,0.5152451687845401,0.42983941664010195,0.46142008704224674,0.8338625083600266,0.9826117708001273,0.6935006852773572
46,132.7908556977965,0.688598683515787,0.3821425725215174,0.3124864747890067,0.7271216867893977,1.0354189910742748,0.6231455432926978
47,136.02965705627935,0.3852300327361047,0.3642562559770481,0.33441535021279667,0.4999964799887359,0.9493943257889702,0.802231359253649
48,139.2684584147622,0.5441374212397478,0.3378526458399745,0.3024357402197697,0.7158858108345947,0.9420126713420465,0.4641611964702205
49,142.50725977324504,0.4927734168749339,0.34154347306343635,0.3006083339344539,0.7455806258580027,0.8318556742110297,0.6606073721416722
50,145.74606113172788,0.44301453764652043,0.3486412177239401,0.3837553199163241,0.9462212679080574,0.8250418393369461,0.8278150472480705
51,148.98486249021073,0.6211834277869689,0.3352974577621931,0.35086200678063917,0.66211411876518,0.7586069493146317,0.5162422756017218
52,152.22366384869358,0.5425322961033474,0.2345094835830411,0.5363437447401957,0.6821781829701854,0.762865596110934,0.5098463536031163
53,155.4624652071764,0.5938963004681614,0.3645401657634682,0.6021303710115655,0.8386778837692279,0.8565558256295822,0.6185770275794081
54,158.70126656565924,0.5361117955577458,0.2833419668473063,0.6551251532857246,0.7833010665634128,0.8375338699394326,0.49065858760729997
55,161.94006792414208,0.36917878137210036,0.29583399744979283,0.68344995070812,0.824231757541624,0.8363982307937518,0.7739065618312536
56,165.17886928262493,0.4823401034883311,0.2995248246732547,0.6331962778619347,0.7367524376078002,0.8352625916480715,0.608526293010171
57,168.41767064110778,0.44943503819212216,0.3580102406758049,0.3536031162086129,0.7295293744939982,0.8142532674529804,0.844261703815913
58,171.65647199959062,0.3755992819177021,0.34154347306343635,0.3992882733415087,0.4670914146925269,0.7940956726171502,0.8269013441054126
59,174.89527335807347,0.30818402618888374,0.36170106789926676,0.5482218855947486,0.5914886127635607,0.8593949234937838,0.8369520786746495
60,178.13407471655628,0.29293533739307964,0.2958339974497928,0.4340089927625094,0.6597064310605794,0.900277932738285,0.8360383755319918
61,181.37287607503913,0.35633778028089685,0.3739091887153331,0.32070980307292796,0.9285648914076525,0.8196475533949634,0.8342109692466759
62,184.61167743352198,0.5449399838079481,0.3037834714695569,0.3709634759191132,0.6869935583793867,0.7654207841887153,0.7556324989780953
63,187.85047879200482,0.29454046252947996,0.31258467484858143,0.38192791363100825,0.7054524974479918,0.6634971708638825,0.5509629950227224
64,191.08928015048767,0.35954803055369766,0.3594297896079056,0.37096347591911333,0.603527051286564,0.6328349139305067,0.5546178075933541
65,194.3280815089705,0.3234327149846879,0.3071903889065987,0.3124864747890067,0.5521630469217501,0.7265251434491552,0.7236528889850683
66,197.56688286745336,0.41813509803231375,0.3276318935288492,0.5217244944576692,0.6251962406279699,0.6175037854638189,0.7638558272620165
67,200.8056842259362,0.40689922207751056,0.23791640102008288,0.4623337901849047,0.80898306874582,0.772802438635639,0.7967491403977014
68,204.04448558441902,0.38041465732690344,0.2702821166719796,0.45959268075693094,0.5842655496497587,0.6830869461268728,0.577460386159802
69,207.28328694290187,0.3097891513252842,0.24416241632132615,0.36274014763519197,0.7110704354253933,0.5368734061204972,0.7382721392675948
