cellID,radius,nematic_correlation,n_neighbors
189,0.8538853376497628,0.9991170654689823,1
193,0.8538853376497628,0.9991170654689823,1
230,0.8538853376497628,0.9921257726562648,1
231,0.8538853376497628,0.9921257726562648,1
12,0.9786843778354023,0.9997545329745721,1
16,0.9786843778354023,0.9997545329745721,1
142,0.9786843778354023,0.9856932535976238,1
146,0.9786843778354023,0.9856932535976238,1
158,0.9786843778354023,0.9999258684396465,1
167,0.9786843778354023,0.9999258684396465,1
189,0.9786843778354023,0.9991170654689823,1
193,0.9786843778354023,0.9991170654689823,1
230,0.9786843778354023,0.9921257726562648,1
231,0.9786843778354023,0.9921257726562648,1
362,0.9786843778354023,0.9902139428190874,1
363,0.9786843778354023,0.9902139428190874,1
450,0.9786843778354023,0.9709280802186891,1
455,0.9786843778354023,0.9709280802186891,1
12,1.1217233382357688,0.9997545329745721,1
16,1.1217233382357688,0.9997545329745721,1
95,1.1217233382357688,0.9360554520218048,1
101,1.1217233382357688,0.9360554520218048,1
142,1.1217233382357688,0.9856932535976238,1
146,1.1217233382357688,0.9856932535976238,1
158,1.1217233382357688,0.9999258684396465,1
167,1.1217233382357688,0.9999258684396465,1
189,1.1217233382357688,0.9991170654689823,1
193,1.1217233382357688,0.9991170654689823,1
199,1.1217233382357688,0.8649472015808648,1
204,1.1217233382357688,0.8649472015808648,1
227,1.1217233382357688,0.45164751663634906,1
230,1.1217233382357688,0.9921257726562648,1
231,1.1217233382357688,0.9921257726562648,1
236,1.1217233382357688,0.45164751663634906,1
247,1.1217233382357688,0.9988802183574202,1
257,1.1217233382357688,0.9988802183574202,1
331,1.1217233382357688,0.6915782955412113,1
332,1.1217233382357688,0.6915782955412113,1
362,1.1217233382357688,0.9902139428190874,1
363,1.1217233382357688,0.9902139428190874,1
424,1.1217233382357688,0.836025439849405,1
427,1.1217233382357688,0.836025439849405,1
447,1.1217233382357688,0.9230769230769231,1
450,1.1217233382357688,0.9709280802186891,1
455,1.1217233382357688,0.9470025016478061,2
469,1.1217233382357688,0.8844496389216815,1
476,1.1217233382357688,0.8844496389216815,1
44,1.2856680621854324,0.9883612420334609,2
46,1.2856680621854324,0.9796573398517021,1
47,1.2856680621854324,0.9970651442152196,1
95,1.2856680621854324,0.9360554520218048,1
101,1.2856680621854324,0.9360554520218048,1
130,1.2856680621854324,0.7697317186036279,1
132,1.2856680621854324,0.7494061970128832,2
133,1.2856680621854324,0.7290806754221386,1
169,1.2856680621854324,0.8486113935546108,1
174,1.2856680621854324,0.8486113935546108,1
199,1.2856680621854324,0.8649472015808648,1
204,1.2856680621854324,0.8649472015808648,1
209,1.2856680621854324,0.9952981004325747,1
212,1.2856680621854324,0.9952981004325747,1
224,1.2856680621854324,0.7442330319274634,1
227,1.2856680621854324,0.45164751663634906,1
235,1.2856680621854324,0.7442330319274634,1
236,1.2856680621854324,0.45164751663634906,1
247,1.2856680621854324,0.9988802183574202,1
252,1.2856680621854324,0.8306308087645152,1
254,1.2856680621854324,0.8306308087645152,1
257,1.2856680621854324,0.9988802183574202,1
275,1.2856680621854324,0.9965015332786248,1
279,1.2856680621854324,0.9965015332786248,1
304,1.2856680621854324,0.9888525522536612,1
311,1.2856680621854324,0.9888525522536612,1
331,1.2856680621854324,0.6915782955412113,1
332,1.2856680621854324,0.6915782955412113,1
336,1.2856680621854324,0.42352941176470627,1
347,1.2856680621854324,0.42352941176470627,1
