WT,pilH,pilG
0.5413343482572067,0.13812410893081833,0.043943119724004304
0.5979394514638934,0.09582920545263704,0.40637271545312653
0.14518117706675834,0.5064956549517764,0.23096458738651285
0.40246444267671533,0.21804713406878246,0.09267706221499342
0.32734930595709066,0.2315956810975552,0.3647723778684163
0.1293329362368599,0.7776212639947344,0.21563072077294423
0.20159766219092093,0.46592780183796667,0.5967155901196597
0.5269713416609033,0.11900621550796404,0.06986719044145376
0.4130904487361133,0.8393274964539577,0.31903532688552766
0.5553898890269203,0.8486875925022757,0.0982198275070236
0.2679012832290536,0.02012941016890443,0.41820229123403935
0.24272330702790532,0.30758381778185573,0.11301313503094043
0.5993897729667452,0.6153077642588336,0.04968833584685087
0.8770202566640066,0.3558225027267775,0.21715097654991936
0.31897387261138394,0.5846515873041518,0.18843156134627206
0.42182411035412243,0.6404650738682564,0.22186123166121346
0.6847603033783325,0.3450099148018126,0.12369367670511033
0.6338977274544079,0.4658156713783309,0.03549844189563715
0.24808052786288592,0.16454017562970782,0.21525744271589972
0.7886568983474466,0.2059971490224253,0.27764425472783943
0.4917132015099681,0.7703084597439737,0.027657299063187785
0.6448133405573452,0.4111854153492648,0.26340358254498897
0.4843546127389781,0.7278277841041181,0.17512811956671745
0.9255019241042981,0.4257584413396578,0.15360542382690104
0.26897157103150676,0.5962563043469595,0.10860264819325302
0.1930059927602983,0.7757692114027785,0.09504724130306828
0.07604241552478504,0.3678562067096233,0.21032747127220386
0.17059127458812962,0.14629474115541785,0.15096650733194994
0.8823124201437099,0.9558833039663185,0.06517936142270309
0.23118915038307547,0.5473842566855969,0.34093465996756595
0.260245696122314,0.09782682261959681,0.13959398455156533
0.8667322539363662,0.7337454558502428,0.1898269221813775
0.5798270733301175,0.44632818907463795,0.24607001683696642
0.5010588257163918,0.28353279863621156,0.3018812640885713
0.31199536784800413,0.7435061395151115,0.16476366383771987
0.39812336942013427,0.6121676291147221,0.13235290321915452
0.17197779546198455,0.32887608222764003,0.18357134375213868
0.17846626275079394,0.0284959562558503,0.730933538099583
0.5289294457596783,0.8266110079656221,0.3522056563260185
0.6843075149890652,0.7645313698663037,0.09321216003627969
0.934256353969578,0.8111424142051766,0.2175006842007677
0.5381757441454411,0.4502293205583034,0.13323995605555822
0.8637639960926894,0.5786089819181868,0.2916774612959283
0.5556016610618585,0.681589896513429,0.1417477264796489
0.46025496800387133,0.7219021373562883,0.4065306208321432
0.17030723307355566,0.8280977197312506,0.38218420443587814
0.4837096602839064,0.18149078071337896,0.3671848446702842
0.3515524512197527,0.4229119523342048,0.09716407248415442
0.26445049998607395,0.8628753629826692,0.023622825045090213
0.40748543478127236,0.6802143170811464,0.2150841373511635
0.8138913212646954,0.37029256639919744,0.12477283707665858
0.5578560652146505,0.15836666432399904,0.36882790308853414
0.12813507127673393,0.2968157007739376,0.12453491010240261
0.48222629516713855,0.3481649780319132,0.16952554447796597
0.8991612298968622,0.4327546390760008,0.141775241294659
0.7181702561176238,0.5353091424591496,0.23249849422574617
0.550714778664427,0.22076693318667703,0.5004957075613319
0.8942279928827589,0.21051434969738342,0.02563610434173662
0.6196022276364545,0.33367064176306943,0.17258341414180914
0.5297611444657662,0.22313912674113412,0.15123549564312966
0.5231283519054566,0.5051495873790284,0.053194654861157584
0.5985423006037002,0.2533368347740034,0.2381237287131644
0.2777914964244625,0.18978215876655727,0.4325348856890139
0.9562697084319708,0.4678466126783423,0.15448611766574302
0.2933291016965831,0.12063530930866136,0.28092025451439456
0.5702574390227615,0.41202087526591447,0.2211976584790387
0.6112802053832949,0.42729976054372804,0.1555879188636959
0.3854936289644843,0.3874432337472807,0.13236336722526115
0.8076037309170052,0.36709593947176555,0.8090097374645626
0.687369367629013,0.35875455608072004,0.5125853647695114
0.8971707598090749,0.44235477637243925,0.19173348752293637
0.4749460190925397,0.24730932584434484,0.3433474959358643
0.3394346051606925,0.17886467452326574,0.11156708775211702
0.9089056697649902,0.10995258639525789,0.5844501097190747
0.3522745432278875,0.41782965054215676,0.6246517685508906
0.28916869086601743,0.1590186520194253,0.32862433696131843
0.8493091456223277,0.41234046270484503,0.6969826111258135
0.2795958655771031,0.022684466323794686,0.7244655904167886
0.634271448539042,0.16720842023881663,0.7666615427615725
0.8622314807638128,0.4988448177632688,0.6418806810877512
0.8159507796615364,0.46970784912591507,0.4606330744540278
0.2118553904504427,0.6898575863020111,0.9732414199549696
0.8746619209398883,0.13668032738517177,0.5321962406850063
0.48670965408983824,0.7352342184971038,0.030955277390898758
0.7475188491518091,0.42404810278401095,0.1447071526200239
0.5291154666778012,0.5041055028646435,0.25415212949993493
0.29662776503587207,0.07778218621203029,0.3547850478752661
0.5424224166729875,0.17816929983104077,0.11525119237982231
0.17644325939457228,0.06321162032758286,0.3481649780319132
0.08805141185941671,0.4136667875806915,0.4327546390760008
0.731924220801163,0.03393156505947791,0.5353091424591496
0.14247157353396459,0.29288614235358684,0.22076693318667703
0.43128397529356804,0.4010803039496083,0.21051434969738342
0.40407998272649737,0.4329324487015537,0.33367064176306943
0.7802276206743729,0.08033386986690352,0.22313912674113412
0.5074962518873968,0.4519337111303937,0.5051495873790284
0.7108719039293228,0.6323910620016541,0.2533368347740034
0.4412281257130689,0.3784298034259643,0.18978215876655727
0.7127207247592678,0.027841732308425203,0.4678466126783423
0.12467606966038744,0.18994464880655199,0.12063530930866136
0.9252046771424056,0.6742929045263096,0.41202087526591447
0.5812831880625983,0.1934770534929627,0.42729976054372804
0.6655853173584192,0.17822627894891735,0.3874432337472807
0.4315642635385234,0.637169592429971,0.36709593947176555
0.815866979538794,0.12765424349117155,0.35875455608072004
0.4850073806694511,0.6940225493045289,0.44235477637243925
0.357240473936514,0.6281172831097778,0.24730932584434484
0.21398478407108537,0.7721103890861695,0.17886467452326574
0.5608493725369312,0.15605963265369172,0.10995258639525789
0.940106587051931,0.4932301205768726,0.41782965054215676
0.2876016767362575,0.7879291023396021,0.1590186520194253
0.27635674333256083,0.5484826420232594,0.41234046270484503
0.4756160291316519,0.6447542892599555,0.022684466323794686
0.4443423918110819,0.12674177517639668,0.16720842023881663
0.9724602159698996,0.5878162510297343,0.4988448177632688
0.9653475910072753,0.24745590124258016,0.46970784912591507
0.13551296188349599,0.1548909853245626,0.6898575863020111
0.7201801119571445,0.13483316145835553,0.13668032738517177
0.7702252562769579,0.33609437555087535,0.7352342184971038
0.7744749049989954,0.34423517848134866,0.42404810278401095
0.719908302038224,0.8241808512091316,0.5041055028646435
0.421059850347341,0.28817889084496495,0.07778218621203029
0.28976160178242405,0.9571449283170375,0.17816929983104077
0.16339536332099985,0.16366484511153126,0.06321162032758286
0.49327017560272457,0.5534825191360335,0.4136667875806915
0.7124077810406373,0.2891185026821268,0.03393156505947791
0.7177403396821591,0.0897728449498076,0.29288614235358684
0.25829793721629773,0.702439660317895,0.4010803039496083
0.14829874051099998,0.7000170676418038,0.4329324487015537
0.3407175835617863,0.20689716197295363,0.08033386986690352
0.7699193146918445,0.1699665542201553,0.4519337111303937
0.4646750812373204,0.23107805465028794,0.6323910620016541
0.23325711352081,0.3635642969705431,0.3784298034259643
0.45884143165878927,0.22834204688215262,0.027841732308425203
0.6928747189569774,0.8654898348904463,0.18994464880655199
0.5062123841905045,0.27880033566844886,0.6742929045263096
0.37958006544453554,0.4757638974922657,0.1934770534929627
0.1537023239143174,0.3672097622318071,0.17822627894891735
0.03750121992489777,0.1923019518580547,0.17176237233506175
0.6631185005827386,0.1800190504741238,0.2096680983515496
0.6773050594532116,0.014344203920633233,0.09419984166024747
0.6938565093822441,0.16025257248938388,0.44452260503143987
0.46250500419927154,0.40045536840437324,0.335821814231478
0.6859752557827763,0.7129642785000739,0.09038535400342285
0.8981998895771814,0.4201417420346838,0.2265612245637583
0.15213245920988705,0.2450643483121752,0.1793723961480466
0.4780139824711708,0.04885273671893417,0.14477691746692142
0.12071425003235953,0.25010265824806793,0.21286783357362457
0.2729474915489915,0.3360390101076735,0.22160362803604944
0.31062143700421524,0.7509133482393384,0.15160775582890015
0.6538707383979229,0.7174576163178079,0.1236407121990006
0.3735646518727757,0.9589928065026185,0.024531793863011065
0.31547287541850166,0.7158552078822615,0.3991749137822316
0.5735145893384802,0.7556749234039483,0.16825164586731753
0.4809228073501367,0.49512099043089436,0.14718533645266263
0.9252947755750087,0.3373361545637934,
0.5635073355901611,0.01536472983521996,
0.26438030712246824,0.4701518914286038,
0.4438386312941752,0.8252881737841371,
0.44156998342874487,0.6866517606556102,
0.2748443250628787,0.7849703728643279,
0.28569009101005893,0.6275230057827891,
0.708674095291364,0.47971271355169387,
0.641034050583164,0.267757815505841,
0.17972288063869798,0.44536672721958714,
0.5983087331812621,0.4911970725002337,
0.4605321750616246,0.3732700619358606,
0.6685980895462867,0.9149595472041102,
0.6761304056980932,0.17798032328210792,
0.7043330253334454,0.1686838625186513,
0.24521285915121144,0.372394090547699,
0.06828562765719828,0.5462720395185603,
0.6146757544725641,0.1174285037435259,
0.17243340952148922,0.26231343475109653,
0.07700770420981311,0.46757417981132976,
0.2821970802092523,0.30484781587015436,
0.34278386380521486,0.733866571982053,
0.2975870345606156,0.3600112695338294,
0.058730590733900974,0.3989431757469754,
0.05229189846548512,0.12096026966445955,
0.7663361264354371,0.32660803843619396,
0.03677808330694234,0.7011428755758622,
0.3049338620666981,0.22122703541002353,
0.9122774817085211,0.6318748777742876,
0.8346866478157948,0.6804819827058711,
0.5113838248652116,0.2002427380882559,
0.9451037605693138,0.15702693981696902,
0.930816589820268,0.2962162914226818,
0.8994923199790846,0.5755693717588106,
0.1531147263060656,0.19684792299283355,
0.014712663483301245,0.12152907453846311,
0.6335846260832285,0.6569644550716646,
,0.18761476639303654,
,0.7332524630700696,
,0.7548756567579863,
