WT,pilH,pilG
0.4828987507987656,0.6350833110398105,0.1469821748129459
0.14046133805614916,0.6378772999956959,0.1492068547464008
0.40656481098300506,0.7696845177039866,0.11821260157682936
0.13015338889079392,0.3686416986846272,0.07764800054649337
0.1846414650137335,0.5720152384159843,0.45630497796137276
0.16122281884917322,0.545431811843177,0.10652110023324064
0.11095049554215326,0.29578921739644604,0.07854727464669947
0.4490993811971718,0.7525238297731937,0.013309357789148447
0.2938830118791282,0.26062809837961703,0.1478301865141666
0.23585696588407587,0.10770320035708311,0.23876673683796407
0.3457226849851656,0.7539602403293028,0.05534004150351116
0.25404025839554156,0.5733680024144516,0.015258912402150056
0.27538130740839195,0.6675472003028086,0.15993800167949032
0.07108784532329956,0.23165409994078232,0.006825843411975366
0.2936147955550566,0.7487069448444095,0.3529778371909421
0.8013300010918608,0.19266244117687065,0.01321439818144681
0.0782137629769263,0.4524897275297026,0.013553485167935326
0.10008407568682355,0.6582425368354362,0.1982447544219954
0.5737227591737085,0.6377859982816114,0.008872756174532287
0.1635139624628206,0.2249630815357717,0.08751701634848286
0.21235663459296192,0.11112661432376746,0.11734616371792699
0.2613633833316004,0.4622545320987953,0.07391957410922152
0.14744603022918534,0.6664591174479866,0.042385955221001935
0.22628512977279996,0.4677362876608626,0.14883842050876445
0.22584422170796575,0.6013243439845035,0.05166995491768638
0.13542228371502735,0.1577929084626299,0.2316741552437399
0.07806906627417877,0.14910779587208808,0.03636720967180813
0.16178392417483584,0.6053376918852593,0.020812398146042972
0.9224101526369537,0.6065440116865453,0.06453435188747353
0.635396249269408,0.7510640318969064,0.34397662353264735
0.5427644225757438,0.6961663601116853,0.10412041074389765
0.19161458783917393,0.4577221729971249,0.24982223376858384
0.11441123601911175,0.8907969506333818,0.3615093471419102
0.25063024766114095,0.9826587215974505,0.20079477378493954
0.14590449129983443,0.5077389555145146,0.13386529892515014
0.13546943137257828,0.79481112935813,0.1233226459567944
0.3675799076524995,0.23001205458070761,0.03640044032215396
0.31690219428279365,0.41946529772098434,0.34259421204622154
0.015341723997476221,0.08520626420254336,0.4709908418817169
0.11644369212024284,0.6233470357107659,0.23915728325734312
0.2374284777633213,0.11243547133139935,0.035271655352737886
0.13130364597521957,0.11869185247910352,0.22881940921302546
0.14925017615859268,0.09322293738202955,0.2993013263561265
0.21406286177532452,0.8991063835447018,0.16643653841287293
0.16490643314186665,0.560246903154277,0.20071405391668515
0.03303468282967477,0.5838789646515427,0.33282572325973925
0.1641620320615753,0.19346534496111134,0.013240836825055894
0.27696610659555143,0.31359271070424155,0.13587393163789444
0.44271945853455363,0.6834802961352258,0.018313377143190257
0.48365543953851287,0.20295369354996065,0.31261473582640137
0.216326511068987,0.8750646681467105,0.740104551815531
0.1751233402474492,0.6318522236849112,0.12445037820774939
0.2104931205759877,0.4480395905617837,0.0496303236294465
0.40689448812729584,0.591256033835321,0.030885640974338165
0.36757252692703307,0.5097959541728813,0.7737221007266428
0.1741914888997488,0.7896514576812974,0.12287326718279264
0.16160816663552613,0.3699516592171599,0.17063985087434663
0.36716261233951103,0.7503668737544653,0.26582192077826644
0.24246545111338544,0.665208767477385,0.013953718945329928
