IDENTIFIER,TRACK_ID,TRACK_FRAME_LENGTH,TOTAL_DISPLACEMENT_PIX,TOTAL_DISPLACEMENT_MIC,END_TO_END_DISTANCE_PIX,END_TO_END_DISTANCE_MIC,PERSISTENCE,SINUOSITY,MAX_DISTANCE_PIX,MAX_DISTANCE_MIC,MEAN_DIRECTIONAL_CHANGE_RAD,MEAN_DIRECTIONAL_CHANGE_DEG,SPEED_PIX_FR,SPEED_MIC_SEC,AVERAGE_ANGULAR_VELOCITY_RAD_FR,AVERAGE_ANGULAR_VELOCITY_DEG_SEC
241004_459+2624_0p5pagarose_2xTrpNC_OD0p5_5s_mix10pc_1h_3-CH1_spots.csv,0,60,28.387101335930726,1.8451615868354974,1.2474177926222465,0.08108215652044602,0.043943119724004304,22.756691065194023,6.657970009178696,0.4327680505966152,1.058758223574388,60.662377735580854,0.48113731077848687,0.0062547850401203295,-0.035609687440951214,-0.4080569600293035
241004_459+2624_0p5pagarose_2xTrpNC_OD0p5_5s_mix10pc_1h_3-CH1_spots.csv,1,60,1.0046294091257253,0.06530091159317214,0.408253981010491,0.026536508765681914,0.40637271545312653,2.4607951320869277,0.408253981010491,0.026536508765681914,1.6837345710891087,96.47088474367581,0.017027617103825853,0.0002213590223497361,0.02963979703408448,0.33964705513548316
241004_459+2624_0p5pagarose_2xTrpNC_OD0p5_5s_mix10pc_1h_3-CH1_spots.csv,2,60,35.14808991619502,2.2846258445526764,8.117964084918036,0.5276676655196724,0.23096458738651285,4.3296680729956565,9.650126097587199,0.6272581963431679,1.1475741396182788,65.75115487848406,0.5957303375626273,0.0077444943883141545,0.004914611294293418,0.05631729702206796
241004_459+2624_0p5pagarose_2xTrpNC_OD0p5_5s_mix10pc_1h_3-CH1_spots.csv,3,60,12.280667715684553,0.7982434015194959,1.1381362059281583,0.07397885338533029,0.09267706221499342,10.790156443243609,3.074585903102747,0.19984808370167856,1.0470882586189345,59.993737996567795,0.2081469104353314,0.002705909835659308,-0.03678922350522471,-0.42157344768257216
241004_459+2624_0p5pagarose_2xTrpNC_OD0p5_5s_mix10pc_1h_3-CH1_spots.csv,4,60,31.904189768853406,2.0737723349754713,11.637767165949857,0.7564548657867407,0.3647723778684163,2.741435647741749,12.395749308105147,0.8057237050268345,1.1415579409327636,65.40645208509189,0.5407489791331086,0.007029736728730413,0.004546427896609883,0.0520982260672573
241004_459+2624_0p5pagarose_2xTrpNC_OD0p5_5s_mix10pc_1h_3-CH1_spots.csv,5,60,25.52488787727722,1.6591177120230194,5.503949970625873,0.3577567480906818,0.21563072077294423,4.637558119805129,7.222777508919404,0.4694805380797613,1.321156389479566,75.69668519392113,0.4326252182589359,0.005624127837366167,-0.006884803996069088,-0.07889404234991251
241004_459+2624_0p5pagarose_2xTrpNC_OD0p5_5s_mix10pc_1h_3-CH1_spots.csv,6,60,24.39446972070299,1.5856405318456943,14.556560395045453,0.9461764256779545,0.5967155901196597,1.6758402437574482,14.715358060253866,0.9564982739165013,1.0747334004629223,61.5776879482688,0.41346558848649134,0.005375052650324388,-0.008637291789559553,-0.09897607319295208
241004_459+2624_0p5pagarose_2xTrpNC_OD0p5_5s_mix10pc_1h_3-CH1_spots.csv,7,58,65.53681246349299,4.259892810127044,4.578872957312705,0.29762674222532587,0.06986719044145376,14.312869798850215,12.511518265864574,0.8132486872811973,1.6464952034213416,94.33722614457682,1.1497686397104034,0.014946992316235244,-0.023629430712749717,-0.2707733304274727
241004_459+2624_0p5pagarose_2xTrpNC_OD0p5_5s_mix10pc_1h_3-CH1_spots.csv,8,60,29.257416326797976,1.9017320612418684,9.334149381645966,0.6067197098069879,0.31903532688552766,3.1344491212373096,9.718164479048047,0.6316806911381231,1.0929736003858743,62.622774421328806,0.49588841231860975,0.006446549360141928,0.04181791061181116,0.47919795722242353
241004_459+2624_0p5pagarose_2xTrpNC_OD0p5_5s_mix10pc_1h_3-CH1_spots.csv,9,60,29.92029983741753,1.9448194894321396,2.9387666889895763,0.19101983478432247,0.0982198275070236,10.181243699786492,6.781667072740611,0.44080835972813975,1.2232302357946594,70.08592988382651,0.5071237260579242,0.0065926084387530155,-0.019620965440658347,-0.22483970194435376
