SPOT_ID,TRACK_ID,PREV_TRACK_ID,POSITION_X,POSITION_Y,FRAME,ELLIPSE_MAJOR,ELLIPSE_MINOR,ELLIPSE_THETA,ELLIPSE_ASPECTRATIO,AREA,ANGLE,ANGULAR_VELOCITY,TOTAL_DISPLACEMENT_VECTOR,TOTAL_DISPLACEMENT,FRAME_GAP,STEP_SPEED,MSD_LAG_TIME,MSD,CLASS,SPOT_LABEL,NEIGHBOUR,NEIGHBOUR_UNCERTAIN,CONTACT,UPDATE_NEIGHBOUR,CONTACT_ANGLE (deg),DISP_RELATIVE_ANGLE (deg),REVERSAL
65578,0,,17.590098970146403,105.40651232120112,0,1.470993270902942,0.4741076145230791,1.9954755464113405,3.1026569197431337,2.1082751054137536,,,"[0.0, 0.0]",0.0,0,0.0,0,0.0,moving,4919,[4882],[4882],1.0,[4882],[45.0],,0
74126,0,,18.04320220546521,104.17002453407147,1,1.4878217166317165,0.4814983538947066,2.0395891686311076,3.0899829762597095,2.0871501043575007,,,"[0.4531032353188067, -1.2364877871296471]",1.3168920189511142,1,1.3168920189511142,1,1.9386937601619951,moving,4857,[],[],0.0,[],,,0
64363,0,,18.205121862462327,102.98799315943978,2,1.422947785278504,0.4948450463773463,1.9312741102657225,2.8755421433347617,2.131512606575627,0.2151113640760021,,"[0.1619196569971173, -1.1820313746317055]",1.1930700507245091,1,1.1930700507245091,2,5.1164214245948925,moving,4767,[4733],[],1.0,[4733],[106.87411754709946],55.17496006608634,0
65721,0,,19.457615202927517,102.34912825522522,3,1.4693454567557018,0.5035589145108658,2.73229693234256,2.9179216461354023,2.1484126074206245,0.9629847178095964,0.7478733537335942,"[1.2524933404651897, -0.6388649042145573]",1.406018468494182,1,1.406018468494182,3,9.500344286858246,moving,4762,[4710],[4710],1.0,[4710],[146.2437626053737],5.075373514973707,0
65473,0,,20.80518645657649,101.5037871894032,4,1.4917090328943086,0.4628409913105517,2.545431367547479,3.222940623021479,2.0829251041462564,0.0885819786048026,-0.8744027392047936,"[1.3475712536489688, -0.8453410658220122]",1.5907701912049237,1,1.5907701912049237,4,15.439239101713154,moving,4706,[],[],0.0,[],,105.34030289612264,0
65286,0,,20.485367895645982,101.21011738850828,5,1.481055343163575,0.4802359653470386,2.3442001722835872,3.0840158797629873,2.1610876080543777,1.8385351205854348,1.7499531419806322,"[-0.31981856093050354, -0.2936698008949321]",0.4341956516057332,1,0.4341956516057332,5,16.929198497004123,moving,4710,[4805],[4805],1.0,[4805],[39.22434509892554],,0
71861,0,,20.654465657976537,103.14660497519394,6,1.104244034652057,0.5284738480753676,-0.0707164960011694,2.08949608135496,1.6160625808031095,2.400698156010016,0.5621630354245815,"[0.16909776233055496, 1.936487586685658]",1.9438565344728616,1,1.9438565344728616,6,14.497524410020317,moving,4878,[],[],0.0,[],,,0
17948,2,,32.49399270424339,28.777749368093723,0,1.440876006862707,0.4384695446990241,1.3799563742411247,3.286148432160227,1.9540625977031305,,,"[0.0, 0.0]",0.0,0,0.0,0,0.0,moving,1273,[1182],[],1.0,[1182],[29.19748604606447],,0
15968,2,,31.34291872966688,26.708292206431825,1,1.3475009574603736,0.5263376001918568,1.5876183867791165,2.5601457258025877,2.0639126031956287,,,"[-1.1510739745765086, -2.069457161661898]",2.3680422797959246,1,2.3680422797959246,1,2.277751495547598,moving,1180,[1172],[1172],1.0,[1172],[54.36844608310582],,0
16229,2,,30.77236069838689,26.421924419413195,2,1.345674344495983,0.4861423659365697,1.2472874155020963,2.768066391217511,1.9857500992875057,0.5980169917089222,,"[-0.5705580312799903, -0.2863677870186301]",0.6383909276454717,1,0.6383909276454717,2,3.740878842879145,moving,1166,[1119],[],1.0,[1119],[75.37055136618946],21.0488432942104,0
16217,2,,30.48343594726982,26.104385837793725,3,1.3746081060937183,0.44831461570377,-1.4608998289726545,3.0661683959061676,1.9012500950625029,0.367371619220301,-0.2306453724886212,"[-0.2889247511170687, -0.3175385816194698]",0.4293113818954312,1,0.4293113818954312,3,6.859295595842949,moving,1170,[1275],[1275],1.0,[1275],[51.03876999612263],58.99289579524164,0
15732,2,,30.12200001395121,26.176552760843503,4,1.3518305129526904,0.4852880907281695,1.5317104840107336,2.7856247428703296,1.9054750952737531,1.029620266912885,0.6622486476925842,"[-0.3614359333186101, 0.07216692304977812]",0.3685702086121006,1,0.3685702086121006,4,9.040276675963572,moving,1137,[1236],[1236],1.0,[1236],[26.421760851806766],106.45168193208092,0
17690,2,,30.520025735252755,26.93329053644659,5,1.4060602753039082,0.4504442124029403,1.959102994409992,3.1214970391186445,1.903362595168131,1.8579323440005704,0.8283120770876855,"[0.39802572130154346, 0.7567377756030886]",0.8550301373883405,1,0.8550301373883405,5,12.257226797417418,moving,1171,[],[],0.0,[],,49.15597159402691,0
20095,2,,30.152951991086997,27.869342035888753,6,1.370742958813071,0.4659083402462235,1.7935537933013634,2.942087188412768,1.9350500967525055,0.857933551332575,-0.9999987926679956,"[-0.3670737441657579, 0.9360514994421614]",1.0054529045478893,1,1.0054529045478893,6,14.50920832324748,moving,1235,[],[],0.0,[],,26.386267289304104,0
18134,2,,29.90009353836606,28.098628468347226,7,1.36593289698633,0.5176522446363588,-1.034345457727198,2.6387075708439607,1.973075098653753,0.4605272415096357,-0.3974063098229392,"[-0.2528584527209361, 0.2292864324584727]",0.3413351215769623,1,0.3413351215769623,7,17.710995666874126,moving,1259,[],[],0.0,[],,134.406635629357,0
15942,2,,29.92987588108411,27.32533986131252,8,1.3687846861460329,0.4784812353919941,2.2678032304719333,2.8606862399204864,1.9878625993931305,2.345838328260601,1.8853110867509648,"[0.02978234271805036, -0.7732886070347043]",0.7738619112654717,1,0.7738619112654717,8,20.210443032299963,moving,1221,[],[],0.0,[],,110.54572134698405,0
16770,2,,29.043991419839124,27.61900661264093,9,1.3366880251952722,0.5411233992951796,-0.7614020509438231,2.470209247902283,2.0808126040406316,1.9293868114970525,-0.4164515167635481,"[-0.8858844612449879, 0.29366675132840925]",0.933290651143096,1,0.933290651143096,9,23.687425505317705,moving,1265,[],[],0.0,[],,159.265879529624,0
16968,2,,29.91790698661297,26.909446628485252,10,1.3434767875108249,0.4805844696233158,-0.2049588688211369,2.795506039893148,1.94138759706938,2.779713983876574,0.8503271723795216,"[0.8739155667738423, -0.7095599841556783]",1.1257014652938195,1,1.1257014652938195,10,26.009349222235993,moving,1238,"[1169, 1242]","[1169, 1242]",2.0,"[1169, 1242]","[144.31994747210595, 36.216184437599324]",29.548179385867037,0
19275,2,,30.27704278278817,26.84917990973533,11,1.295981370658453,0.4984591839039821,-0.178178400233275,2.599974907690932,1.960400098020005,0.5157130182532995,-2.2640009656232745,"[0.3591357961752024, -0.06026671874992218]",0.3641573801027225,1,0.3641573801027225,11,28.93571217164428,moving,1238,[1218],[1218],1.0,[1218],[49.54199568026675],115.93849309597202,1
21771,2,,29.957707131182904,26.40090163123265,12,1.3718260053201932,0.4881185217192589,2.2717445276875416,2.810436286023988,2.0301126015056288,2.0235084343254237,1.507795416072124,"[-0.31933565160526456, -0.4482782785026842]",0.5503895650932065,1,0.5503895650932065,12,30.922610952985707,moving,1188,[],[],0.0,[],,49.581203715378194,0
16669,2,,30.155575871259423,25.6141203586622,13,1.389298454940371,0.4681626472200128,1.482958188845581,2.967555107589502,1.9498375974918811,0.8653552519353923,-1.1581531823900315,"[0.1978687400765189, -0.7867812725704475]",0.8112809680789028,1,0.8112809680789028,13,34.056351468432474,moving,1146,[],[],0.0,[],,15.529460658308718,0
111748,2,,30.12950988565708,24.557249472378135,14,1.378625302739024,0.4749270060316025,0.915061442182448,2.9028151383905256,2.004762600238131,0.2710402195464099,-0.5943150323889823,"[-0.02606598560234019, -1.056870886284063]",1.0571922747921885,1,1.0571922747921885,14,36.19615927508363,moving,1117,[],[],0.0,[],,35.03424346390347,0
