,scale,red_mean,red_std,green_mean,green_std
0,-16.19400679241421,0.0,0.0,0.0,0.0
1,-12.955205433931367,0.0,0.0,0.0,0.0
2,-9.716404075448525,0.0,0.0,0.0,0.0
3,-6.477602716965683,0.0,0.0,0.0,0.0
4,-3.2388013584828417,0.0,0.0,0.0,0.0
5,0.0,0.8566758867061494,0.02966871859045797,0.14332411329385072,0.029668718590458013
6,3.2388013584828417,0.8866984904771829,0.024796792846959157,0.11330150952281719,0.024796792846959185
7,6.477602716965683,0.9064689309367671,0.01793898680858018,0.09353106906323287,0.01793898680858019
8,9.716404075448525,0.8997103225749191,0.033463297927062235,0.10028967742508092,0.03346329792706222
9,12.955205433931367,0.9312213321084085,0.02282091037056507,0.06877866789159144,0.0228209103705651
10,16.19400679241421,0.9344835125262834,0.013884787997945439,0.06551648747371669,0.013884787997945465
11,19.43280815089705,0.9438232662389167,0.02937396414763461,0.05617673376108336,0.02937396414763457
12,22.67160950937989,0.9531550207953333,0.02088054857567515,0.046844979204666605,0.02088054857567515
13,25.910410867862733,0.939389794380811,0.016847447136869413,0.06061020561918886,0.016847447136869392
14,29.149212226345576,0.9317862541286726,0.011797215096521225,0.0682137458713274,0.011797215096521197
15,32.38801358482842,0.9555383458544466,0.009304504445850337,0.044461654145553364,0.009304504445850365
16,35.62681494331126,0.9551512842263027,0.012202987678217115,0.04484871577369735,0.012202987678217083
17,38.8656163017941,0.9457917485151924,0.0278314229925973,0.05420825148480755,0.027831422992597308
18,42.104417660276944,0.9539474725320849,0.014373699729015725,0.04605252746791506,0.014373699729015721
19,45.34321901875978,0.9328045743259988,0.030681651197886003,0.06719542567400107,0.03068165119788602
20,48.58202037724263,0.9382936238715779,0.02824523470213146,0.06170637612842214,0.028245234702131406
21,51.82082173572547,0.9250691637076517,0.02424099685953634,0.07493083629234831,0.02424099685953629
22,55.05962309420831,0.9396714008688919,0.016971001492152343,0.06032859913110814,0.01697100149215228
23,58.29842445269115,0.9371498479619277,0.012599013285262929,0.06285015203807214,0.012599013285262927
24,61.537225811174,0.9382507336824681,0.022416646033858907,0.061749266317531894,0.022416646033858914
25,64.77602716965684,0.958633322751551,0.014525239986705369,0.04136667724844909,0.014525239986705395
26,68.01482852813967,0.9408982883472717,0.01352065238343944,0.059101711652728206,0.013520652383439483
27,71.25362988662252,0.9501651040657899,0.009581891587339865,0.0498348959342102,0.009581891587339905
28,74.49243124510537,0.9534740878900388,0.009890662986971775,0.04652591210996108,0.00989066298697175
29,77.7312326035882,0.9455585081157397,0.022250062037685373,0.05444149188426036,0.022250062037685318
30,80.97003396207104,0.9474584779151072,0.006472444503566691,0.052541522084892794,0.0064724445035666935
31,84.20883532055389,0.9144072040131773,0.01938902245528622,0.08559279598682261,0.019389022455286224
32,87.44763667903673,0.9280741315892526,0.020047821260985088,0.07192586841074729,0.020047821260985057
33,90.68643803751957,0.93689683865933,0.008136691544992242,0.0631031613406699,0.008136691544992353
34,93.92523939600241,0.9449866824012053,0.009854196694552501,0.05501331759879474,0.009854196694552488
35,97.16404075448526,0.9400707580309032,0.012637436898784406,0.05992924196909682,0.012637436898784321
36,100.4028421129681,0.928871459096155,0.019170497819909097,0.07112854090384498,0.01917049781990908
37,103.64164347145093,0.9211851457401168,0.016510599093655896,0.07881485425988322,0.01651059909365587
38,106.88044482993378,0.9238634779061924,0.007870871463756004,0.07613652209380772,0.007870871463755985
39,110.11924618841662,0.9086261557648557,0.022555344267244745,0.09137384423514427,0.02255534426724473
40,113.35804754689946,0.9032377167976665,0.023268921245713847,0.09676228320233353,0.02326892124571386
41,116.5968489053823,0.9214757365220975,0.02871317921696978,0.07852426347790256,0.02871317921696983
42,119.83565026386515,0.9200200754233022,0.008982397386144597,0.07997992457669782,0.008982397386144592
43,123.074451622348,0.8905020078217712,0.006473929139791212,0.10949799217822871,0.006473929139791231
44,126.31325298083082,0.8932910451791248,0.011487799604951835,0.10670895482087507,0.011487799604951863
45,129.55205433931368,0.8665836703306867,0.0015824290222938662,0.13341632966931338,0.0015824290222938545
46,132.7908556977965,0.8679945984460772,0.025325294245890858,0.13200540155392282,0.025325294245890827
47,136.02965705627935,0.8432316316690943,0.045869183103712144,0.1567683683309056,0.04586918310371218
48,139.2684584147622,0.8626196167235398,0.03404697255207647,0.13738038327646013,0.034046972552076504
49,142.50725977324504,0.8761944311420647,0.030818396075254467,0.12380556885793514,0.03081839607525446
50,145.74606113172788,0.8706789621457082,0.013661075512497815,0.12932103785429197,0.01366107551249779
51,148.98486249021073,0.8648437214032132,0.028956610054692307,0.13515627859678683,0.028956610054692317
52,152.22366384869358,0.8516825812757104,0.01559655103454819,0.14831741872428963,0.015596551034548144
