 ,Area,Min,Max,IntDen,%Area,RawIntDen,
1,5073.143,0,255,1158131.048,89.524,43858215,
2,5034.405,0,255,1246421.933,97.091,47201775,
3,5110.613,0,255,1180823.260,90.609,44717565,
4,4692.496,0,255,861980.846,72.037,32643060,
5,4407.890,0,255,594684.095,52.907,22520580,
6,4556.663,0,255,827713.586,71.235,31345365,
